work_item_id,role,actor_equivalence,performed,role_status,execution_status,activity,completion_reason,incomplete_reason,command,environment,started_at,ended_at,exit_code,evidence,source_identity,impact_review,regression_review,runtime_result,source_modified,vscode_fresh_import,vscode_scope,vscode_problems_json,vscode_error_count,vscode_warning_count,next_action
WP-R00.01,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,최신 Local Working Tree/전달 ZIP을 새 기준으로 고정하고 모든 개발GPT Closure를 재평가,과거 100%/PASS/CLOSED 자동 승계 금지,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,전체 Repository/Evidence/Package,,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.01,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.01,QA,QA,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.02,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,218 Canonical Requirement → 개발 세부 항목 → Source/Consumer/Test/Runtime/Evidence의 완전한 역추적 인덱스를 유지,기존 Requirement가 실물 검증 없이 일부 Closure됨,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,"218 Canonical Requirement 및 파생 30,605 execution dataset",,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.02,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.02,QA,QA,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.03,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,CPF_CURRENT_WORK_REQUEST를 이 세션의 유일 현재 개발요청 정본으로 교체,CPF_CURRENT_WORK_REQUEST가 이전 20260826 Source Identity/127행 기준으로 stale; 이번 20260827 Local ZIP/Runtime/VSCode 결과로 재현행화,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,개발GPT/후속 Codex/QA 인수인계,,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.03,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.03,QA,QA,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.04,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,세부 Closure Inventory를 재개방 기준으로 전면 currentize,기존 127행 Inventory가 Runtime PASS=129/FAIL=18/SKIP_ENV=1/NOT_EXECUTED=7 및 최신 VSCode 50 diagnostics를 반영하지 못함,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,개발 진행률/자체검수/후속 Codex,,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.04,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.04,QA,QA,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.05,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,모든 Source/SQL/API/Test/Config/Frontend/Script 변경과 동시에 관련 정본·매뉴얼·Evidence를 같은 작업에서 currentize,Source 수정과 문서 현행화가 분리되면 다음 세션에서 stale 정본 재발,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,모든 변경 Owner,,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.05,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.05,QA,QA,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
WP-R00.06,DEVGPT,Developer GPT / Developer,true,완료,VERIFICATION_PENDING,동일 역할은 current 1본만 유지하고 superseded 자료를 Delete Manifest로 제거 가능하게 관리,work/current에 중복 과거 지침/리뷰/재검수 문서가 병존,Current exact-source 최대강도 검증/Evidence 및 QA 완료 전 역할 실행 PASS 금지,,,,,,cpf-docs/governance/development-harness/evidence/devgpt/current/executions/DEVGPT_CURRENT_EXECUTION_SUMMARY.json,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,"work/current, evidence/current, generated/temp",,VERIFICATION_PENDING,MIGRATED_PRE_HARNESS,NOT_APPLICABLE,,,,,해당 없음
WP-R00.06,INDEPENDENT_REVIEWER,Codex / Claude,false,미검증,NOT_EXECUTED,Current exact-source 결과 미수입,,해당 역할의 Current exact-source 완료 Evidence 없음,,,,,,,bb67ca18fcaceb9ddfda5c082f2f38e8deb76b5a58f30afc6c4ad04c31400d74,,,NOT_EXECUTED,false,false,,,,,Harness 역할/최대강도 규칙에 따라 실행 후 actual Evidence 기록
