route_no,route_id,qa_status,finding_id,basis_sha,registry_source,qa_note
1,dashboard,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
2,topology,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
3,capacity,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
4,logs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
5,transactionGroups,FAIL,QA-B-1000-NEW-002,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Backend one-shot timeline can hide source query failure as NOT_APPLICABLE.
6,transactions,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current transactions/api.ts uses Orval typed calls for high-risk mutation; browser/backend runtime remains unverified.
7,remoteLogs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
8,auditLogs,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
9,logLevel,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
10,logPolicies,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
11,standardExecutions,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
12,channelPolicy,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
13,serviceRegistry,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
14,runtimeControl,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
15,maintenance,재확인 필요,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,Current f0aa route registry enumerated; dedicated component/backend/browser path was not independently executed to PASS.
