record_id,source_work_id,canonical_requirement_ids,priority,owner,title,requirement,acceptance_criteria,verification,development_status,verification_status
POST37-REQ-001,CPF-NEXTQA-STARTER-001,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture,Starter Container 정식화,cpf-starters를 FIXED_PRODUCT_CONTAINER로 Root/최종목표/Gate에 등록,Root inventory가 Generated Domain으로 오인하지 않고 Fresh Clone Gate PASS,Root gate positive/negative fixture,미구현,미검증
POST37-REQ-002,CPF-NEXTQA-STARTER-002,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Core,Core 경량화,Core의 선택 Runtime Dependency와 구현을 전수 분류·이관,Core Runtime/POM에 승인되지 않은 선택 OSS 강제 전이 0,POM/API/ArchUnit/variant compile,미구현,미검증
POST37-REQ-003,CPF-NEXTQA-STARTER-003,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture,Framework 전체 Starter 후보 분류,모든 Source·Build·Config·SQL·Test·Generator·Guide Capability를 Starter/Owner/Product/Plugin/Tool로 분류,미분류 Runtime Capability 0,Dependency/consumer graph + inventory,미구현,미검증
POST37-REQ-004,CPF-NEXTQA-STARTER-004,ARCH-STARTER,P0,Build,의존·Consumer 양방향 그래프,각 Starter 직접/전이 Dependency와 실제 Product Consumer 산출,Consumer 없는 GA Starter 0; 역방향/순환 0,Gradle dependencyInsight + package scan,미구현,미검증
POST37-REQ-005,CPF-NEXTQA-STARTER-005,ARCH-STARTER+ARCH-BOUNDARY+REL-BUILD,P0,Architecture,비-Starter 영역 보호,ADM/BZA/Batch/Gateway/Domain 고유 기능을 Starter로 잘못 이관하지 않음,Owner 전용 기능의 Starter 유출 0,Architecture rule/ArchUnit,미구현,미검증
POST37-REQ-006,CPF-NEXTQA-STARTER-006,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,P0,Security,Security 범용/제품 정책 분리,ADM/BZA Route·Permission을 Owner로 이관하고 기술 보안만 Starter 유지,Starter에 Product 경로/업무 권한 하드코딩 0,Security integration + route negative,미구현,미검증
POST37-REQ-007,CPF-NEXTQA-STARTER-007,SEC-AUTHN+SEC-AUTHZ+ARCH-STARTER,P0,Security/Build,Security 세분화 결정,Session JDBC와 Resource Server/Stateless 선택 구조 확정,Security 소비가 JDBC Session을 무조건 강제하지 않음,Variant compile/runtime matrix,미구현,미검증
POST37-REQ-008,CPF-NEXTQA-STARTER-008,EVENT-BROKER+EVENT-MQ,P0,Messaging,Kafka Closure,Publish/consume/ACK/DLQ/retry/duplicate/order/rebalance/unknown-result/reconcile 완성,Kafka 주요 실패 시나리오 PASS,Testcontainers + process kill/fault,미구현,미검증
POST37-REQ-009,CPF-NEXTQA-STARTER-009,EVENT-BROKER+EVENT-MQ,P1,Architecture/Messaging,RabbitMQ 지원 ADR,Kafka-only/공식 RabbitMQ Starter/Customer Plugin 중 하나 결정,책임·지원 Matrix·비지원 문구가 정본화,ADR + contract parity review,미구현,미검증
POST37-REQ-010,CPF-NEXTQA-STARTER-010,EVENT-BROKER+EVENT-MQ,P1,Messaging,RabbitMQ 선택 구현,공식 채택 시 AMQP Adapter와 운영·복구 구현,Kafka와 의미 동등성 및 Optional 선택 PASS,RabbitMQ Testcontainers/fault,미구현,미검증
