function_point_id,work_item_id,canonical_requirement_id,axis,axis_title,requirement_count,scenario_count,development_status,verification_status,overall_status,evidence_path,remaining_runtime_gap
FP-6E-001,CPF-WP-DB-OWNERSHIP-01-CONTRACT_OWNERSHIP,DB-OWNERSHIP,CONTRACT_OWNERSHIP,계약·Ownership 확정,7,7,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-002,CPF-WP-DB-OWNERSHIP-02-IMPLEMENTATION_CONSUMER,DB-OWNERSHIP,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,18,29,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-003,CPF-WP-DB-OWNERSHIP-03-VERIFICATION_EVIDENCE,DB-OWNERSHIP,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-004,CPF-WP-DB-OWNERSHIP-04-OPERATIONS_SECURITY,DB-OWNERSHIP,OPERATIONS_SECURITY,보안·승인·감사·운영,13,13,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-005,CPF-WP-DB-OWNERSHIP-05-DATA_MIGRATION,DB-OWNERSHIP,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-006,CPF-WP-DB-INSTALL-01-CONTRACT_OWNERSHIP,DB-INSTALL,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-007,CPF-WP-DB-INSTALL-02-IMPLEMENTATION_CONSUMER,DB-INSTALL,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,18,29,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-008,CPF-WP-DB-INSTALL-03-VERIFICATION_EVIDENCE,DB-INSTALL,VERIFICATION_EVIDENCE,검증·Evidence·추적성,8,8,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-009,CPF-WP-DB-INSTALL-04-DATA_MIGRATION,DB-INSTALL,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,15,15,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-010,CPF-WP-DB-FRESH-01-CONTRACT_OWNERSHIP,DB-FRESH,CONTRACT_OWNERSHIP,계약·Ownership 확정,20,20,미완료,미완료,부분 구현,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-011,CPF-WP-DB-FRESH-02-IMPLEMENTATION_CONSUMER,DB-FRESH,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,7,18,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-012,CPF-WP-DB-FRESH-03-VERIFICATION_EVIDENCE,DB-FRESH,VERIFICATION_EVIDENCE,검증·Evidence·추적성,184,338,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-013,CPF-WP-DB-FRESH-04-FAILURE_RECOVERY,DB-FRESH,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,11,11,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
FP-6E-014,CPF-WP-DB-FRESH-05-DATA_MIGRATION,DB-FRESH,DATA_MIGRATION,DB·Query·Generator·Vendor Lifecycle,6,6,완료,미완료,미검증,cpf-docs/evidence/development/DEVGPT-6E_09dd686/all-db-development-tests-09dd686.log; cpf-docs/evidence/development/DEVGPT-6E_09dd686/db-development-static-contract-09dd686.json; cpf-docs/evidence/development/DEVGPT-6E_09dd686/gate-exit-code-summary-09dd686.json,"Java 25, PowerShell, Oracle/PostgreSQL/MariaDB native clients and servers, Docker, browser, process-kill, multi-instance and mixed-version target runtime are unavailable in the current environment; static/semantic substitute verification was executed and is not promoted to native runtime PASS."
