record_id,git_sha,scope,result,status,usage
QA37-HIST-001,1eda8e12fe123281748a4388938c62f11819da1e,Security Starter,focused test 26/26,완료,historical reference; not latest exact SHA
QA37-HIST-002,1eda8e12fe123281748a4388938c62f11819da1e,ADM/BZA,clean verify candidate,완료,historical reference; browser final absent
QA37-HIST-003,1eda8e12fe123281748a4388938c62f11819da1e,REF,"1014 executed, 2 DB skips",재확인 필요,DB-dependent tests skipped
QA37-HIST-004,1eda8e12fe123281748a4388938c62f11819da1e,Batch/Gateway,focused module tests and static gates,완료,historical reference
QA37-HIST-005,1eda8e12fe123281748a4388938c62f11819da1e,DB artifact,static generation/parity,완료,not actual DB lifecycle
QA37-HIST-006,1eda8e12fe123281748a4388938c62f11819da1e,MariaDB actual,not started,미검증,Codex stopped before lifecycle
QA37-HIST-007,1eda8e12fe123281748a4388938c62f11819da1e,PostgreSQL actual,not started,미검증,Codex stopped before lifecycle
QA37-HIST-008,1eda8e12fe123281748a4388938c62f11819da1e,Oracle actual,not started,미검증,Codex stopped before lifecycle
QA37-HIST-009,1eda8e12fe123281748a4388938c62f11819da1e,Runtime/Fault/Browser/Supply,not completed,미검증,expensive stages not sealed
POST37-BASE-001,38089a96e3f4c7c2ba05cda549785b47f67cd462,Latest remote source/document reconciliation,GitHub remote inspection,재확인 필요,local worktree and exact runtime not executed
