new_id,kind,source_set,area,section,title,requirement_or_setup,validation_or_expected,root_cause_key,dedup_status,merged_into,match_score,dedup_reason,closing_status,closing_evidence
CPF-QA-NQA-SCN-001,SCENARIO,NQA20260729,ARC,신규 통합 QA 실행 시나리오,정본 우선 구조 판정,최신 master 정본→Generator→MBR→ACC→EXS→Platform 순서로 구조를 대조한다.,근거 없는 패키지 이동 없이 유지/부분 개선/전환 필요/재확인 필요로 판정하고 결함은 실제 구현까지 수정한다.,ARC|nqa-scenario|정본-우선-구조-판정,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-002,SCENARIO,NQA20260729,ARC,신규 통합 QA 실행 시나리오,Module Ownership 양방향 추적,공식 Module·Generated Domain 기능의 Requirement/Source/DB/Runtime/UI/API/SPI/Consumer/Test Owner를 수집한다.,중복 Owner·Owner 없음·역방향·순환·Internal 외부 참조가 없어야 한다.,ARC|nqa-scenario|module-ownership-양방향-추적,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-003,SCENARIO,NQA20260729,GEN,신규 통합 QA 실행 시나리오,ACC·MBR·EXS Normalized Tree Parity,ACC·MBR·EXS와 임시 생성 Domain을 Metadata 정규화 후 비교한다.,동일 Capability 구조·SQL·Test·Local/Remote·Guide가 일치하고 수동 치환 없이 Build되어야 한다.,GEN|nqa-scenario|acc-mbr-exs-normalized-tree-parity,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-004,SCENARIO,NQA20260729,GEN,신규 통합 QA 실행 시나리오,Generator 우선 이관,Template 결함을 Generator에서 수정하고 임시 Domain 생성 후 ACC·MBR·EXS를 동기화한다.,Generator와 기존 Domain 사이 Drift와 이전 구조가 남지 않아야 한다.,GEN|nqa-scenario|generator-우선-이관,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-005,SCENARIO,NQA20260729,ARC,신규 통합 QA 실행 시나리오,업무 기능 경계 검증,Requirement→Use Case→API→상태→Table→Event→Consumer→운영 기능으로 ACC 기능 경계를 도출한다.,기술 계층 대형 Package·God Service·DTO/Entity 혼용·기능 간 Repository 직접 참조가 없어야 한다.,ARC|nqa-scenario|업무-기능-경계-검증,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-006,SCENARIO,NQA20260729,ARC,신규 통합 QA 실행 시나리오,Local·Remote Contract Parity,동일 업무 Contract를 Local Facade와 Remote Facade로 각각 실행한다.,HTTP loopback·Gateway 재경유·DTO/Error 불일치·Domain 하드코딩 없이 동일 결과와 Header/Trace/Validation을 제공해야 한다.,ARC|nqa-scenario|local-remote-contract-parity,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-007,SCENARIO,NQA20260729,ADM,신규 통합 QA 실행 시나리오,ADM/BZA Menu Route Page API Parity,Menu Group부터 Button/API/Permission/DB/Audit/E2E까지 전수 연결한다.,고아 Menu·Route·Page·Button·API가 없고 기능 목적에 맞는 UI여야 한다.,ADM|nqa-scenario|adm-bza-menu-route-page-api-parity,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-008,SCENARIO,NQA20260729,RTC,신규 통합 QA 실행 시나리오,ADM Runtime Tree 임의 깊이,Environment→Cluster→Domain→Group→Role→Service→Instance 트리를 대규모 데이터로 조회한다.,검색 경로 확장·Breadcrumb·상태 집계·Desired/Actual/Version/Drift·Lazy/Virtual·접근성이 동작해야 한다.,RTC|nqa-scenario|adm-runtime-tree-임의-깊이,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-009,SCENARIO,NQA20260729,BZA,신규 통합 QA 실행 시나리오,BZA 조직 Tree 동시성,임의 깊이 조직 이동·삭제를 expectedVersion/CAS와 동시 요청으로 수행한다.,순환·없는 Parent·하위 조직 삭제를 차단하고 직원/조직장/승인경로 영향 Preview와 감사 이력을 제공해야 한다.,BZA|nqa-scenario|bza-조직-tree-동시성,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-010,SCENARIO,NQA20260729,SEC,신규 통합 QA 실행 시나리오,BZA 메뉴 권한 Effective Simulation,Allow/Deny/상속/Deny 우선순위와 사용자 Simulation·Role 비교를 수행한다.,"Frontend Route와 Backend Endpoint, Screen/Button/API/Data Scope의 Effective Permission이 일치해야 한다.",SEC|nqa-scenario|bza-메뉴-권한-effective-simulation,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-011,SCENARIO,NQA20260729,SEC,신규 통합 QA 실행 시나리오,Button 권한 직접 호출 Negative,숨겨진 버튼의 URL/API를 다른 환경·Domain·조직 Scope와 HTTP Method로 직접 호출한다.,Backend가 403으로 차단하고 권한 변경 후 Session/Cache가 반영되며 위험 작업은 사유·승인·감사를 남겨야 한다.,SEC|nqa-scenario|button-권한-직접-호출-negative,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
CPF-QA-NQA-SCN-012,SCENARIO,NQA20260729,ADM,신규 통합 QA 실행 시나리오,대량 Download 비동기 Lifecycle,검색조건/선택/전체 결과를 대량 Server-side Job으로 생성하고 취소·만료·재다운로드한다.,Streaming·진행률·Hash·Masking·Data Scope·Formula Injection 방지·감사·멱등성이 검증되어야 한다.,ADM|nqa-scenario|대량-download-비동기-lifecycle,UNIQUE,,,,미검증,latest master exact-SHA execution evidence required
