exact_id,requirement_id,finding_id,source_path,source_symbol,consumer_path,test_path,runtime_gate,development_status,verification_status,severity,evidence_id,evidence_path,evidence_sha256,basis_sha,qa_comment,qa_status
APR-001,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,reserve exact state/version,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,완료,,APR-001,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,reserveExecution/reconcile use status/version predicates,PASS_STATIC
APR-002,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,lease + fence persisted,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,완료,,APR-002,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,LEASE_OWNER/LEASE_EXPIRES_AT/FENCE_TOKEN exist,PASS_STATIC
APR-003,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,expired RUNNING -> UNKNOWN,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,미검증,,APR-003,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,Recovery worker path exists; process-kill runtime not executed,PASS_STATIC_RUNTIME_UNVERIFIED
APR-004,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,UNKNOWN mutation replay prohibited,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,완료,,APR-004,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,Owner reconcile paths reviewed as observation APIs,PASS_STATIC
APR-005,APPROVAL-RECOVERY,QA-A-FINAL-NEW-003,cpf-admin/src/main/java/com/cpf/admin/approval/**,terminal write fenced,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,재개발 요청,실패,P0,APR-005,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,finishExecution does not predicate on fence/lease/command reservation,FAIL
APR-006,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,Batch Runtime reconcile,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,미검증,,APR-006,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,non-terminal states map UNKNOWN,PASS_STATIC_RUNTIME_UNVERIFIED
APR-007,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,Batch Job Definition reconcile,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,미검증,,APR-007,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,owner state observation,PASS_STATIC_RUNTIME_UNVERIFIED
APR-008,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,Broker reconcile,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,미검증,,APR-008,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,owner observation and bounded terminal set,PASS_STATIC_RUNTIME_UNVERIFIED
APR-009,APPROVAL-RECOVERY,,cpf-admin/src/main/java/com/cpf/admin/approval/**,Gateway reconcile,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,완료,미검증,,APR-009,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,binding observation,PASS_STATIC_RUNTIME_UNVERIFIED
APR-010,APPROVAL-RECOVERY,QA-A-FINAL-NEW-004,cpf-admin/src/main/java/com/cpf/admin/approval/**,Center-Cut reconcile,cpf-admin + owner modules,cpf-admin/src/test/java/com/cpf/admin/approval/**,Approval 2+ instance process-kill/UNKNOWN reconcile,재개발 요청,실패,P0,APR-010,APPROVAL_RECOVERY_AUDIT.csv,,3aa1dd12f8a5938d33feb6ed598b3dd2442bf2e2,RUNNING/RETRYING may resolve as SUCCEEDED,FAIL
