route_id,path,menu_id,label,group,risk,purpose,primary_search,primary_columns,actions,normal_result,representative_failure,recovery
dashboard,/,DASHBOARD,통합 운영 Dashboard,home,MEDIUM,서비스·Batch·Broker의 이상을 첫 화면에서 분류,"환경, 서비스, 기간, 심각도","Readiness, Liveness, Version, UNKNOWN, DLQ, Outbox 적체",이상 카드 이동,집계 기준시각과 상세 화면 건수가 일치,오래된 Snapshot·일부 Owner Timeout,기준시각을 맞춰 재조회하고 Owner Health 확인
topology,/topology,TOPOLOGY,서비스 토폴로지,home,MEDIUM,Service·Instance·Endpoint와 Health 관계 확인,"환경, Service ID, Zone","Instance, Version, Endpoint, Health, Last Seen",상세 이동,Registry와 Runtime Heartbeat가 일치,Ghost Instance·중복 Endpoint,Last Seen과 Runtime 원장을 대사해 비활성화
capacity,/capacity,CAPACITY,Online Runtime Diagnostics,home,MEDIUM,Thread·Connection·Queue·Lag의 병목 식별,"서비스, Instance, 기간","Pool 사용률, Queue, Outbox, Inbox, File 전송",진단 상세,관측값과 Health·업무 지연이 같은 시각대,Metric 누락·고카디널리티,Collector와 Instance 상태를 확인해 범위를 좁힘
logs,/logs,LOG_LIST,거래 로그,monitoring,MEDIUM,Transaction과 Error 로그 조회·Export,"Transaction ID, Trace ID, 기간, Level","시각, Service, Operation, Error Code, Masking","상세, Export 요청",검색 조건과 Download Audit가 연결,원문 노출·Export 만료,Masking 권한과 Download Token을 재확인
transactionGroups,/transactionGroups,LOG_LIST,Online·Batch 통합 Trace,online,MEDIUM,온라인·Batch·외부 Attempt Timeline 연결,"Transaction ID, Trace ID, Business ID","Segment, Attempt, Target, Duration, Status",Timeline 상세,동일 식별자로 모든 Segment가 연결,Trace 단절·Clock 차이,Header·UTC·업무시각을 대사해 단절 지점 확인
transactions,/transactions,TRANSACTION_META,온라인 거래 정의,online,HIGH,거래 정의와 상태·정책을 조회·변경,"거래 Code, 상태, Owner","Code, Version, Timeout, Idempotency, 상태","Scan, 비활성화",정의 Version과 Runtime 적용 상태 일치,사용 중 비활성·Version 충돌,Consumer 영향 확인 뒤 새 Version으로 변경
remoteLogs,/remoteLogs,REMOTE_LOG,원격 로그,monitoring,MEDIUM,원격 Instance 로그 Preview와 Support Bundle,"서비스, Instance, 기간, Pattern","파일, Size, Modified, Masking 상태","Preview, Bundle 생성, Download",Bundle Manifest와 Hash·Masking Report 존재,파일 읽기 실패·Size 초과,범위를 축소하고 실패 파일을 Manifest에 기록
auditLogs,/auditLogs,AUDIT_LOG,감사 로그,monitoring,MEDIUM,Actor·Reason·Before/After·Delivery 확인,"Actor, Resource, Operation, 기간","Audit ID, Action, Result, Delivery","상세, Delivery Retry",업무 Operation과 Audit가 같은 식별자,Delivery 실패·Hash 불일치,원본 Audit 보존 후 Delivery만 재시도
logLevel,/logLevel,DYNAMIC_LOG,동적 로그,monitoring,HIGH,기간이 제한된 Log Level 규칙 운영,"서비스, Logger, Level, 만료","Rule, 대상, Level, 시작·만료, 상태","등록, 제거",만료 후 원래 Level로 복귀,광범위 DEBUG·만료 누락,해당 규칙을 제거하고 Log Volume 확인
logPolicies,/logPolicies,LOG_POLICY,로그 정책,monitoring,MEDIUM,수집·Masking·보존·Trace Boost 정책 운영,"정책 Code, 상태, 대상","Version, Masking, Retention, 배포 상태","생성, 수정, 비활성, Refresh",Target별 Applied Version 일치,부분 배포·Cache stale,Distribution Status에서 실패 Target만 Refresh
standardExecutions,/standardExecutions,STANDARD_EXECUTION,표준 실행,online,MEDIUM,표준 Transaction 실행 결과 조회,"Execution ID, 거래 Code, 기간","상태, 시작·종료, Error, Operation",상세,요청·응답·Audit 식별자 일치,결과 누락·Timeout,Transaction Group과 Owner 원장 대사
channelPolicy,/channelPolicy,CHANNEL_POLICY,채널 정책,online,HIGH,채널별 Header·Timeout·실행 정책 관리,"Channel ID, 상태, Version","Header, Timeout, Policy, Applied Version","저장, Export, Import",Snapshot과 Runtime 정책 일치,잘못된 Import·부분 적용,Import Preview와 Target ACK를 확인해 Rollback
serviceRegistry,/serviceRegistry,SERVICE_REGISTRY,서비스 레지스트리,online,MEDIUM,Service·Instance·Endpoint 등록과 호출 상태 운영,"Service ID, Instance, 상태","Endpoint, Capability, Circuit, Routing","저장, 상태 변경, 삭제",활성 Endpoint와 Health가 일치,참조 중 삭제·Ghost,Call History와 Consumer 참조를 확인해 정리
runtimeControl,/runtimeControl,RUNTIME_CONTROL,Deployment·Promotion·Rollback,online,HIGH,Artifact·Config 변경의 Preview·Canary·Promotion·Rollback,"환경, Group, Version, Operation","Desired, Observed, ACK, NACK, Drift","Preview, 생성, 취소, Rollback",모든 Target의 Observed Version과 Audit 일치,NACK·Timeout·PARTIAL,성공 Target 보존 후 실패 Target 대사·LKG 복원
maintenance,/maintenance,MAINTENANCE,점검·Drain,framework,HIGH,점검 Mode와 Traffic Drain 실행,"Service, Instance, Window","현재 상태, Active 요청, Drain 진행",점검 시작·종료,신규 유입 차단과 기존 처리 종료,Drain Timeout·세션 잔존,활성 요청을 확인하고 단계별 Rollback
cache,/cache,CACHE,캐시,framework,HIGH,Cache 상태·Key·Namespace·Durable invalidation 운영,"Provider, Tenant, Namespace, Key","Entry, TTL, Event, Checkpoint, Lag","Refresh, Key/Namespace Evict, Reconcile",Owner 데이터와 Cache가 일치하고 Lag 0,Signal 유실·Valkey Down,Durable Ledger의 Checkpoint 이후 Event Reconcile
configs,/configs,CONFIG,설정,framework,HIGH,Config Key·Source·Version·Target 적용 운영,"Key, Profile, Service, 상태","Type, Value Source, Secret, Restart, Version","생성, 수정, 삭제",Desired·Observed와 Consumer Health 일치,범위 오류·부분 적용,이전 값/LKG 복원 뒤 Drift 0 확인
responseCodes,/responseCodes,RESPONSE_CODE,응답코드,framework,MEDIUM,업무·기술 Error Code와 HTTP Mapping 관리,"Code, HTTP, 상태","Message, Retryable, Owner, Version","생성, 수정, 삭제",API 응답과 Catalog Mapping 일치,사용 중 Code 삭제,Consumer·OpenAPI 영향 확인 후 새 Version 적용
businessCalendar,/businessCalendar,BUSINESS_CALENDAR,영업일 · 휴일,framework,MEDIUM,기관별 영업일·휴일과 기준일 계산 운영,"Calendar ID, 기관, 기간","Date, Day Type, Version, Applied","저장, 삭제, 기준일 계산",Row·Audit·Refresh Event와 Consumer 결과 일치,날짜 충돌·Refresh Lag,Calendar Row와 Consumer Checkpoint 대사
recoveryCenter,/recoveryCenter,RECOVERY_CENTER,복구 센터,monitoring,MEDIUM,Trace Poison·Unknown·Broker DLQ 복구 실행,"Operation ID, 상태, Owner","대상, 원인, Evidence, 다음 행동","Recovery, Replay 요청, Resolve",Owner 결과와 복구 Audit 일치,Blind Retry·중복 Replay,원본 Attempt 조회 후 승인된 후속 Operation 생성
incidents,/incidents,INCIDENT,Error·Unknown Result,monitoring,HIGH,Incident 등록·전이·Escalation·종결,"심각도, 상태, 서비스, 기간","Incident, Owner, SLA, Timeline, Unknown","Acknowledge, Escalate, Resolve, Reopen",종결 근거와 Owner 정상 상태 일치,근거 없는 Resolve·SLA 초과,Signal·Operation·Owner 원장을 다시 대사
reliability,/reliability,RELIABILITY,Analysis Center,monitoring,MEDIUM,Outbox·Inbox·Idempotency·DLQ·Unknown 통합 분석,"업무 Key, Operation, Event, 상태","Ledger, Attempt, Checkpoint, Age",상세 이동,각 원장의 식별자와 상태 전이 일치,Ledger 불일치·장기 Unknown,가장 이른 불일치 지점부터 Reconcile
notifications,/notifications,NOTIFICATION,알림,integration,MEDIUM,Rule·Template·Delivery·Receipt·DLQ 운영,"Channel, Rule, 수신자, 상태","Delivery, Attempt, Provider ID, Receipt","저장, Test, Retry, Cancel",Provider Receipt와 Delivery 상태 일치,Provider 미설정·응답 유실,Provider ID 대사 후 실패 확정 Delivery만 Retry
batch,/batch,BATCH,Batch / Center-Cut,batch,MEDIUM,Job·Schedule·Execution 통합 Workbench,"Job, 업무일, 상태","Job, Schedule, Execution, Worker","등록, 실행, 상세",Metadata와 업무 대사 결과 일치,완료 상태지만 합계 불일치,Execution 상세에서 업무 Count·Amount 대사
batch-overview,/batch-overview,BATCH_OVERVIEW,Batch Overview,batch,MEDIUM,배치 전체 상태와 병목 요약,"업무일, Job Group, 상태","실행, 실패, Worker, Lock, Lag",상세 이동,요약 건수와 각 Workbench 일치,오래된 집계·Owner Timeout,기준시각을 맞추고 개별 화면 재조회
batch-runtime,/batch-runtime,BATCH_RUNTIME,Runtime Topology,batch,HIGH,Runner·Worker·Agent Runtime Command 운영,"Runtime ID, Host, 상태","Capability, Process, Heartbeat, Command","Start, Stop, Restart",Process 상태와 Command Evidence 일치,응답 유실·비종료 Process,Command ID와 Service Manager 상태 대사
batch-instances,/batch-instances,BATCH_INSTANCES,Runtime Instances,batch,MEDIUM,배치 Runtime Instance와 Version 확인,"Service, Instance, Zone","Version, Health, Last Seen, Capability",상세,Registry·Heartbeat·Process 상태 일치,Ghost·Version skew,Last Seen과 Agent Evidence를 대사
batch-scheduler,/batch-scheduler,BATCH_SCHEDULER,Scheduler HA,batch,MEDIUM,Schedule·Calendar·Misfire·Run-once 운영,"Schedule ID, Job, 상태","Cron, Zone, Calendar, Next Fire, Owner","Simulation, Enable, Disable, Run once",단일 Lease Owner와 다음 실행시각 일치,중복 Dispatch·Clock Skew,Schedule Disable 후 Trigger·Lease 대사
batch-worker-pools,/batch-worker-pools,BATCH_WORKER_POOLS,Worker Pools,batch,MEDIUM,Worker Capability·Pool·할당 상태 운영,"Pool, Capability, Zone","Worker, Capacity, Active, Queue",Runtime Command,할당량과 실제 Worker 상태 일치,과부하·Capability 불일치,새 작업 유입을 줄이고 Worker 상태 재등록
batch-center-cut,/batch-center-cut,BATCH_CENTER_CUT,Center-Cut,batch,MEDIUM,대상 Preview·Execution·Item 결과·대사,"Job, Execution, 업무일, 상태","Preview Hash, 대상, 성공, 실패, Unknown","FAILED 재처리, UNKNOWN 대사",Preview·Result·업무 합계 일치,Criteria Drift·부분 결과,Execution별 실패·불명 Item만 조치
batch-agents,/batch-agents,BATCH_AGENTS,Host Agents,batch,MEDIUM,Host Agent와 Process Command Evidence 확인,"Host, Agent, 상태","Version, Last Seen, Command, Process",Runtime Command,Agent와 Service Manager 상태 일치,Agent Offline·권한 오류,Host 접근과 Agent Token·Process를 확인
batch-job-packs,/batch-job-packs,BATCH_JOB_PACKS,Job Packs,batch,MEDIUM,Job Definition·Artifact·Checksum·Lifecycle 운영,"Pack ID, Job, Version","Definition, Artifact, Checksum, 상태","Validate, Save, Transition",Definition과 Artifact Manifest 일치,Checksum·Schema 오류,LKG 유지 후 새 Version 검증
batch-executions,/batch-executions,BATCH_EXECUTIONS,Executions,batch,MEDIUM,Job·Step Execution과 Stop·Retry 운영,"Execution ID, Job, 상태","Parameter, Step Count, Exit, Checkpoint","Stop, Retry",Metadata와 업무 원장 일치,Stale 상태·Checkpoint 불일치,마지막 Commit과 업무 Row 대사 후 Restart
batch-deployment,/batch-deployment,BATCH_DEPLOYMENT,Deployment / Rollback,batch,HIGH,Batch Runtime Artifact 배포·Rollback,"Plan, Version, Target","Artifact, Checksum, Target ACK, 상태","Plan 생성, Rollback",Target별 Version과 Health 일치,PARTIAL·NACK,성공 Target 보존 후 LKG로 실패 Target 복원
batch-recovery,/batch-recovery,BATCH_RECOVERY,Recovery / Unknown,monitoring,MEDIUM,Ghost Execution과 Unknown 결과 정상화,"Execution, Operation, 상태","Ghost 후보, Evidence, Owner 상태","Ghost 조치, Unknown Resolve",종결 상태와 Metadata·업무 원장 일치,살아 있는 실행 오판,Heartbeat·Process·Lease를 모두 확인
