requirement_id,requirement_title,priority,owner_module,owner_package,source_documents,canonical_requirement_ids,actual_consumer,acceptance_criteria,verification_method,record_type,requirement_level,parent_requirement_id,work_package_id,execution_phase_id,overall_status,development_status,verification_status,_part
CPF-FR-007809,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,PURPOSE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007810,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,OWNER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007811,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CONSUMER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007812,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Public API 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,PUBLIC_API Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007813,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,EXTENSION_SPI Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007814,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,INTERNAL_IMPL Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007815,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 입력 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,INPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007816,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 출력 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,OUTPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007817,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 설정 계약 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CONFIG Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
CPF-FR-007818,,P1,cpf-admin control plane + runtime owner,com.cpf.admin,,OPS-CONFIG,모든 Runtime,플랫폼 운영자·SRE가 실제 제품 경로에서 검증 기능을 사용할 때 runtime config catalog·schema·encryption·version·staged rollout·approval·dynamic apply·rollback·drift detection을 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,VALIDATION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,REQUIREMENT,DETAILED_FUNCTION,CPF-RQ-000129,P07-OPS-OPS-CONFIG,P07,,재확인 필요,미검증,CPF_REQUIREMENT_MASTER_PART_005_CPF-FR-006466__CPF-FR-008079.csv
