defect_id,priority,area,title,current_status,evidence_or_source_scope,root_cause,impact,required_remediation,closure_criteria,related_requirement_ids,source_type,review_base_sha
QA31-D001,P0,Evidence,Active 문서 exact SHA 불일치,REOPEN_REVALIDATION,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality,Current/Handover/Summary가 최신 master SHA를 가리키지 않음,최신 Push 후 완료 Evidence 무효·세션 오판,모든 Active 상태 문서와 current Evidence를 최신 exact SHA로 생성,stale SHA 0; base/head 명시,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D002,P0,Evidence,QA30 Evidence 원본 경로 부재,REOPEN_REVALIDATION,cpf-docs/evidence; QA30 closure CSV,완료 원장이 참조하는 qa30-static-report.json이 최신 Tree에 없음,완료 판정 재현 불가,근거 파일 복구 또는 완료 상태 재개방,모든 완료 행의 실제 존재 Evidence,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D003,P0,Architecture,구형 Gateway Route 모델 잔존,REOPEN_REVALIDATION,cpf-core/src/main/java/com/cpf/core/common/gateway,core.common.gateway Route/Catalog/Test가 최신 master에 남음,신·구 Runtime 병존과 잘못된 Consumer 회귀,Consumer 검색 후 안전 삭제·Arch Gate,구형 파일/Import/Bean/Test 0,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D004,P0,Gate,Static Gate PASS 재현 불가,REOPEN_REVALIDATION,cpf-tools/scripts/verify-cpf-qa30-full-completion.ps1,구형 모델 잔존과 PASS 보고가 충돌,False Green,최신 exact SHA에서 Gate 재실행,명령/Exit 0/Report Hash,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D005,P0,Gate,926 통합 Matrix가 Final Gate 직접 입력 아님,REOPEN_REVALIDATION,cpf-tools/scripts/verify-cpf-final-completion.ps1,기존 Requirement/Evidence만 확인해 신규 Matrix 미검증을 놓칠 수 있음,844 미검증 상태에서도 완료 가능,통합 Matrix 행별 상태·Evidence 강제,필수 미검증 행 존재 시 Exit 1,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D006,P0,Status,실행형 결함 검증 완료 오표기,REOPEN_REVALIDATION,cpf-docs/quality/CPF_20260730_QA30_DEFECT_CLOSURE.csv,3DB/Browser/Full Product Gate 미실행인데 완료/완료 행 존재,상용 완료 과장,실행형 행 재개방·Evidence 후 승격,미실행 PASS 0,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D007,P0,CI,최신 Commit CI Evidence 없음,REOPEN_REVALIDATION,GitHub Actions; cpf-docs/evidence/current,최신 SHA Workflow/Combined Status 없음,Build 회귀 미탐지,Java25 공식 Build/Test Evidence 생성,exact SHA·JUnit·Exit 0,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D008,P0,Gateway,실제 요청 Path가 Target에 전달되지 않음,REOPEN_REVALIDATION,CpfGatewayPublicController; JdbcCpfGatewayRouteProvider; CpfGatewayProxyService,매칭 Path Pattern이 Target Endpoint로 사용될 가능성,Wildcard API 오호출,Ingress/Target Path/Rewrite 계약 분리,/orders/123가 정확히 Target에 전달,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D009,P0,Gateway,ACK 전 Candidate Route 활성화,REOPEN_REVALIDATION,CpfGatewayRouteSnapshot; CpfGatewayRouteSynchronizer,기동 시 ACK 없는 Candidate를 Snapshot 활성화,미검증 Route 외부 노출,Validate→Activate→ACK/LKG 순서 재설계,ACK 없는 신규 Route default deny,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D010,P0,Gateway,Connection Test Type 미실행,REOPEN_REVALIDATION,CpfGatewayConnectionTestWorker,NETWORK/TCP/TLS/APPLICATION이 동일 Socket Test,운영자가 잘못된 연결 정상 판정,Type별 Adapter와 단계 결과,각 Type Failure Stage 구분,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D011,P0,Gateway,TCP 성공만으로 Application UP,REOPEN_REVALIDATION,CpfGatewayHealthWorker,실제 요청 없이 application=UP,500/Hang Instance Routing,Application Probe 정책 실행,TCP_UP/APP_DOWN 분리·Routing 제외,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D012,P0,Ledger,Retry/Failover Attempt 한 행 축약,REOPEN_REVALIDATION,CpfServiceCallOutcome; CpfGatewayProxyService; gateway ledger,Service result 최종값만 있어 Attempt별 실패 유실,장애 분석·정산 불가,Attempt Event/Callback와 행별 원장,시도 N회=Attempt N행,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D013,P0,Approval,Gateway BLOCK/RETIRE 승인 우회,REOPEN_REVALIDATION,AdmGatewayRegistryController; GatewayApprovalOwnerCommandAdapter,ADM 직접 State API가 BLOCKED/RETIRED 허용,위험 조치 Dual Control 우회,위험 상태 모두 Approval Owner 전용,직접 호출 409/403·승인 실행 성공,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D014,P0,Security,Gateway HMAC Body 미보호·Cross-instance Replay,REOPEN_REVALIDATION,CpfGatewayControlSigner; CpfGatewayControlAuthenticationFilter,Canonical에 Body Hash/Audience 없음; JVM Local Nonce,Command 변조·Replay,Body SHA/Audience/공유 Nonce Store,1byte 변조·다른 Instance replay 거부,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D015,P0,Gateway,ADM Remote Gateway Timeout 미적용,REOPEN_REVALIDATION,application.yml; RemoteCpfGatewayRegistryAdapter,설정 timeout이 WebClient.block에 연결되지 않음,ADM Thread Hang·Unknown 오판,response/connect timeout·Typed Error,Timeout 후 UNKNOWN_RESULT와 Reconcile,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D016,P0,Batch,외부 Executor Map이 JSON 아님,REOPEN_REVALIDATION,BatchRuntimeExecutorRegistry,Objects.toString으로 Payload 생성,상대 시스템 Parsing 실패,ObjectMapper Canonical JSON,Map/DTO 유효 JSON Contract Test,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D017,P0,File,File 고급 흐름 Dispatcher 미연결,REOPEN_REVALIDATION,JobPackDispatcher; ApprovedFileExecutor,Ready/Claim/Restart/Reconcile Utility는 있으나 Product Flow 미사용,중복 처리·Crash 복구 실패,수직 실행·원장 연결,Worker Crash 후 재개 중복 0,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
QA31-D018,P1,File,Remote Watch/Scan/Claim 미구현,REOPEN_REVALIDATION,ApprovedFileExecutor; File Provider,Remote Alias는 Upload/Download만 가능,Remote File Job 기능 과장,Provider Capability 또는 구현,미지원은 UI/Publish 차단,,QA31_CARRYOVER,3249581e8f01dcb546bc6601c31aee525f564d21
