requirement_id,priority,status,area,title,defect,required_action,owner_files,completion_gate
SELF-20260801-03-001,P0,실패,Build/Root,Root build.gradle 복구,Root build.gradle이 BZA WAR/Frontend Build 내용으로 덮어써짐,Parent Root Build 복구 후 의도 변경만 재적용,build.gradle; settings.gradle; cpf-biz-admin/build.gradle,./gradlew.bat clean test assemble qualityGate --no-daemon --stacktrace
SELF-20260801-03-002,P0,재확인 필요,Build/Tooling,Gradle Plugin/BOM Ownership 복구,cpf-tools/build/gradle-plugin 및 platform-bom 삭제,실제 Consumer/Publication 추적 후 복구 또는 정식 제거,cpf-tools/build/**; settings.gradle; artifact catalog,Gradle project/report 및 publication 검증
SELF-20260801-03-003,P0,실패,Frontend/OpenAPI,Source/Release Scope 분리,Source OpenAPI를 CI가 기본 release Scope로 검증,Source Job과 Runtime Release Job 분리,ADM/BZA validate-openapi; workflow,Clean CI에서 source와 release 각각 PASS
SELF-20260801-03-004,P0,실패,Frontend/Generator,Generated Client 생성 순서 복구,Tracked generated 파일 삭제 후 verify 전에 generate 미보장,generate->verify->consumer->build 순서 고정,ADM/BZA package scripts; generated policy,"Clean checkout npm ci부터 build까지 PASS, self-dirty 0"
SELF-20260801-03-005,P0,재확인 필요,Frontend/SupplyChain,npm 정책·Lockfile 정합,strict-peer-deps와 legacy-peer-deps 동시 설정,Clean Node22.18/npm10.9.2에서 단일 정책 Lock 재생성,ADM/BZA .npmrc package.json package-lock.json,"npm ci, lock gate, audit/license 결과"
SELF-20260801-03-006,P0,실패,Evidence/Governance,exact-SHA Evidence 재생성,Evidence/보고서 SHA가 현재 master와 불일치,최종 Remediation SHA에서 Evidence·Matrix 재생성,cpf-docs/evidence; quality; work,expected-sha/clean gate PASS
SELF-20260801-03-007,P0,실패,Documentation Boundary,문서 변경과 완료 보고 정합,보고서는 문서 미수정이라 하나 README/Guide 대규모 변경,문서 작업 분리 및 진술/Manifest 정정,README.md; cpf-docs/guides/**; reports,Protected boundary 및 manifest PASS
SELF-20260801-03-008,P0,실패,Manifest/Hygiene,최종 Manifest 재생성,Overlay 이후 Hotfix와 환경 보정이 기존 Hash에 미반영,Git Tree 기준 Changed/Delete/SHA256 재생성,cpf-docs/work/manifest/**,파일 수·Hash·Delete Manifest 일치
SELF-20260801-03-009,P1,재확인 필요,EDU,EDU 32 Feature 실제 Source/Test 해석,Catalog/Matrix는 있으나 전체 Repo Glob 해석 미검증,기존 cpf-reference를 우선 재사용하고 누락 Feature만 구현,cpf-reference; cpf-tools/governance; EDU matrix,32 Feature/162 Requirement 모두 실제 Source+Test 해석
SELF-20260801-03-010,P1,미검증,EDU/Runtime,EDU Runtime Evidence 수집,Java/3DB/Kafka/Gateway/Browser exact-SHA Evidence 없음,환경별 Scenario 실행 및 Sanitized Evidence 생성,cpf-docs/evidence/<sha>/edu/**,162 Requirement runtime_status 완료와 exit 0
SELF-20260801-03-011,P1,미검증,DB,V92 3 Vendor Lifecycle 실행,"Static SQL만 확인, 실제 Install/Upgrade/Rollback 미실행",Oracle/PostgreSQL/MariaDB Fresh Lifecycle 1회씩 실행,cpf-tools/db/vendor/**/V92*,Install/Upgrade/Rollback/Reapply PASS
SELF-20260801-03-012,P1,미검증,Runtime,분산 Fault/Recovery 검증,Kafka Redis Batch Gateway Agent 다중 인스턴스 미실행,Process kill/response loss/unknown result/recovery 실행,runtime scripts and modules,실제 Runtime Evidence와 정합
SELF-20260801-03-013,P1,재확인 필요,Frontend/E2E,Playwright Gate 완결,CI에 3 Browser E2E 단계가 없고 로컬 Smart App Control 차단,"격리 Runner에서 3 Browser, timeout, 산출물 정리",workflow; ADM/BZA playwright config,"Chromium/Firefox/WebKit PASS, tracked garbage 0"
