domain,feature,requirement_start,requirement_end,requirement_count,scenario_count,public_contract,implementation_provider,actual_consumer,related_tests,runtime_or_alternative_evidence,finding_ids,qa_direct_patch,group_result,review_note
Resilience,Recovery Probe,CPF-FR-012734,CPF-FR-012740,7,7,cpf-core/src/main/java/com/cpf/core/api/resilience/*; cpf-core/src/main/java/com/cpf/core/spi/resilience/*,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceEngine.java; CpfResiliencePolicyCommandService.java; JdbcCpfResiliencePolicyStore.java,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResiliencePolicyController.java; runtime CpfResilienceExecutor consumers,cpf-starters/integration/resilience/src/test/java/.../CpfResilienceEngineTest.java; resilience-contract-runtime-harness.log,Recovery Probe 전용 durable state/worker/domain·batch consumer 및 실제 3-vendor/multi-instance runtime 없음,QA12F-RES-001,아니오,미통과,Recovery Probe의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Resilience,Policy Version,CPF-FR-012741,CPF-FR-012748,8,15,cpf-core/src/main/java/com/cpf/core/api/resilience/*; cpf-core/src/main/java/com/cpf/core/spi/resilience/*,cpf-starters/integration/resilience/src/main/java/com/cpf/starter/integration/resilience/internal/CpfResilienceEngine.java; CpfResiliencePolicyCommandService.java; JdbcCpfResiliencePolicyStore.java,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResiliencePolicyController.java; runtime CpfResilienceExecutor consumers,cpf-starters/integration/resilience/src/test/java/.../CpfResilienceEngineTest.java; resilience-contract-runtime-harness.log,Recovery Probe 전용 durable state/worker/domain·batch consumer 및 실제 3-vendor/multi-instance runtime 없음,QA12F-RES-002,아니오,미검증,Policy Version의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Structured Log Schema,CPF-FR-012749,CPF-FR-012756,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-003,아니오,미통과,Structured Log Schema의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,File Log Rotation,CPF-FR-012757,CPF-FR-012764,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-001,예,미통과,File Log Rotation의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,File Log Permission,CPF-FR-012765,CPF-FR-012772,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-002,예,미통과,File Log Permission의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,DB Log Schema,CPF-FR-012773,CPF-FR-012780,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-003,아니오,미통과,DB Log Schema의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Asynchronous Log Writer,CPF-FR-012781,CPF-FR-012788,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-004,아니오,미통과,Asynchronous Log Writer의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Local Spool,CPF-FR-012789,CPF-FR-012796,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-005,아니오,미통과,Local Spool의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Spool Replay,CPF-FR-012797,CPF-FR-012804,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",QA12F-LOG-005,아니오,미통과,Spool Replay의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
Logging,Duplicate Log Suppression,CPF-FR-012805,CPF-FR-012812,8,15,cpf-core/src/main/java/com/cpf/core/api/logging/*; api/logging/policy/*,LoggingAspect; TransactionLogListener; TransactionLogService; CpfFileLogWriter; TransactionLogFallbackStore/RecoveryWorker; DynamicTransactionLogLevelService,모든 AOP transaction consumer; cpf-admin AdmLog*/AdmDynamicLogLevel* controllers,cpf-core logging tests; dynamic-log-runtime-harness.log; log-spool-runtime-harness.log; file-log before/after harnesses,"실제 비동기 executor, DB+spool 이중 장애, Windows ACL, multi-instance policy convergence 미검증",,아니오,미검증,Duplicate Log Suppression의 계약·기본 구현·상태·보안·운영·실패복구·호환배포·Evidence 축을 원문 Acceptance 및 연결 Scenario와 대조했다.
