id,requirement_id,root_cause,priority,source_identity,scope,codex_status,source_changed,test_or_verifier,runtime,evidence,blocked_external,rerun_condition,final_note
CX-F-001,TEST-EVIDENCE,CURRENT_WORKING_TREE_IS_NEWER_PRIMARY_SOURCE_THAN_INSTRUCTION_REFERENCE,P0,bcb9d3beec8bfdc5a6ca828d78769b70074e1d7be6b7ccbd9d9917c49fe5bc21,"Session bootstrap source identity",CLOSED,false,"cpf-source-state.py; exact path/hash inventory comparison; user Primary Source clarification","Windows 10.0.26200; PowerShell 7.6.5; Python 3.13.14","cpf-docs/work/evidence/codex/current/CX-00.json; cpf-docs/work/evidence/codex/current/CX-00-IDENTITY-COMPARE.json",false,"Reopen only if Workspace source identity changes without an intentional Product Source edit or if a later gate proves an added file is a Product Source defect","User clarified no Source ZIP/Overlay was session input; current Workspace bcb9d3… is Primary Source. Identity was not forced back to the instruction reference."
CX-01-HELP,REL-BUILD,NONE,P0,bcb9d3beec8bfdc5a6ca828d78769b70074e1d7be6b7ccbd9d9917c49fe5bc21,"Java25 Root Gradle configuration",CLOSED,false,".\\gradlew.bat --no-daemon help -PcpfIncludeGeneratedDomains=true","Java 25.0.3; Gradle 9.1.0; Windows x64",cpf-docs/work/evidence/codex/current/CX-01-HELP.json,false,"Reopen if later Root configuration/build fails from the same configuration cause","Direct execution PASS; BUILD SUCCESSFUL; exit 0"
CX-01-PROJECTS,ARCH-BOUNDARY,NONE,P0,bcb9d3beec8bfdc5a6ca828d78769b70074e1d7be6b7ccbd9d9917c49fe5bc21,"Root project and generated-domain classification",CLOSED,false,".\\gradlew.bat --no-daemon projects -PcpfIncludeGeneratedDomains=true","Java 25.0.3; Gradle 9.1.0; Windows x64",cpf-docs/work/evidence/codex/current/CX-01-PROJECTS.json,false,"Reopen if later configuration/build classifies MBW as a generated domain or omits MBR/EXS","MBW=:apps:backoffice at cpf-backoffice/online; included builds include cpf-generated-cpf-member and cpf-generated-cpf-external; BUILD SUCCESSFUL"
CX-F-002,REL-BUILD,ROOT_INCLUDED_GENERATED_DOMAIN_MISSING_PRODUCT_COMPOSITE_BINDING,P0,1c4e41c200dc3e85ebd7fccc1aab6b43c37473991369701b373300c84d7b6e51,"Root Java25 build with MBR/EXS included builds",VERIFICATION_PENDING,true,".\\gradlew.bat --no-daemon clean build --continue --stacktrace -PcpfIncludeGeneratedDomains=true; test_settings_composite_build_identity.py; MBR/EXS included tasks","Java 25.0.3; Gradle 9.1.0; Windows x64; actual Root composite","cpf-docs/work/evidence/codex/current/CX-01-ROOT-BUILD-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-COMPOSITE-PROPAGATION-DIAGNOSTIC.json; cpf-docs/work/evidence/codex/current/CX-01-SOURCE-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-COMPOSITE-REGRESSION-TEST.json; cpf-docs/work/evidence/codex/current/CX-01-INCLUDED-DOMAINS-CONFIG.json",false,"Rerun exact Root clean build --continue --stacktrace against current identity","Prior targeted checks PASS; current-identity closure awaits full build/test impact scope"
CX-F-003,REL-BUILD,LOCAL_RUNTIME_GENERATED_DOMAIN_SCANNER_IGNORES_PREBUILT_MODE,P0,7066d13795b1f46445d5ffd00cd00c39465da918ba7d88a130cb6fd5c1b4405d,"Root runtime local dependency resolution for canonical MBW",VERIFICATION_PENDING,true,".\\gradlew.bat --no-daemon clean build --continue --stacktrace -PcpfIncludeGeneratedDomains=true; optional-surface verifier; generated-boundary regression","Java 25.0.3; Gradle 9.1.0; Windows x64; actual Root build","cpf-docs/work/evidence/codex/current/CX-01-ROOT-BUILD-ATTEMPT2.json; cpf-docs/work/evidence/codex/current/CX-01-MBW-SCANNER-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-OPTIONAL-VERIFIER-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-ROOT-RUNTIME-SEPARATION-DIAGNOSTIC.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-LOCAL-DRYRUN-RERUN.json",false,"Rerun exact Root clean build against current identity","Optional verifier and actual Root runtime task graph PASS; full Root build remains"
CX-F-004,TEST-EVIDENCE,OPTIONAL_SURFACE_VERIFIER_READS_NESTED_GRADLE_DIRECTORY_AS_FILE,P0,dd24f9ba8988189ca9bbeb8a30fec2ed47562288beb26bc06f620853a5623d01,"Optional surface executable verifier Gradle source scan",CLOSED,true,"python .\\cpf-tools\\verification\\tools\\verify-cpf-optional-surface-contract.py --root .","Python 3.13.14; Windows 10.0.26200; Workspace contains generated Gradle caches","cpf-docs/work/evidence/codex/current/CX-01-OPTIONAL-VERIFIER-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-OPTIONAL-VERIFIER-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-OPTIONAL-VERIFIER-RERUN.json",false,"Reopen if the verifier again reads directories/cache paths or skips legitimate cpf-tools/build source Gradle files","PASS on current cache-bearing Workspace; complete verifier scan boundary and optional/prebuilt contract evaluated"
CX-F-005,REL-BUILD,ROOT_LOCAL_RUNTIME_FORCES_GENERATED_COMPILE_ACROSS_NON_TRANSITIVE_COMPOSITE_BOUNDARY,P0,7066d13795b1f46445d5ffd00cd00c39465da918ba7d88a130cb6fd5c1b4405d,"Root generated classification versus standalone generated compile ownership",VERIFICATION_PENDING,true,"Root-parent/standalone diagnostics; Root runtime source; final standalone generated runner; generated-boundary regression","Java 25.0.3; Gradle 9.1.0; Windows x64; Root plus generated composites","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-ROOT-SELF-INCLUDE-DIAGNOSTIC.json; cpf-docs/work/evidence/codex/current/CX-01-ROOT-RUNTIME-SEPARATION-DIAGNOSTIC.json; cpf-docs/work/evidence/codex/current/CX-01-BOUNDARY-AND-WEB-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-GENERATED-BOUNDARY-REGRESSION.json; cpf-docs/work/evidence/codex/current/CX-01-RUNTIME-LOCAL-DRYRUN-RERUN.json",false,"Run mandatory standalone MBR/EXS compile/test and exact Root build","Boundary regression and actual Root runtime task graph PASS; standalone generated builds remain"
CX-F-006,REL-BUILD,FRAMEWORK_WEB_MISSING_DIRECT_FRAMEWORK_DATA_DEPENDENCY,P0,1c4e41c200dc3e85ebd7fccc1aab6b43c37473991369701b373300c84d7b6e51,"Product framework:web compilation reached from standalone generated consumer",VERIFICATION_PENDING,true,"Standalone EXS compile; framework:web build dependency; logical-tree regression","Java 25.0.3; Gradle 9.1.0; Windows x64; standalone EXS plus Product Source composite","cpf-docs/work/evidence/codex/current/CX-01-EXS-STANDALONE-COMPILE-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-COMPOSITE-AND-WEB-DIAGNOSIS.json; cpf-docs/work/evidence/codex/current/CX-01-BOUNDARY-AND-WEB-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-LOGICAL-TREE-DIRECT-TEST.json",false,"Run :framework:web:compileJava and standalone EXS/MBR compile","Direct dependency regression PASS; actual Java compile remains"
CX-F-007,REL-BUILD,FRAMEWORK_WEB_FALLBACK_RESOLVER_MISSING_CORE_ERROR_TYPE_IMPORT,P0,7066d13795b1f46445d5ffd00cd00c39465da918ba7d88a130cb6fd5c1b4405d,"Product framework:web Java compilation",VERIFICATION_PENDING,true,".\\gradlew.bat --no-daemon :framework:web:compileJava","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-FRAMEWORK-WEB-COMPILE-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-WEB-API-DRIFT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-FRAMEWORK-WEB-COMPILE-RERUN.json",false,"Run affected framework:web tests and exact Root build","Direct Java 25 compile PASS; full impact verification pending"
CX-F-008,PUBLIC-API,PRODUCT_CONSUMERS_USE_OBSOLETE_ONLINE_TRANSACTION_ID_ACCESSOR,P0,dd50b42190ee10f405b12dab0bbe6599338dec8678cbc02dafea7c7c6ebf831b,"Product framework:web and observability metadata compilation",VERIFICATION_PENDING,true,"framework:web compile; base-runtime/observability tests; canonical annotation/source search","Java 25.0.3; Gradle 9.1.0; Windows x64","cpf-docs/work/evidence/codex/current/CX-01-FRAMEWORK-WEB-COMPILE-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-WEB-API-DRIFT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-FRAMEWORK-WEB-COMPILE-RERUN.json; cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-TEST-ATTEMPT1.json; cpf-docs/work/evidence/codex/current/CX-01-OBSERVABILITY-API-DRIFT-FIX-IDENTITY.json; cpf-docs/work/evidence/codex/current/CX-01-BASE-OBSERVABILITY-TEST-ATTEMPT1.json",false,"Close CX-F-013; rerun observability tests and standalone/full gates","Base-runtime tests and observability main compile PASS; observability test compilation blocked by independent harness defect"
