capability_code,capability_name,merged_existing_requirement_ids,actual_runtime_consumers,adm_surface,static_gate,runtime_evidence_status,completion_condition
COMMON_CODE,공통코드,CPF-QA-RTF-001|CPF-QA-CMN-003|CPF-QA-CMN-004|CPF-QA-CMN-005|CPF-QA-CMN-006,CmnRuntimeControlAutoConfiguration; CmnCacheRuntimeApplier,features/codes,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
MESSAGE_RESPONSE_CODE,메시지·응답코드,CPF-QA-CORE-007|CPF-QA-CORE-031|CPF-QA-RTF-002|CPF-QA-RTF-003|CPF-QA-GWY-006|CPF-QA-GWY-030|CPF-QA-GWY-051|CPF-QA-CMN-007|CPF-QA-CMN-008|CPF-QA-CMN-009|CPF-QA-CMN-037|CPF-QA-EXT-010|CPF-QA-EXT-043|CPF-QA-EXT-044|CPF-QA-D03-EDU-046|CPF-QA-D03-EDU-047|CPF-QA-D03-EDU-048|CPF-QA-D03-META-011|CPF-QA-D03-ALR-047,CmnRuntimeControlAutoConfiguration; Message/ResponseCode cache services,features/messages; features/response-codes,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
CONFIG_PARAMETER_FEATURE_FLAG,설정·Parameter·Feature Flag,CPF-QA-FND-011|CPF-QA-GOV-001|CPF-QA-GOV-002|CPF-QA-GOV-003|CPF-QA-GOV-004|CPF-QA-GOV-005|CPF-QA-GOV-006|CPF-QA-GOV-007|CPF-QA-GOV-008|CPF-QA-GOV-009|CPF-QA-GOV-010|CPF-QA-GOV-011|CPF-QA-GOV-012|CPF-QA-GOV-013|CPF-QA-GOV-014|CPF-QA-GOV-015|CPF-QA-GOV-016|CPF-QA-GOV-017|CPF-QA-GOV-018|CPF-QA-GOV-019|CPF-QA-GOV-020|CPF-QA-GOV-021|CPF-QA-GOV-022|CPF-QA-GOV-023|CPF-QA-GOV-024|CPF-QA-GOV-025|CPF-QA-GOV-026|CPF-QA-GOV-027|CPF-QA-GOV-028|CPF-QA-GOV-029|CPF-QA-GOV-030|CPF-QA-GOV-031|CPF-QA-ARCH-001|CPF-QA-ARCH-002|CPF-QA-ARCH-003|CPF-QA-ARCH-004|CPF-QA-ARCH-005|CPF-QA-ARCH-006|CPF-QA-ARCH-007|CPF-QA-ARCH-008|CPF-QA-ARCH-009|CPF-QA-ARCH-010|CPF-QA-ARCH-011|CPF-QA-ARCH-012|CPF-QA-ARCH-013|CPF-QA-ARCH-014|CPF-QA-ARCH-015|CPF-QA-ARCH-016|CPF-QA-ARCH-017|CPF-QA-ARCH-018|CPF-QA-ARCH-019|CPF-QA-ARCH-020|CPF-QA-ARCH-021|CPF-QA-ARCH-022|CPF-QA-ARCH-023|CPF-QA-ARCH-024|CPF-QA-ARCH-025|CPF-QA-ARCH-026|CPF-QA-ARCH-027|CPF-QA-ARCH-028|CPF-QA-ARCH-029|CPF-QA-ARCH-030|CPF-QA-ARCH-031|CPF-QA-ARCH-032|CPF-QA-ARCH-033|CPF-QA-ARCH-034|CPF-QA-ARCH-035|CPF-QA-ARCH-036|CPF-QA-ARCH-037|CPF-QA-ARCH-038|CPF-QA-ARCH-039|CPF-QA-ARCH-040|CPF-QA-ARCH-041|CPF-QA-CORE-001|CPF-QA-CORE-002|CPF-QA-CORE-003|CPF-QA-CORE-004|CPF-QA-CORE-005|CPF-QA-CORE-006|CPF-QA-CORE-007,CmnRuntimeControlAutoConfiguration; ConfigCacheService,features/configs; features/runtime-control,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
CACHE,Cache,CPF-QA-FND-009|CPF-QA-FND-010|CPF-QA-FND-011|CPF-QA-FND-012|CPF-QA-ARCH-020|CPF-QA-ADM-036|CPF-QA-GWY-056|CPF-QA-CMN-005|CPF-QA-CMN-016|CPF-QA-CMN-017|CPF-QA-CMN-018|CPF-QA-CMN-019|CPF-QA-CMN-020|CPF-QA-CMN-021|CPF-QA-CMN-022|CPF-QA-CMN-023|CPF-QA-CMN-024|CPF-QA-CMN-034|CPF-QA-GEN-039|CPF-QA-OPS-034|CPF-QA-SEC-066|CPF-QA-UI-027|CPF-QA-HYG-007|CPF-QA-D03-EDU-056|CPF-QA-D03-EDU-058|CPF-QA-D03-META-024,CacheRefreshEventPublisher/Listener/Store; CmnCacheRuntimeApplier,features/cache,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
ONLINE_TRANSACTION,온라인 거래,CPF-QA-CORE-003|CPF-QA-CORE-004|CPF-QA-RTC-028|CPF-QA-RTC-053|CPF-QA-RTC-078|CPF-QA-RTC-079|CPF-QA-RTF-007|CPF-QA-RTF-012|CPF-QA-RTF-017|CPF-QA-RTF-049|CPF-QA-ADM-003|CPF-QA-ADM-047|CPF-QA-ADM-069|CPF-QA-BZA-019|CPF-QA-BZA-052|CPF-QA-GWY-037|CPF-QA-BAT-024|CPF-QA-LEG-020|CPF-QA-GEN-014|CPF-QA-DB-029|CPF-QA-DB-064|CPF-QA-DB-074|CPF-QA-EXT-047|CPF-QA-OPS-020|CPF-QA-OPS-041|CPF-QA-UI-033|CPF-QA-ART-054|CPF-QA-D03-ALR-003|CPF-QA-D03-BATOPS-027|CPF-QA-D03-BATEDU-047|CPF-QA-D03-EDU-011|CPF-QA-D03-EDU-055|CPF-QA-D03-ALR-031|CPF-QA-D03-ALR-044|CPF-QA-D03-INS-014|CPF-QA-D03-LOG-017,CpfMaintenanceRuntimeApplier; transaction policy consumers,features/transactions; features/transaction-groups; features/maintenance,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
SERVICE_CALL,Service Call·Remote Call,CPF-QA-CORE-027|CPF-QA-GWY-014|CPF-QA-BAT-060|CPF-QA-BAT-061|CPF-QA-DB-045|CPF-QA-D03-EDU-003|CPF-QA-D03-EDU-004|CPF-QA-D03-EDU-010|CPF-QA-D03-VAL-011,CpfServiceRouteRuntimeApplier; CpfCircuitRuntimeApplier; CpfHealthAwareInstanceSelector,features/service-registry,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
GATEWAY,Gateway,CPF-QA-FND-006|CPF-QA-FND-014|CPF-QA-FND-015|CPF-QA-FND-016|CPF-QA-FND-017|CPF-QA-FND-018|CPF-QA-FND-019|CPF-QA-FND-020|CPF-QA-ARCH-012|CPF-QA-ARCH-032|CPF-QA-RTF-014|CPF-QA-RTF-018|CPF-QA-RTF-019|CPF-QA-RTF-020|CPF-QA-ADM-053|CPF-QA-GWY-001|CPF-QA-GWY-002|CPF-QA-GWY-003|CPF-QA-GWY-004|CPF-QA-GWY-005|CPF-QA-GWY-006|CPF-QA-GWY-007|CPF-QA-GWY-008|CPF-QA-GWY-009|CPF-QA-GWY-010|CPF-QA-GWY-011|CPF-QA-GWY-012|CPF-QA-GWY-013|CPF-QA-GWY-014|CPF-QA-GWY-015|CPF-QA-GWY-016|CPF-QA-GWY-017|CPF-QA-GWY-018|CPF-QA-GWY-019|CPF-QA-GWY-020|CPF-QA-GWY-021|CPF-QA-GWY-022|CPF-QA-GWY-023|CPF-QA-GWY-024|CPF-QA-GWY-025|CPF-QA-GWY-026|CPF-QA-GWY-027|CPF-QA-GWY-028|CPF-QA-GWY-029|CPF-QA-GWY-030|CPF-QA-GWY-031|CPF-QA-GWY-032|CPF-QA-GWY-033|CPF-QA-GWY-034|CPF-QA-GWY-035|CPF-QA-GWY-036|CPF-QA-GWY-037|CPF-QA-GWY-038|CPF-QA-GWY-039|CPF-QA-GWY-040|CPF-QA-GWY-041|CPF-QA-GWY-042|CPF-QA-GWY-043|CPF-QA-GWY-044|CPF-QA-GWY-045|CPF-QA-GWY-046|CPF-QA-GWY-047|CPF-QA-GWY-048|CPF-QA-GWY-049|CPF-QA-GWY-050|CPF-QA-GWY-051|CPF-QA-GWY-052|CPF-QA-GWY-053|CPF-QA-GWY-054|CPF-QA-GWY-055|CPF-QA-GWY-056|CPF-QA-GWY-057|CPF-QA-GWY-058|CPF-QA-GWY-059|CPF-QA-GWY-060|CPF-QA-GWY-061|CPF-QA-GWY-062|CPF-QA-GWY-063|CPF-QA-GWY-064|CPF-QA-GEN-038,CpfGatewayRuntimeApplier; CpfGatewayRouteRuntimeApplier; CpfGatewayProxyService,features/channel-policy; features/runtime-control,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
LOG_TRACE,로그·추적,CPF-QA-FND-009|CPF-QA-FND-021|CPF-QA-FND-022|CPF-QA-FND-024|CPF-QA-FND-025|CPF-QA-FND-034|CPF-QA-FND-040|CPF-QA-GOV-022|CPF-QA-ARCH-010|CPF-QA-CORE-036|CPF-QA-CORE-047|CPF-QA-RTC-087|CPF-QA-RTF-006|CPF-QA-RTF-007|CPF-QA-RTF-008|CPF-QA-RTF-045|CPF-QA-RTF-052|CPF-QA-ADM-038|CPF-QA-ADM-045|CPF-QA-ADM-046|CPF-QA-BZA-007|CPF-QA-BZA-008|CPF-QA-BZA-017|CPF-QA-BZA-018|CPF-QA-BZA-019|CPF-QA-GWY-011|CPF-QA-GWY-057|CPF-QA-CMN-016|CPF-QA-CMN-027|CPF-QA-CMN-039|CPF-QA-BAT-001|CPF-QA-BAT-037|CPF-QA-LEG-001|CPF-QA-LEG-002|CPF-QA-LEG-003|CPF-QA-LEG-004|CPF-QA-LEG-005|CPF-QA-LEG-006|CPF-QA-LEG-007|CPF-QA-LEG-008|CPF-QA-LEG-009|CPF-QA-LEG-010|CPF-QA-LEG-011|CPF-QA-LEG-012|CPF-QA-LEG-013|CPF-QA-LEG-014|CPF-QA-LEG-015|CPF-QA-LEG-016|CPF-QA-LEG-017|CPF-QA-LEG-018|CPF-QA-LEG-019|CPF-QA-LEG-020|CPF-QA-LEG-021|CPF-QA-LEG-022|CPF-QA-LEG-023|CPF-QA-LEG-024|CPF-QA-LEG-025|CPF-QA-LEG-026|CPF-QA-LEG-027|CPF-QA-LEG-028|CPF-QA-LEG-029|CPF-QA-LEG-030|CPF-QA-LEG-031|CPF-QA-LEG-032|CPF-QA-LEG-033|CPF-QA-LEG-034|CPF-QA-LEG-035|CPF-QA-LEG-036|CPF-QA-LEG-037|CPF-QA-LEG-038|CPF-QA-LEG-039|CPF-QA-LEG-040|CPF-QA-LEG-041|CPF-QA-LEG-042|CPF-QA-LEG-043|CPF-QA-LEG-044|CPF-QA-LEG-045|CPF-QA-LEG-046|CPF-QA-LEG-047|CPF-QA-LEG-048,CpfDynamicLogLevelRuntimeApplier; CpfTraceSamplingRuntimeApplier; CpfMaskingPolicyRuntimeApplier,features/log-level; features/log-policies; features/logs,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
BATCH_RUNTIME,Batch·Scheduler·Worker·Center-Cut·Agent,CPF-QA-ARCH-006|CPF-QA-ARCH-013|CPF-QA-RTF-039|CPF-QA-RTF-040|CPF-QA-RTF-041|CPF-QA-RTF-042|CPF-QA-RTF-043|CPF-QA-ADM-052|CPF-QA-BAT-001|CPF-QA-BAT-002|CPF-QA-BAT-003|CPF-QA-BAT-004|CPF-QA-BAT-005|CPF-QA-BAT-006|CPF-QA-BAT-007|CPF-QA-BAT-008|CPF-QA-BAT-009|CPF-QA-BAT-010|CPF-QA-BAT-011|CPF-QA-BAT-012|CPF-QA-BAT-013|CPF-QA-BAT-014|CPF-QA-BAT-015|CPF-QA-BAT-016|CPF-QA-BAT-017|CPF-QA-BAT-018|CPF-QA-BAT-019|CPF-QA-BAT-020|CPF-QA-BAT-021|CPF-QA-BAT-022|CPF-QA-BAT-023|CPF-QA-BAT-024|CPF-QA-BAT-025|CPF-QA-BAT-026|CPF-QA-BAT-027|CPF-QA-BAT-028|CPF-QA-BAT-029|CPF-QA-BAT-030|CPF-QA-BAT-031|CPF-QA-BAT-032|CPF-QA-BAT-033|CPF-QA-BAT-034|CPF-QA-BAT-035|CPF-QA-BAT-036|CPF-QA-BAT-037|CPF-QA-BAT-038|CPF-QA-BAT-039|CPF-QA-BAT-040|CPF-QA-BAT-041|CPF-QA-BAT-042|CPF-QA-BAT-043|CPF-QA-BAT-044|CPF-QA-BAT-045|CPF-QA-BAT-046|CPF-QA-BAT-047|CPF-QA-BAT-048|CPF-QA-BAT-049|CPF-QA-BAT-050|CPF-QA-BAT-051|CPF-QA-BAT-052|CPF-QA-BAT-053|CPF-QA-BAT-054|CPF-QA-BAT-055|CPF-QA-BAT-056|CPF-QA-BAT-057|CPF-QA-BAT-058|CPF-QA-BAT-059|CPF-QA-BAT-060|CPF-QA-BAT-061|CPF-QA-BAT-062|CPF-QA-BAT-063|CPF-QA-BAT-064|CPF-QA-BAT-065|CPF-QA-GEN-045|CPF-QA-OPS-025|CPF-QA-OPS-035|CPF-QA-UI-027|CPF-QA-D03-FND-005|CPF-QA-D03-FND-008|CPF-QA-D03-ALR-003,cpf-batch owner runtimes and control contract,features/batch-runtime-control; batch-* features,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
SECURITY_RUNTIME_POLICY,Security Runtime Policy,CPF-QA-FND-001|CPF-QA-FND-026|CPF-QA-FND-033|CPF-QA-GOV-001|CPF-QA-GOV-002|CPF-QA-GOV-003|CPF-QA-GOV-004|CPF-QA-GOV-005|CPF-QA-GOV-006|CPF-QA-GOV-007|CPF-QA-GOV-008|CPF-QA-GOV-009|CPF-QA-GOV-010|CPF-QA-GOV-011|CPF-QA-GOV-012|CPF-QA-GOV-013|CPF-QA-GOV-014|CPF-QA-GOV-015|CPF-QA-GOV-016|CPF-QA-GOV-017|CPF-QA-GOV-018|CPF-QA-GOV-019|CPF-QA-GOV-020|CPF-QA-GOV-021|CPF-QA-GOV-022|CPF-QA-GOV-023|CPF-QA-GOV-024|CPF-QA-GOV-025|CPF-QA-GOV-026|CPF-QA-GOV-027|CPF-QA-GOV-028|CPF-QA-GOV-029|CPF-QA-GOV-030|CPF-QA-GOV-031|CPF-QA-ARCH-001|CPF-QA-ARCH-002|CPF-QA-ARCH-003|CPF-QA-ARCH-004|CPF-QA-ARCH-005|CPF-QA-ARCH-006|CPF-QA-ARCH-007|CPF-QA-ARCH-008|CPF-QA-ARCH-009|CPF-QA-ARCH-010|CPF-QA-ARCH-011|CPF-QA-ARCH-012|CPF-QA-ARCH-013|CPF-QA-ARCH-014|CPF-QA-ARCH-015|CPF-QA-ARCH-016|CPF-QA-ARCH-017|CPF-QA-ARCH-018|CPF-QA-ARCH-019|CPF-QA-ARCH-020|CPF-QA-ARCH-021|CPF-QA-ARCH-022|CPF-QA-ARCH-023|CPF-QA-ARCH-024|CPF-QA-ARCH-025|CPF-QA-ARCH-026|CPF-QA-ARCH-027|CPF-QA-ARCH-028|CPF-QA-ARCH-029|CPF-QA-ARCH-030|CPF-QA-ARCH-031|CPF-QA-ARCH-032|CPF-QA-ARCH-033|CPF-QA-ARCH-034|CPF-QA-ARCH-035|CPF-QA-ARCH-036|CPF-QA-ARCH-037|CPF-QA-ARCH-038|CPF-QA-ARCH-039|CPF-QA-ARCH-040|CPF-QA-ARCH-041|CPF-QA-CORE-001|CPF-QA-CORE-002|CPF-QA-CORE-003|CPF-QA-CORE-004|CPF-QA-CORE-005,Password/SecurityMaterial Runtime Appliers,features/security; features/password; features/secrets; features/permissions,cpf-tools/scripts/check-runtime-capability-consumers.ps1,미검증,desired/actual/version/preview/auth/reason/approval/CAS/delivery/ACK/retry/rollback/offline reconcile/drift/audit E2E on exact SHA
