request_id,canonical_requirement_id,work_item_count,requirement_count,scenario_count,actual_source,actual_consumer,full_call_path,test_inventory,normal_path,error_partial_path,unknown_recovery,db_contract,security_contract,frontend_openapi,local_product_change,development_status,verification_status,evidence_ref
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-AGENT,5,318,543,cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeCommand.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeHeartbeat.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/RuntimeRegistration.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentController.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/AgentCommandLedger.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/RuntimeControlProxy.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeCommandExecutor.java; cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/internal/ServiceManager.java,cpf-batch/control-server/src/main/java/com/cpf/batch/control/RuntimeControlController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmRuntimeControlController.java; host agent runtime process,ADM approved runtime command -> RuntimeControlController -> RuntimeCommandExecutor -> RuntimeLifecycleService/AgentController -> AgentCommandLedger -> result aggregation/audit,AgentCommandLedgerTest; RuntimeControlProxyTest; RuntimeCommandIdentityTest; RuntimeCommandExecutorFailureClassificationTest; S02 runtime-command harness; AgentControllerServiceStateTest; ServiceManagerResultTest; S02 host-agent state harness,Registered Agent receives idempotent approved command and returns terminal state/evidence.,"Duplicate payload conflict, response loss, non-terminal result and evidence persistence failure are fail-closed.",UNKNOWN requires same idempotency key/reconcile; rollback and partial rollback states are preserved.,Runtime registry/command/attempt SQL catalogs; multi-instance DB runtime pending.,"mTLS/client identity, requester-approver separation, reason, approval reference, sanitized evidence.",ADM runtime control UI/API; target OpenAPI/browser recheck pending.,yes,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-AGENT_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CALL-ASYNC,4,61,72,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaRemoteConfiguration.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaInboundBridge.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaManagerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafkaWorkerListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfKafkaOutboundMessageChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcCpfBatchRemoteMessageLedger.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/RemoteMessageReconciliationController.java,Manager/worker Spring Batch steps and Kafka listeners; POST /api/v1/batch/remote-messages/{direction}/{messageId}/reconcile-unknown/retry,Manager -> canonical envelope/outbound channel -> Kafka -> worker listener/handler -> result topic -> manager listener -> message ledger/step completion; ADM approval -> reconcile API -> CAS -> audit -> ledger retry state,CpfBatchKafkaInboundBridgeAttemptOwnerTest; CpfBatchKafkaWorkerListenerAckBoundaryTest; JdbcCpfBatchRemoteMessageLedgerTest; CpfBatchRemoteCodecTest; RemoteMessageReconciliationControllerTest; remote UNKNOWN reconcile harness,Correlated request/result envelope is durably deduplicated and ACKed at the correct boundary.,"Decode failure, duplicate, late response, ACK loss and dependency outage preserve UNKNOWN/DLQ evidence.",Ledger-based duplicate prevention and explicit reconcile/restart avoid blind re-execution.,Remote message ledger SQL + broker topics; broker/three-vendor runtime pending.,"Payload validation, topic/consumer isolation and sanitized error evidence.",N/A: internal async channel; ADM consumes execution projection.,yes,부분 구현,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-ASYNC_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CALL-SYNC,4,61,72,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSynchronousWorkerChannel.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemProcessor.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfRemoteChunkItemWriter.java,CpfBatchTasklet; CpfRemoteWorkerTasklet; SpringBatchWorkerStepHandler,Manager step -> synchronous worker channel -> worker handler -> response -> chunk processor/writer -> Spring Batch commit boundary,CpfSynchronousWorkerChannelTest; CpfRemoteChunkItemProcessorTest; CpfBatchRemoteCodecTest,Same-JVM synchronous invocation returns a correlated result within the step transaction boundary.,Worker failure/timeout/null response is mapped to retryable/unknown/failure semantics.,Spring Batch retry/restart controls re-entry; duplicate item identity is preserved.,Spring Batch repository and remote message ledger where configured.,Canonical envelope and sanitized payload/error.,N/A: internal execution channel; ADM observes projected execution state.,no,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CALL-SYNC_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-CORE,4,285,492,cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchExecutionPlan.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchJobDefinition.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchStepDefinition.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchJobFactory.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchTasklet.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSpringBatchExecutionControl.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcBatchExecutionControlPlaneAdapter.java,cpf-batch/scheduler/src/main/java/com/cpf/batch/scheduler/SchedulerDispatchService.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java; cpf-admin/src/main/java/com/cpf/admin/opr/batch/RemoteCpfBatchOperationsAdapter.java,ADM/Scheduler request -> BatchExecutionControlPort -> CpfSpringBatchExecutionControl -> Spring Batch JobLauncher/JobRepository -> execution listener/control-plane ledger,CpfSpringBatchExecutionControlParametersTest; CpfSpringBatchExecutionControlRecoveryTest; CpfSpringBatchExecutionControlAbandonTest; JdbcBatchExecutionControlPlaneAdapterSqlCatalogTest; CpfSpringBatchExecutionControlRecoveryTest; stale-link reconcile harness,Approved launch resolves canonical Job/Step and persists Spring Batch execution identity.,Validation/repository/launch failures are classified without replacing the Spring Batch engine.,Restart/abandon/reconcile use Spring Batch JobRepository and preserved execution context.,Spring Batch metadata + BAT control-plane SQL catalog; MariaDB/PostgreSQL/Oracle runtime validation pending.,"Approved launch context, sanitized evidence, owner API boundary.",ADM batch adapter/workbench; browser/OpenAPI target check pending.,yes,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-CORE_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-EXECUTOR,5,61,72,cpf-batch/worker/src/main/java/com/cpf/batch/worker/ApprovedShellExecutor.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/ApprovedFileExecutor.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/BatchRuntimeExecutorRegistry.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/JcaScriptArtifactVerifier.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java,cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchTasklet.java; cpf-batch/worker/src/main/java/com/cpf/batch/worker/WorkerControlController.java,Spring Batch tasklet/step -> executor registry -> approved shell/file executor -> process/transfer -> tracker/result/audit,ApprovedShellExecutorTest; ApprovedFileExecutorTest; ApprovedFileExecutorRemoteTransferTest; JcaScriptArtifactVerifierTest; SpringBatchWorkerStepHandlerTest,Only registered approved executor types and verified artifacts are executed.,"Unknown executor, hash/signature mismatch, timeout and non-zero exit are explicit failures.",Timeout/cancel/partial file operation produces bounded evidence and retry decision.,Execution ledger/worker tracking; filesystem/process contracts; DB runtime recheck pending.,"Allowlisted command/artifact, canonical path, signature/hash, output sanitization.",Worker operations consumed through ADM/control server; target browser recheck pending.,no,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-EXECUTOR_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-ITEM,4,99,136,cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchStepDefinition.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchTasklet.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchExecutionListener.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/JdbcBatchExecutionControlPlaneAdapter.java,cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java,Job/Step execution -> CpfBatchTasklet/handler -> Spring Batch StepExecution/ExecutionContext -> control-plane projection -> ADM detail,CpfSpringBatchExecutionControlParametersTest; SpringBatchWorkerStepHandlerTest; WorkerExecutionTrackerTest,"StepExecution, checkpoint and ExecutionContext are persisted and queryable.",Reader/processor/writer/tasklet failures preserve step status and bounded error evidence.,Restart resumes from Spring Batch checkpoint/ExecutionContext rather than duplicate custom state.,Spring Batch step/execution context metadata + projection SQL; target DB recheck pending.,Sensitive parameters and item evidence are sanitized/masked.,ADM step execution detail/checkpoint view; browser recheck pending.,no,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-ITEM_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-JOB,5,99,136,cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchJobDefinition.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/BatchJobDefinitionControlPort.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionController.java; cpf-batch/control-server/src/main/java/com/cpf/batch/control/job/BatchJobDefinitionService.java; cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/JobPackCatalog.java; cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfSpringBatchExecutionControl.java,cpf-admin/src/main/java/com/cpf/admin/opr/batch/RemoteBatchJobDefinitionControlAdapter.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java; SchedulerDispatchService,ADM definition API -> RemoteBatchJobDefinitionControlAdapter -> BatchJobDefinitionController/Service -> canonical job catalog -> Scheduler/Worker,control-server job package tests; JdbcBatchApprovedLaunchRequestResolverSqlCatalogTest; ADM batch workbench tests in target environment; CpfSpringBatchExecutionControlRecoveryTest; stale-link reconcile harness,"Versioned Job Definition is listed, detailed, approved and consumed by scheduler/worker.",Invalid definition/version/parameter and stale update are rejected without partial activation.,Previous approved version and job-pack snapshot remain available for rollback/relaunch.,BAT job-definition/query SQL catalog and version metadata; three-vendor runtime pending.,"Definition mutation requires permission, reason, approval and audit.",ADM Job Definition list/detail/workbench; generated client/browser recheck pending.,yes,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-JOB_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,BAT-SHARED,6,61,72,cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/BatchRuntimePolicy.java; cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/BatchRuntimePolicyApplier.java; cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/RuntimeIdentityFactory.java; cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/RuntimeReporter.java; cpf-batch/runtime-common/src/main/java/com/cpf/batch/runtime/SensitiveTextSanitizer.java; cpf-batch/contract/src/main/java/com/cpf/batch/api,"control-server, scheduler, worker, host-agent, center-cut-runner applications",Canonical contract/config -> runtime-common policy/identity/sanitizer -> each batch runtime -> heartbeat/report/control consumers,cpf-batch/runtime-common/src/test/java/com/cpf/batch/runtime; module runtime policy tests,"Shared identity, policy and sanitization are consistently applied across batch runtimes.",Invalid/expired policy and missing runtime identity fail closed.,Last valid policy and desired/actual state support reconcile.,Shared BAT datasource and vendor SQL catalog contracts.,"Secret-free config, identity headers, sanitization and masking.",ADM consumes shared runtime projections; frontend target recheck pending.,no,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/BAT-SHARED_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-CLAIM,4,80,104,"cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutClaimRepository.java; cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/internal/JdbcCenterCutAdmissionControl.java; cpf-tools/db/vendor/{mariadb,postgresql,oracle}/runtime/bat/repository/centercut-claim-*.sql",SpringBatchCenterCutStepHandler; CenterCutLifecycleReconciler,Runner step -> candidate query -> admission -> claim CAS/fencing -> heartbeat/complete or scheduled expiry -> UNKNOWN execution increment,JdbcCenterCutClaimRepositoryTest; CenterCutLifecycleReconcilerTest; S02 claim harness,Exactly one runner owns an item claim with token/fencing/lease.,"Lost race, stale token and missing execution owner fail closed.",Expired claim moves item and owning execution to UNKNOWN atomically; no new step launch required.,Three-vendor claim/expiry/item/execution SQL; real DB concurrency/process-kill pending.,Owner identity/token are not exposed to unauthorized consumer.,ADM reads claim/unknown state; S05 mutation consumer pending.,yes,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/CENTER-CLAIM_REVIEW.md
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,CENTER-CORE,4,253,432,cpf-batch/contract/src/main/java/com/cpf/batch/api/CenterCutExecutionRequest.java; cpf-batch/contract/src/main/java/com/cpf/batch/api/CenterCutExecutionState.java; cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/CenterCutTargetGenerator.java; cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/SpringBatchCenterCutStepHandler.java; cpf-batch/center-cut-runner/src/main/java/com/cpf/batch/centercut/runner/SpringBatchCenterCutRuntimeState.java,CenterCutControlController; Spring Batch center-cut job; ADM Center-Cut operations adapter,Center-cut request -> target generator -> execution/items -> Spring Batch step handler -> claim/rate/worker -> execution projection,center-cut runner target/runtime/step handler tests; JdbcCenterCutClaimRepositoryTest,Parameter snapshot/hash and generated targets create durable execution/item state.,Invalid target/parameter/handler result is explicit and does not create ambiguous duplicate work.,Failed range and unknown item are reprocessed only through bounded execution-scoped command.,Center-cut job/execution/item/claim SQL in MariaDB/PostgreSQL/Oracle catalogs; DB runtime pending.,"Protected parameter snapshot, reason/approval and sanitized audit.",ADM Center-Cut list/detail/operations; S05 execution-scope mutation integration pending.,no,완료,재확인 필요,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/evidence/CENTER-CORE_REVIEW.md
