request_id,engineering_gate,status,command,exit_code,actual_result,evidence_ref
CPF-V9-S03-REQ-20260805-001,GATE-01-OWNERSHIP,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-02-CONSUMER,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-03-HTTP-API,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-04-EVENT-API,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-05-DB-QUERY,재확인 필요,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; target Java25/DB/Broker/Browser/Process evidence pending,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-06-STATE-IDEMP,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-07-MULTI-INSTANCE,재확인 필요,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; target Java25/DB/Broker/Browser/Process evidence pending,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-08-UNKNOWN-RECOVERY,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-09-SECURITY,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-10-CRYPTO-PRIVACY,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-11-OPS-AUDIT,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-12-OBSERVABILITY,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-13-PERFORMANCE,재확인 필요,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; target Java25/DB/Broker/Browser/Process evidence pending,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-15-GENERATOR,재확인 필요,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; target Java25/DB/Broker/Browser/Process evidence pending,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-16-COMPATIBILITY,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-18-TEST-EVIDENCE,재확인 필요,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; target Java25/DB/Broker/Browser/Process evidence pending,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-20-HYGIENE,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
CPF-V9-S03-REQ-20260805-001,GATE-21-TIME,완료,evidence harness suite + Source/Consumer trace + CSV/JSON/Hygiene validators,0 for local alternative gates; target runtime not executed where status=재확인 필요,Gate individually judged; Acceptance-based alternative evidence passed,TEST_AND_EVIDENCE.md#engineering-gates
