source_requirement_id,source_text,source_status,new_child_first_id,new_child_last_id,new_child_count,mapping_type,change_reason,active_rule,baseline_sha,r3_handling,r3_status
ARCH-MISSION,CPF를 금융권 포함 엔터프라이즈 업무시스템의 구축·운영·감사·확장·검증·배포를 책임지는 상용 Business Platform Framework로 완성한다.,HISTORY_SOURCE_ONLY,CPF-FR-000001,CPF-FR-000061,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
ARCH-MSA,"동일 Public Contract로 Modular Monolith, 동일 JVM Local Call, 분리 WAS Remote Call, 독립 Microservice를 지원하고 topology 변경이 업무 계약을 바꾸지 않게 한다.",HISTORY_SOURCE_ONLY,CPF-FR-000062,CPF-FR-000122,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
ARCH-BOUNDARY,기술 공통·고객 공통·플랫폼 운영·업무 관리·Batch·Gateway·Generated Domain의 Owner를 단일화하고 역방향·순환·DB 직접 접근을 금지한다.,HISTORY_SOURCE_ONLY,CPF-FR-000123,CPF-FR-000183,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
ARCH-LAYER,Public API·확장 SPI·Internal 구현을 Module·Package·Publication·JavaDoc·ArchUnit로 구분하고 외부 Consumer의 Internal 참조를 차단한다.,HISTORY_SOURCE_ONLY,CPF-FR-000184,CPF-FR-000244,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CORE-API,고객 개발자가 최소 입력으로 안전하게 사용할 수 있는 발견 가능한 Public API를 제공하고 거대 Utils·의미 없는 Wrapper·선택 Runtime type 노출을 금지한다.,HISTORY_SOURCE_ONLY,CPF-FR-000245,CPF-FR-000305,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CORE-SPI,고객·Generated Domain·기관 Adapter가 구현할 안정된 SPI와 lifecycle·capability·version compatibility·failure contract를 제공한다.,HISTORY_SOURCE_ONLY,CPF-FR-000306,CPF-FR-000366,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CORE-CONFIG,safe default→customer property→profile→operation override→per-call override 순서와 허용범위·권한·버전·감사·rollback을 보장한다.,HISTORY_SOURCE_ONLY,CPF-FR-000367,CPF-FR-000427,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CORE-TESTKIT,Public Contract·Header·오류·idempotency·Local/Remote parity·failure injection을 외부 Consumer가 재사용할 Test Kit로 제공한다.,HISTORY_SOURCE_ONLY,CPF-FR-000428,CPF-FR-000488,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CPF-CALL,동일 JVM과 분리 WAS 호출에 동일 Header·권한·deadline·오류·추적·idempotency를 적용하고 내부 호출의 Gateway 재경유를 금지한다.,HISTORY_SOURCE_ONLY,CPF-FR-000489,CPF-FR-000549,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
CPF-REGISTRY,"Service·Endpoint·Instance·capability·version·zone·health·maintenance·draining 등록, lease, TTL, stale 제거와 조회 계약을 제공한다.",HISTORY_SOURCE_ONLY,CPF-FR-000550,CPF-FR-000610,61,REISSUED_AND_DECOMPOSED,최신 유효 요구로 신규 ID 재발급; 과거 상태 미승계,신규 CPF-FR ID만 활성; 과거 상태 미승계,4aea798c913787e86341809e2cef2b9495cbf7ba,R2 신규 ID 유지·상태 초기화·Phase/선행관계 부여·최신 Source Closure 재검증,ACTIVE_R3_REVALIDATION
