function_point_id,requirement_id,feature,function_type,acceptance_criteria
GWY-ENTRY,CPF-FR-003173,기능 목적·업무 결과,PURPOSE,Gateway 운영자·개발자가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003174,Owner·경계,OWNER,Gateway 운영자·개발자가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003175,실제 Consumer,CONSUMER,Gateway 운영자·개발자가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003176,Public API,PUBLIC_API,Gateway 운영자·개발자가 실제 제품 경로에서 Public API 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003177,고객 확장 SPI,EXTENSION_SPI,Gateway 운영자·개발자가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003178,Internal 구현,INTERNAL_IMPL,Gateway 운영자·개발자가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003179,입력 계약,INPUT,Gateway 운영자·개발자가 실제 제품 경로에서 입력 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003180,출력 계약,OUTPUT,Gateway 운영자·개발자가 실제 제품 경로에서 출력 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003181,설정 계약,CONFIG,Gateway 운영자·개발자가 실제 제품 경로에서 설정 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
GWY-ENTRY,CPF-FR-003182,검증,VALIDATION,Gateway 운영자·개발자가 실제 제품 경로에서 검증 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.
