record_type,record_id,related_requirement_id,development_status,verification_status,source_or_evidence_paths,notes
REQUIREMENT,OSS-GOV-001,OSS-GOV-001,완료,미검증,"cpf-batch/execution-runtime/**;cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V82__*.sql;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V84__*.sql;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/**;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/**;settings.gradle;build.gradle;gradle/cpf-stack.properties;cpf-tools/scripts/verify-cpf-qa32-generator.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-ARCH-001,OSS-ARCH-001,완료,미검증,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java;cpf-starters/observability/**;cpf-starters/cache/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;settings.gradle;build.gradle;gradle/cpf-stack.properties;cpf-tools/scripts/verify-cpf-qa32-generator.py;cpf-tools/scripts/verify-cpf-qa32-repository-security.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-UI-001,OSS-UI-001,완료,미검증,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/observability/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;settings.gradle;build.gradle;gradle/cpf-stack.properties;cpf-tools/scripts/verify-cpf-qa32-generator.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-FE-001,OSS-FE-001,완료,미검증,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/resilience/**;cpf-starters/cache/**",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-API-001,OSS-API-001,완료,미검증,"cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-BFF-001,OSS-BFF-001,완료,미검증,"cpf-gateway/src/main/java/com/cpf/gateway/scg/**;cpf-gateway/build.gradle;cpf-docs/work/manifest/CPF_20260731_QA32_DELETE_MANIFEST.txt;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/observability/**;cpf-starters/featureflag/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/**;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/**;cpf-tools/scripts/verify-cpf-qa32-repository-security.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-GWY-001,OSS-GWY-001,완료,미검증,"cpf-gateway/src/main/java/com/cpf/gateway/scg/**;cpf-gateway/build.gradle;cpf-docs/work/manifest/CPF_20260731_QA32_DELETE_MANIFEST.txt;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/resilience/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/**;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/**;settings.gradle;build.gradle;gradle/cpf-stack.properties;cpf-tools/scripts/verify-cpf-qa32-generator.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-MSG-001,OSS-MSG-001,완료,미검증,"cpf-batch/execution-runtime/**;cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V82__*.sql;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V84__*.sql;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java;cpf-starters/resilience/**;cpf-starters/observability/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/**;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/**;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-RES-001,OSS-RES-001,완료,미검증,"cpf-gateway/src/main/java/com/cpf/gateway/scg/**;cpf-gateway/build.gradle;cpf-docs/work/manifest/CPF_20260731_QA32_DELETE_MANIFEST.txt;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java;cpf-starters/resilience/**;cpf-starters/observability/**;cpf-batch/control-server/src/main/java/com/cpf/batch/control/deploy/**;cpf-batch/host-agent/src/main/java/com/cpf/batch/agent/**;cpf-tools/scripts/verify-cpf-qa32-repository-security.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
REQUIREMENT,OSS-BATCH-001,OSS-BATCH-001,완료,미검증,"cpf-batch/execution-runtime/**;cpf-batch/worker/src/main/java/com/cpf/batch/worker/SpringBatchWorkerStepHandler.java;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V82__*.sql;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V84__*.sql;cpf-admin/frontend/**;cpf-biz-admin/frontend/**;cpf-starters/security/**;cpf-tools/db/vendor/{oracle,postgresql,mariadb}/**/V83__*.sql;cpf-starters/messaging-kafka/**;cpf-batch/execution-runtime/src/main/java/com/cpf/batch/execution/CpfBatchKafka*.java;cpf-starters/observability/**;cpf-tools/supply-chain/**;cpf-tools/scripts/generate-cpf-supply-chain-evidence.ps1;cpf-docs/legal/THIRD_PARTY_NOTICES_QA32.md;settings.gradle;build.gradle;gradle/cpf-stack.properties;cpf-tools/scripts/verify-cpf-qa32-generator.py;cpf-tools/scripts/verify-cpf-qa32-repository-security.py;cpf-tools/scripts/verify-cpf-qa32-primary-engines.py;cpf-tools/scripts/verify-cpf-qa32-completion.py;cpf-docs/quality/CPF_20260730_QA32_RESULT_MATRIX.csv",정적 Gate 통과; Java25/3DB/Kafka/Playwright exact-SHA Runtime 검증 필요
