session_id,source_result_path,local_capture_file,size_bytes,sha256,usage,review_status
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/DEVELOPMENT_SESSION_RESULT.csv,S01_DEVELOPMENT_SESSION_RESULT.csv,1431,05b8c3e9514e812cf7ea3c9dd94a941e43edbb176c6b1310301f8de463889829,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/DEVELOPMENT_WORK_ITEM_RESULT.csv,S01_DEVELOPMENT_WORK_ITEM_RESULT.csv,45207,39de0bac0b66102b62c2296d00eb306df228714f8624fe270d6cc479cb6cc3d4,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S01_DEVELOPMENT_REQUIREMENT_RESULT.csv,3996793,8637cac65ecff199155c52a82397ef762ff2e69b2708816f02329c3d336f3be1,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/DEVELOPMENT_SCENARIO_RESULT.csv,S01_DEVELOPMENT_SCENARIO_RESULT.csv,6969403,2f2817019ab4f409ab3ddae038895cf9c01f05e77663e1cc77e87bb25bc0e48f,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/ENGINEERING_GATE_RESULT.csv,S01_ENGINEERING_GATE_RESULT.csv,4820,2b0e1c9ede9e3f87f614d2c9c49bb64d573e2b93bcadb3423d0ac6f6cf686cb4,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S01,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/S01-20260805/REV-001/sessions/DEVGPT-V9-S01/results/INTEGRATION_REQUEST_STATUS.csv,S01_INTEGRATION_REQUEST_STATUS.csv,2441,cb2399814dfb8351e78cd8252bddfe7c44590634f833cb9525f44a2de861f268,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/DEVELOPMENT_SESSION_RESULT.csv,S02_DEVELOPMENT_SESSION_RESULT.csv,883,91a3650c82a95bf55b3c6ba6b48770946a75d450bbe49273a2cf2be029b1301d,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/DEVELOPMENT_WORK_ITEM_RESULT.csv,S02_DEVELOPMENT_WORK_ITEM_RESULT.csv,215483,6b09b410688586dbaa100a62f654dce4c03fed521bb4c01438153ca9ee97afcf,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/DEVELOPMENT_REQUIREMENT_RESULT.csv,S02_DEVELOPMENT_REQUIREMENT_RESULT.csv,16782118,a4c0e88d7c46911ab435873105cc0b16fac43522feadb305753bb3a0da7cb9f1,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/DEVELOPMENT_SCENARIO_RESULT.csv,S02_DEVELOPMENT_SCENARIO_RESULT.csv,15319451,61b1693e855c9b4caba2e65aa550780bfa7acf1f095420481a5f3932551d5033,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
S02,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/results/ENGINEERING_GATE_RESULT.csv,S02_ENGINEERING_GATE_RESULT.csv,7418,52a08a6e47a2739d72baa1ae0489100b34e9392ae73bbb4a8a3c77c8a3e2ca03,PRIMARY_LEDGER_MERGE,READ_AND_MERGED
