record_id,current_scope,disposition,target_owner_or_artifact,reason,priority,required_verification
CORE-001,cpf-core API/SPI/model,KEEP_CORE,cpf-core,"Public API/SPI, immutable DTO, identifiers, errors, context only",P0,non-Boot consumer compile and published POM
CORE-002,cpf-core/build.gradle MyBatis implementation,MOVE_TO_STARTER,cpf-starter-persistence-mybatis,Core must not transitively force MyBatis,P0,core dependency report; persistence/no-persistence variants
CORE-003,CpfDataSourceConfig,MOVE_TO_STARTER,cpf-starter-persistence-jdbc,DataSource/JDBC is optional runtime,P0,ApplicationContextRunner and 3DB runtime
CORE-004,CpfMyBatisConfig + mybatis resources,MOVE_TO_STARTER,cpf-starter-persistence-mybatis,Mapper runtime follows persistence selection,P0,mapper consumer and removal compile
CORE-005,CpfAopConfig + ServiceAccessAspect + AspectJ deps,MOVE_TO_STARTER,cpf-starter-aop-service-access,AOP is optional Boot runtime,P0,no-AOP core compile; aspect integration
CORE-006,CpfOpenApiAutoConfiguration + springdoc/Scalar,MOVE_TO_STARTER,cpf-starter-openapi-webmvc,OpenAPI UI must not enter non-web runtime,P0,web/no-web classpath and OpenAPI
CORE-007,CpfSecurityAutoConfiguration,SPLIT,cpf-starter-security-resource-server,Core retains security contract only,P0,session/stateless/mTLS variants
CORE-008,existing cpf-starter-security BFF/JDBC,SPLIT,cpf-starter-security-session-jdbc,Session JDBC must not be forced on resource server,P0,BFF 401 refresh/logout and no-session variant
CORE-009,CpfLogPolicy/Recovery/Environment + OTel deps,MOVE_TO_STARTER,cpf-starter-observability,SDK/exporter/log runtime are optional,P0,"exporter outage, no-otel compile, PII corpus"
CORE-010,CpfServiceCallAutoConfiguration + RestClient/WebClient bridge,MOVE_TO_STARTER,cpf-starter-http-client,Remote HTTP runtime optional; contract remains core,P0,local/remote parity and timeout fault
CORE-011,CpfAttachmentAutoConfiguration,MOVE_TO_STARTER,cpf-starter-attachment,Storage/runtime assembly optional,P1,file store variants and security
CORE-012,archive concrete runtime + commons-compress,SPLIT,cpf-starter-archive,Pure bounded API/algorithm may remain; external runtime moves,P1,zip/tar/gzip bomb and no-archive dependency
CORE-013,broker Envelope/Ports/Result,KEEP_CORE,cpf-core,Provider-neutral contract,P0,contract compatibility
CORE-014,Broker workers/runtime policy/bridge/client concrete,MOVE_TO_STARTER,cpf-starter-messaging-reliability-jdbc,Runtime workers do not belong in core,P0,outbox/inbox/DLQ/replay actual DB
CORE-015,JdbcCpfBrokerReliabilityRepository,MOVE_TO_STARTER,cpf-starter-messaging-reliability-jdbc,Concrete JDBC provider,P0,Oracle/PostgreSQL/MariaDB and unknown result
CORE-016,Kafka adapter,KEEP_STARTER,cpf-starter-messaging-kafka,Existing official provider,P0,actual Kafka runtime/fault
CORE-017,JMS provider-neutral runtime,NEW_STARTER,cpf-starter-messaging-jms,Restored canonical requirement,P0,actual JMS provider contract
CORE-018,IBM MQ provider,NEW_STARTER,cpf-starter-messaging-ibm-mq,JMS-specific provider extension,P0,IBM MQ compatible runtime/TLS/recovery
CORE-019,RabbitMQ/AMQP provider,NEW_STARTER,cpf-starter-messaging-rabbitmq,Restored canonical requirement,P0,actual RabbitMQ confirm/ack/DLX/fault
CORE-020,Channel API/model,KEEP_CORE,cpf-core,Topology-independent channel contract,P0,published API consumer
CORE-021,JdbcCpfChannelRegistryAdapter,MOVE_TO_STARTER,cpf-starter-channel-registry-jdbc,Concrete JDBC adapter,P1,3DB and DB-less variant
CORE-022,Persistent TCP connection runtime,NEW_STARTER,cpf-starter-integration-tcp,Connection/framing/heartbeat/recovery capability,P0,Toxiproxy disconnect/half-open/response loss
CORE-023,Fixed-length layout/parser contract,KEEP_CORE,cpf-core,Pure Java protocol engine; institution mapping stays domain,P0,encoding/byte length/bounded parser
CORE-024,RuntimeControl AutoConfiguration,SPLIT,cpf-starter-runtime-control-client + owner modules,Client bridge reusable; servers stay ADM/BAT/Gateway,P1,owner/consumer and no dual primary
CORE-025,Saga AutoConfiguration/runtime,SPLIT,cpf-starter-saga-runtime or owning adapter,Contract stays core; durable runtime optional,P1,state/compensation/unknown runtime
CORE-026,core/common/admin status query contracts,MOVE_OR_RENAME,cpf-admin public contract or neutral operations API,Admin package in core violates ownership,P0,all consumers migrated and boundary gate
CORE-027,application-cpf*.yml runtime profiles,MOVE_TO_STARTER_OR_OWNER,cpf-starter-base / owner apps,Core Artifact should not impose environment profile,P0,core jar resource inventory
CORE-028,cpf-common cache/Redis technical runtime,MOVE_TO_STARTER,cache-caffeine/cache-redis leaf starters,Business common must not force providers,P0,no-cache/caffeine/redis matrix
CORE-029,Generated Domain direct Web/MyBatis/Flyway dependencies,MIGRATE_CONSUMER,Generator Capability Profile,Domain selects profiles instead of ad-hoc runtime,P0,fresh arbitrary domain variants
CORE-030,Starter grouping,IMPLEMENT,Generator Profile + limited Aggregate Starter,A can include B with resolved lock and stable transitivity,P0,profile/aggregate/BOM/manifest drift gate
