path,change_type,purpose,impact,review_order,sha256,bytes
cpf-docs/quality/CPF_20260801_QA36_ACTIVE_GAP_REQUIREMENT_MATRIX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,1,c502e27f9e06df6260c0bad63b35ad28c03250e0cff8e332ea1c3409ffdd0106,44802
cpf-docs/quality/CPF_20260801_QA36_ADM_CANONICAL_162_COVERAGE_MATRIX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,2,b39b72f029a1214ec858fc4127394eb83a412ade927a6d08d6634155359713a2,24740
cpf-docs/quality/CPF_20260801_QA36_ADM_CURRENT_59_ROUTE_BASELINE.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,3,d9973372b0ec274e89c4def173de70c6e54efd18fef6357e8159b04084b93b44,16350
cpf-docs/quality/CPF_20260801_QA36_ADM_MINIMUM_87_CAPABILITY_MATRIX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,4,7539b6c8c1bf6e349c3e1ebdc3a6b84109b2534e4fc0b9b31261b153a6701abe,28406
cpf-docs/quality/CPF_20260801_QA36_ADM_SCREENSHOT_EVIDENCE_INDEX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,5,2f656cf1019f3b19c874c211e032c446d5e368965c744d170881b8f0e7411786,14483
cpf-docs/quality/CPF_20260801_QA36_ADM_SCREEN_QUALITY_ACCEPTANCE.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,6,d9c87349da33cca4c791a042a6dc5f386a5fcee3ab6490c528c0826778879a5b,2706
cpf-docs/quality/CPF_20260801_QA36_ADM_TARGET_MENU_ARCHITECTURE.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,7,0429d8a64b64efaabe0fb6cd34864006c8204b2ea39cbda5ff27a4a6e057c13f,4991
cpf-docs/quality/CPF_20260801_QA36_CANONICAL_162_REQUIREMENT_MATRIX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,8,751d99becd24cdb35f4a5846bf5839329df74ab730f6b104c3e640d69b414d86,64989
cpf-docs/quality/CPF_20260801_QA36_CANONICAL_MANDATORY_SCENARIO_MATRIX.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,9,bc674b979395ae9a6006a0ea50ac5c132fed6049ba5f698b4a9e5abf6abd5df7,1338043
cpf-docs/quality/CPF_20260801_QA36_DEFECT_REGISTER.csv,ADD,QA36 project-wide QA baseline/request/review,Documentation/QA matrices only; no product source changes,10,f25a3d97cd9f3cbcb7b6f907b546bcfcc755ad83432e7309365fe8f13fe25fb4,28519
