engineering_gate,applicable_work_item_count
GATE-01-OWNERSHIP,171
GATE-02-CONSUMER,171
GATE-03-HTTP-API,34
GATE-04-EVENT-API,20
GATE-05-DB-QUERY,46
GATE-06-STATE-IDEMP,38
GATE-07-MULTI-INSTANCE,34
GATE-08-UNKNOWN-RECOVERY,54
GATE-09-SECURITY,31
GATE-10-CRYPTO-PRIVACY,11
GATE-11-OPS-AUDIT,17
GATE-12-OBSERVABILITY,16
GATE-13-PERFORMANCE,44
GATE-14-FRONTEND,14
GATE-15-GENERATOR,60
GATE-16-COMPATIBILITY,57
GATE-17-SUPPLY-CHAIN,88
GATE-18-TEST-EVIDENCE,171
GATE-19-DOC-SUPPORT,33
GATE-20-HYGIENE,171
GATE-21-TIME,57
