no,route_id,path,menu_id,label,group,risk,feature_flag,route_source,operation_boundary
1,dashboard,/,DASHBOARD,통합 운영 Dashboard,home,MEDIUM,adm.route.dashboard.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
2,topology,/topology,TOPOLOGY,서비스 토폴로지,home,MEDIUM,adm.route.topology.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
3,capacity,/capacity,CAPACITY,Online Runtime Diagnostics,home,MEDIUM,adm.route.capacity.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
4,logs,/logs,LOG_LIST,거래 로그,monitoring,MEDIUM,adm.route.logs.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
5,transactionGroups,/transactionGroups,LOG_LIST,Online·Batch 통합 Trace,online,MEDIUM,adm.route.transactionGroups.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
6,transactions,/transactions,TRANSACTION_META,온라인 거래 정의,online,HIGH,adm.route.transactions.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
7,remoteLogs,/remoteLogs,REMOTE_LOG,원격 로그,monitoring,MEDIUM,adm.route.remoteLogs.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
8,auditLogs,/auditLogs,AUDIT_LOG,감사 로그,monitoring,MEDIUM,adm.route.auditLogs.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
9,logLevel,/logLevel,DYNAMIC_LOG,동적 로그,monitoring,HIGH,adm.route.logLevel.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
10,logPolicies,/logPolicies,LOG_POLICY,로그 정책,monitoring,MEDIUM,adm.route.logPolicies.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
11,standardExecutions,/standardExecutions,STANDARD_EXECUTION,표준 실행,online,MEDIUM,adm.route.standardExecutions.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
12,channelPolicy,/channelPolicy,CHANNEL_POLICY,채널 정책,online,HIGH,adm.route.channelPolicy.enabled,cpf-admin/frontend/src/app/routes.ts,expectedOperationIds is API-consumer scope; not equal to button list
