path,classification,reason,canonical_owner,consumer_count,destination,changed_consumers,verification,final_status
.editorconfig,MUST_ROOT,"EditorConfig platform auto-discovery requires repository-root placement","Repository platform",2,.editorconfig,NONE,"Root presence and editor auto-discovery contract",RETAINED
.git,MUST_ROOT,"Git repository metadata must remain at the repository boundary",Git,1,.git,NONE,"Git worktree discovery",RETAINED
.gitattributes,MUST_ROOT,"Git attribute auto-discovery and archive/line-ending policy",Git,1,.gitattributes,NONE,"Root presence and Git discovery",RETAINED
.github,MUST_ROOT,"GitHub workflow and repository automation owner root",GitHub,1,.github,NONE,"Five workflow/config files inventoried",RETAINED
.gitignore,MUST_ROOT,"Git ignore auto-discovery and repository hygiene policy",Git,1,.gitignore,NONE,"Generated Evidence ignore contract",RETAINED
.vscode,MUST_ROOT,"Current official local Workspace settings use VS Code root auto-discovery","VS Code Workspace",1,.vscode,"pytest integration only; no feature reduction","JSON parse and VS Code discovery",RETAINED
build.gradle,MUST_ROOT,"Canonical Root Gradle build entrypoint","Root Gradle build",67,build.gradle,NONE,"Gradle 9.1 Root help/build graph",RETAINED
gradle,MUST_ROOT,"Standard Gradle Wrapper distribution metadata","Gradle Wrapper",10,gradle,NONE,"Wrapper integrity and Root execution",RETAINED
gradle.properties,MUST_ROOT,"Root Gradle and IDE Tooling API defaults","Root Gradle build",8,gradle.properties,NONE,"CLI and post-reload IDE cache-path verification",RETAINED
gradlew,MUST_ROOT,"Standard POSIX Root Gradle Wrapper entrypoint","Gradle Wrapper",58,gradlew,NONE,"Wrapper contract tests",RETAINED
gradlew.bat,MUST_ROOT,"Standard Windows Root Gradle Wrapper entrypoint","Gradle Wrapper",44,gradlew.bat,NONE,"Detached Windows Java 25 execution",RETAINED
settings.gradle,MUST_ROOT,"Canonical Root Gradle project/composite catalog","Root Gradle build",45,settings.gradle,NONE,"Root project graph and generated-domain flag",RETAINED
README.md,ROOT_ENTRYPOINT,"Repository documentation entrypoint",Documentation,16,README.md,"Canonical Python test command documentation","Link/path and command review",RETAINED
cpf-admin,ROOT_ENTRYPOINT,"ADM Product owner/module root",ADM,201,cpf-admin,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-backoffice,ROOT_ENTRYPOINT,"Backoffice Product owner/module root",Backoffice,144,cpf-backoffice,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-backoffice-web,ROOT_ENTRYPOINT,"DB-less Backoffice Web Product owner/module root",Backoffice Web,68,cpf-backoffice-web,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-batch,ROOT_ENTRYPOINT,"Batch Product owner/module root",Batch,176,cpf-batch,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-common,ROOT_ENTRYPOINT,"Shared Product-domain owner/module root",Common,71,cpf-common,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-core,ROOT_ENTRYPOINT,"Public Core owner/module root",Core,105,cpf-core,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-docs,ROOT_ENTRYPOINT,"Canonical documentation and managed Evidence owner root",Documentation,123,cpf-docs,NONE,"Evidence path and link consumers",RETAINED
cpf-education,ROOT_ENTRYPOINT,"Education Product owner/module root",Education,64,cpf-education,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-external,ROOT_ENTRYPOINT,"Generated EXS Product composite root",External Domain,33,cpf-external,NONE,"Generated-domain composite and lock contract",RETAINED
cpf-gateway,ROOT_ENTRYPOINT,"Gateway Product owner/module root",Gateway,63,cpf-gateway,NONE,"Root settings/catalog and consumer search",RETAINED
cpf-member,ROOT_ENTRYPOINT,"Generated MBR Product composite root",Member Domain,50,cpf-member,NONE,"Generated-domain composite and lock contract",RETAINED
cpf-starters,ROOT_ENTRYPOINT,"Public Starter physical owner root",Starters,142,cpf-starters,NONE,"Catalog/logical-tree consumer search",RETAINED
cpf-tools,ROOT_ENTRYPOINT,"Tool/QA/Test/Verification owner root",CPF Tools,711,cpf-tools,"Own pytest config/runner consumers","Owner-bound path and test regression",RETAINED
deploy,ROOT_ENTRYPOINT,"Canonical deployment assets already have their real owner root",Deployment,292,deploy,NONE,"57 owned files and path consumers inventoried",RETAINED
pytest.ini,MOVE_TO_OWNER,"Python test configuration belongs to CPF Testing rather than repository root","CPF Testing",4,cpf-tools/testing/config/pytest.ini,"CI; full-local validator; canonical runner; VS Code; README","One config; 811-test collection; 2 runner contracts; no Root cache/pycache",MOVED_VERIFIED
