id,area,title,setup,expected
CPF-QA-EXEC-001,LEGACY,Java25/Gradle 전체 clean test assemble qualityGate,Java25·Gradle9.1·Boot4.1 환경,전체 Module/Frontend/Gate 성공
CPF-QA-EXEC-002,LEGACY,PowerShell Root Gate 실제 실행,Windows/pwsh 환경,모든 script exit code·sanitized report 성공
CPF-QA-EXEC-003,LEGACY,ADM Session DB 장애,issue/lookup/revoke/cleanup 단계별 fault,503 fail-closed·token/성공 위장 0
CPF-QA-EXEC-004,LEGACY,ADM Permission DB 장애,api/menu/button permission fault,default allow 0
CPF-QA-EXEC-005,LEGACY,ADM 상태/Role/Password Session revoke,활성 session 후 변경,모든 instance 즉시 무효
CPF-QA-EXEC-006,LEGACY,ADM operationId 동시성,동일/상이 payload 동시 요청,멱등/409 정확
CPF-QA-EXEC-007,LEGACY,ADM Raw PII,권한·사유·audit·browser 흐름,최소 projection·zeroization
CPF-QA-EXEC-008,LEGACY,BZA 인증 성공/실패 fault,history/count/token 단계 fault,원자성·명확한 오류
CPF-QA-EXEC-009,LEGACY,BZA operationId response loss,commit 후 응답 유실,중복 session 0·결과 복구
CPF-QA-EXEC-010,LEGACY,BZA Refresh rotation,동시 사용·응답 유실,단일 유효 결과·reuse 탐지
CPF-QA-EXEC-011,LEGACY,MariaDB lifecycle,fresh→upgrade→rollback→reapply,schema/data/checksum 일치
CPF-QA-EXEC-012,LEGACY,PostgreSQL lifecycle,fresh→upgrade→rollback→reapply,vendor-native runtime 성공
CPF-QA-EXEC-013,LEGACY,Oracle lifecycle,fresh→upgrade→rollback→reapply,vendor-native runtime 성공
CPF-QA-EXEC-014,LEGACY,CRUD/Auth/PII Runtime,ADM/BZA 실제 DB+API,정상/오류/경계
CPF-QA-EXEC-015,LEGACY,Browser E2E,ADM/BZA 핵심 route,권한·PII·오류·접근성
CPF-QA-EXEC-016,LEGACY,PII DOM/Storage 검사,raw 조회 후 route/logout/error,원문 0
CPF-QA-EXEC-017,LEGACY,ADM 다중 인스턴스,2 WAS+공유 DB,session/permission/version 일치
CPF-QA-EXEC-018,LEGACY,BZA 다중 인스턴스,2 WAS+공유 DB,token/permission/revoke 일치
CPF-QA-EXEC-019,LEGACY,Query Resource 실행,3 Vendor query prepare/execute,orphan/parameter/result parity
CPF-QA-EXEC-020,LEGACY,Artifact staging/promotion,LOCAL_DEV/REMOTE/OFFLINE,fail-closed·hash/version 일치
CPF-QA-EXEC-021,LEGACY,Remote Artifact fail-closed,registry artifact 누락,local fallback 0
CPF-QA-EXEC-022,LEGACY,Generated Domain lifecycle,create→bootstrap→build→runtime→remove→regenerate,normalized parity
CPF-QA-EXEC-023,LEGACY,Gateway failover/retry,A down/B up/4xx/429/5xx/timeout,정책별 정확한 attempt
CPF-QA-EXEC-024,LEGACY,BAT multi-instance,scheduler/worker/runner/agent 장애,lease/fencing/takeover/restart
CPF-QA-EXEC-025,RTC,Runtime self-registration,3개 Service × 각 2개 Instance 기동,identity/capability/artifact/version 등록과 heartbeat 정상
CPF-QA-EXEC-026,RTC,Duplicate instance identity,서로 다른 runtime이 같은 instanceId로 등록,위조/중복 차단
CPF-QA-EXEC-027,RTC,Heartbeat lease expiry,한 instance 강제 종료,offline 전환·routing 제외·alert
CPF-QA-EXEC-028,RTC,Graceful deregistration,정상 종료 signal,drain 후 deregister
CPF-QA-EXEC-029,RTC,Static group membership,instance를 group에 추가/제거,version/history/snapshot 정확
CPF-QA-EXEC-030,RTC,Dynamic group selector,label/zone/capability 변경,preview와 승인 snapshot 분리
CPF-QA-EXEC-031,RTC,Nested group cycle,A→B→A 구성,저장 전 차단
CPF-QA-EXEC-032,RTC,Zero target guard,selector 결과 0건,실행 차단
CPF-QA-EXEC-033,RTC,Overbroad target guard,의도보다 전체 instance 선택,고위험 승인 요구
CPF-QA-EXEC-034,RTC,Single instance realtime config,한 instance에만 config 변경,대상만 ACK/APPLIED
CPF-QA-EXEC-035,RTC,Group realtime code cache,group 대상 공통코드 변경,모든 대상 최신 version·offline은 reconnect sync
CPF-QA-EXEC-036,RTC,Realtime log level TTL,group logger DEBUG 5분,effective level 변경 후 자동 복원
CPF-QA-EXEC-037,RTC,Realtime message update,다국어 message 변경,target별 version·ACK·실제 응답 반영
CPF-QA-EXEC-038,RTC,Realtime response code,응답코드 mapping 변경,API 응답에 신규 mapping 적용
CPF-QA-EXEC-039,RTC,Realtime calendar,영업일 정책 예약 적용,시행 시점에 대상 consumer 적용
CPF-QA-EXEC-040,RTC,Realtime permission,ADM/BZA permission manifest 변경,stale session 권한 사용 0
CPF-QA-EXEC-041,RTC,Realtime route,Gateway route v2 적용,2 Gateway desired/actual/ACK 일치
CPF-QA-EXEC-042,RTC,Realtime routing weight,A/B 90:10 변경,통계 허용오차 내 분배
CPF-QA-EXEC-043,RTC,Realtime batch schedule,scheduler cron 변경,중복 fire 없이 신규 schedule 적용
CPF-QA-EXEC-044,RTC,Realtime worker concurrency,worker group concurrency 변경,target만 적용·inflight 정책 준수
CPF-QA-EXEC-045,RTC,Realtime rate limit,route quota 변경,즉시 429 정책 반영
CPF-QA-EXEC-046,RTC,Realtime masking,PII masking rule 변경,응답/log/download에 version 일치
CPF-QA-EXEC-047,RTC,Realtime secret reference,JWT key version activate,dual-key grace와 instance ACK
CPF-QA-EXEC-048,RTC,Out-of-order delivery,v2 적용 뒤 v1 전달,v1 거부
CPF-QA-EXEC-049,RTC,Duplicate delivery,같은 changeId 반복,side effect 1회
CPF-QA-EXEC-050,RTC,Payload incompatible,구 agent에 신규 schema,REJECTED_INCOMPATIBLE
CPF-QA-EXEC-051,RTC,Poison change,항상 실패 handler,격리 후 다음 change 진행
CPF-QA-EXEC-052,RTC,Controller restart,delivery 중 controller 종료/재기동,유실·중복 side effect 0
CPF-QA-EXEC-053,RTC,Agent restart before ACK,apply 직후 agent 종료,desired/actual reconcile
CPF-QA-EXEC-054,RTC,Offline reconnect,offline 중 5개 변경 후 재접속,최신 snapshot 적용
CPF-QA-EXEC-055,RTC,Canary success,1 instance 적용 후 health 정상,다음 wave 진행
CPF-QA-EXEC-056,RTC,Canary failure,canary error threshold 초과,wave 중단·rollback
CPF-QA-EXEC-057,RTC,Partial apply,10 target 중 2 failed,전체 성공 금지·개별 상태
CPF-QA-EXEC-058,RTC,Manual rollback,v2 실패 후 v1 복원,actual/hash/ACK v1 수렴
CPF-QA-EXEC-059,RTC,Forward recovery,rollback 불가 schema change,승인된 forward plan 실행
CPF-QA-EXEC-060,RTC,Drift manual mutation,runtime 설정 로컬 변조,drift 탐지·reconcile
CPF-QA-EXEC-061,RTC,Change cancellation,예약 change 시행 전 취소,전달·적용 0
CPF-QA-EXEC-062,RTC,Change expiry,TTL change 중 controller down,재기동 후 자동 복원
CPF-QA-EXEC-063,RTC,Large target delivery,"10,000 target change",backpressure·chunk·lag SLO
CPF-QA-EXEC-064,RTC,Control plane DR,backup restore 후 agents reconnect,중복 적용 없이 수렴
CPF-QA-EXEC-065,ART,Java25 full build,"clean checkout, Java25, Gradle9.1",clean test assemble qualityGate 성공
CPF-QA-EXEC-066,ART,No build cache,--no-build-cache build,숨은 cache 의존 없이 성공
CPF-QA-EXEC-067,ART,BootJar inspection,모든 runtime bootJar,필수 CPF public jar·version/hash 일치
CPF-QA-EXEC-068,ART,BootWar external WAS,ADM/BZA/Gateway/Domain WAR 배포,startup/health/auth/API 정상
CPF-QA-EXEC-069,ART,Modular monolith,선택 module 동일 JVM 기동,bean/config/transaction 충돌 0
CPF-QA-EXEC-070,ART,Independent WAS,각 module 분리 기동,remote contract parity
CPF-QA-EXEC-071,ART,LOCAL_DEV promotion,staging 검증 후 shared repo 승격,검증 실패 side effect 0
CPF-QA-EXEC-072,ART,REMOTE registry,Nexus/Artifactory consume,local fallback 0
CPF-QA-EXEC-073,ART,OFFLINE bundle,network 차단 build,bundle만으로 성공
CPF-QA-EXEC-074,ART,Concurrent publisher,동일 version 동시 publish,single winner·manifest 보호
CPF-QA-EXEC-075,ART,Promotion failure,copy 중 장애,이전 정상 artifact 유지
CPF-QA-EXEC-076,ART,Mixed generation,같은 version 다른 SHA artifact 혼합,Gate 차단
CPF-QA-EXEC-077,ART,Reproducible build,동일 source 두 번 build,hash 동일 또는 차이 근거
CPF-QA-EXEC-078,ART,SBOM signature,release artifact 생성,SBOM/provenance/signature 검증
CPF-QA-EXEC-079,ART,CVE critical fixture,취약 dependency 주입,release gate 차단
CPF-QA-EXEC-080,DB,MariaDB Fresh install,MariaDB: 빈 account/schema에서 provision→install→seed→verify,정본 schema/seed/query 성공
CPF-QA-EXEC-081,DB,MariaDB Upgrade,MariaDB: 지원 이전 baseline+실제 data에서 migration,data/constraint/checksum 정확
CPF-QA-EXEC-082,DB,MariaDB Rollback or recovery,MariaDB: 지원 migration rollback/forward recovery,binary/schema policy 일치
CPF-QA-EXEC-083,DB,MariaDB Reapply,MariaDB: rollback 후 재적용,idempotent·최종 schema 일치
CPF-QA-EXEC-084,DB,MariaDB Runtime query,MariaDB: 모든 registered query prepare/execute,parameter/result/dialect 성공
