logical_order,requirement_id,requirement,priority,primary_owner_session,related_sessions,owner_module,owner_package,function_point_id,scenario_ids,qa_finding_ids,qa_patch_paths,source_paths,actual_consumer,acceptance_criteria,planned_verification,current_status
1,CPF-FR-003173,"[GWY-ENTRY / 기능 목적·업무 결과] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 해결할 업무 문제, 사용 역할, 미제공 위험과 완료 결과를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 기능 목적·업무 결과 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,PURPOSE Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
2,CPF-FR-003174,[GWY-ENTRY / Owner·경계] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 단일 Owner Module·Package·DB/API 책임과 금지 의존 방향을 확정한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 Owner·경계 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,OWNER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
3,CPF-FR-003175,[GWY-ENTRY / 실제 Consumer] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 실제 Product Consumer와 호출 진입점·전체 호출 경로·종료 지점을 연결한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 실제 Consumer 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CONSUMER Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
4,CPF-FR-003176,[GWY-ENTRY / Public API] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 고객 개발자가 사용하는 최소 Public API와 version·compatibility 계약을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 Public API 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,PUBLIC_API Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
5,CPF-FR-003177,[GWY-ENTRY / 고객 확장 SPI] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 고객 Provider·Adapter가 Internal Package 없이 구현할 SPI와 lifecycle을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 고객 확장 SPI 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,EXTENSION_SPI Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
6,CPF-FR-003178,[GWY-ENTRY / Internal 구현] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 OSS Adapter·Repository·Worker를 Internal로 격리하고 외부 compile을 차단한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 Internal 구현 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,INTERNAL_IMPL Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
7,CPF-FR-003179,"[GWY-ENTRY / 입력 계약] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 필수·선택 입력, 형식, 길이, 허용값, canonicalization과 default를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 입력 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,INPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
8,CPF-FR-003180,"[GWY-ENTRY / 출력 계약] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 정상 결과, 식별자, 상태, version, tracking 정보와 민감정보 범위를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 출력 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,OUTPUT Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
9,CPF-FR-003181,"[GWY-ENTRY / 설정 계약] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 Property schema, safe default, profile/operation override, validation과 secret reference를 정의한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.",P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 설정 계약 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,CONFIG Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
10,CPF-FR-003182,[GWY-ENTRY / 검증] 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다. 이를 위해 입력·Header·Config·Payload·SQL Parameter의 위치별 오류와 상한을 제공한다. 선언·Interface·DTO·문서만 추가하지 말고 실제 Consumer와 전체 호출 경로를 구현한다.,P0,DEVGPT-6D,,cpf-gateway,com.cpf.gateway,GWY-ENTRY,CPF-SC-000625|CPF-SC-000626|CPF-SC-000627|CPF-SC-000628|CPF-SC-000629|CPF-SC-000630|CPF-SC-000631|CPF-SC-000632|CPF-SC-000633|CPF-SC-000634|CPF-SC-000635|CPF-SC-000636,DEV6D-ENTRY-SCOPE-OMISSION,,cpf-core/src/main/java/com/cpf/core/api/gateway/CpfGatewayEntryPolicyPort.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/DefaultCpfGatewayEntryPolicy.java|cpf-gateway/src/main/java/com/cpf/gateway/runtime/CpfGatewayEntryRuntimeApplier.java|cpf-gateway/src/main/java/com/cpf/gateway/scg/CpfScgPrimaryHandler.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayControlListenerConfiguration.java|cpf-gateway/src/main/java/com/cpf/gateway/control/CpfGatewayPlaneBoundaryFilter.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyProperties.java|cpf-gateway/src/main/java/com/cpf/gateway/config/CpfGatewaySafetyStartupValidator.java|cpf-gateway/src/main/resources/application.yml|cpf-reference/src/main/java/com/cpf/reference/gateway/ReferenceGatewayEntryOperations.java,External request → CpfScgPrimaryHandler.entryPolicy.evaluate → listener/TLS/protocol/maintenance decision → append-only audit recovery → backend or fail-closed response; approved Runtime Control → CpfGatewayEntryRuntimeApplier → DefaultCpfGatewayEntryPolicy expectedVersion CAS,Gateway 운영자·개발자가 실제 제품 경로에서 검증 기능을 사용할 때 외부 진입점 TLS·listener·protocol·client identity·request limit·maintenance와 control/data plane 분리를 제공한다.의 결과와 상태·권한·Audit·복구 규칙이 일치해야 한다. Source/API/SQL/Test/Config/Frontend/Script와 exact-SHA Evidence가 연결돼야 한다.,VALIDATION Source trace + positive/negative test + 실제 Runtime/Browser/DB/Fault 적용 검증,구현 완료·정식 Runtime 재확인
