atomic_id,atomic_type,canonical_requirement_id,work_item_id,development_status,verification_status,qa_status,evidence_path,evidence_sha256
CPF-FR-002075,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002076,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002077,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002078,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002079,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002080,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002081,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002082,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002083,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
CPF-FR-002084,CPF-FR,CMN-EXTENSION,CPF-WP-CMN-EXTENSION-04-OPERATIONS_SECURITY,완료,완료,미검수,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/s04_cmn_extension_contract.log,841484a8214616427a5ab33c4f38598b87b9a9e4bb08255c946f52dd4d379fb3
