index,route_id,path,risk_level,component_or_shared_owner,source_open_mode,route_auth_guard,generic_workbench,static_verdict,runtime_browser_verdict,QA_closure,linked_finding,review_notes,exact_sha
1,dashboard,/,MEDIUM,cpf-admin/frontend/src/features/operations/UnifiedOperationsDashboardPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
2,topology,/topology,MEDIUM,cpf-admin/frontend/src/features/topology/TopologyPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
3,capacity,/capacity,MEDIUM,cpf-admin/frontend/src/features/operations/OnlineDiagnosticsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
4,logs,/logs,MEDIUM,cpf-admin/frontend/src/features/logs/LogsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
5,transactionGroups,/transactionGroups,MEDIUM,cpf-admin/frontend/src/features/operations/IntegratedTracePage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
6,transactions,/transactions,HIGH,cpf-admin/frontend/src/features/transactions/TransactionsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
7,remoteLogs,/remoteLogs,MEDIUM,cpf-admin/frontend/src/features/remote-logs/RemoteLogsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
8,auditLogs,/auditLogs,MEDIUM,cpf-admin/frontend/src/features/audit-logs/AuditLogsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
9,logLevel,/logLevel,HIGH,cpf-admin/frontend/src/features/log-level/LogLevelPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
10,logPolicies,/logPolicies,MEDIUM,cpf-admin/frontend/src/features/log-policies/LogPoliciesPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
11,standardExecutions,/standardExecutions,MEDIUM,cpf-admin/frontend/src/features/standard-executions/StandardExecutionsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
12,channelPolicy,/channelPolicy,HIGH,cpf-admin/frontend/src/features/channel-policy/ChannelPolicyPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
13,serviceRegistry,/serviceRegistry,MEDIUM,cpf-admin/frontend/src/features/service-registry/ServiceRegistryPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
14,runtimeControl,/runtimeControl,HIGH,cpf-admin/frontend/src/features/operations/OnlineDeploymentWorkbenchPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
15,maintenance,/maintenance,HIGH,cpf-admin/frontend/src/features/maintenance/MaintenancePage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
16,cache,/cache,HIGH,cpf-admin/frontend/src/features/cache/CachePage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
17,configs,/configs,HIGH,cpf-admin/frontend/src/features/configs/ConfigsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
18,responseCodes,/responseCodes,MEDIUM,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
19,businessCalendar,/businessCalendar,MEDIUM,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
20,recoveryCenter,/recoveryCenter,MEDIUM,cpf-admin/frontend/src/features/recovery-center/RecoveryCenterPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,FAIL,미검증,미통과,QA-B-R6J-NEW-005,duplicate mutation path lacks action button grant and expectedVersion versus ErrorWorkbench,3ed676061246c9db3e44f29e254c0393ecca3929
21,incidents,/incidents,HIGH,cpf-admin/frontend/src/features/operations/ErrorWorkbenchPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
22,reliability,/reliability,MEDIUM,cpf-admin/frontend/src/features/operations/AnalysisCenterPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
23,notifications,/notifications,MEDIUM,cpf-admin/frontend/src/features/notifications/NotificationsPage.vue,DIRECT,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,,route registry + component/shared owner + session/router/workbench contract inspected,3ed676061246c9db3e44f29e254c0393ecca3929
24,batch,/batch,HIGH,cpf-admin/frontend/src/features/batch-shared/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
25,batch-overview,/batch-overview,MEDIUM,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
26,batch-runtime,/batch-runtime,HIGH,cpf-admin/frontend/src/features/batch-runtime-control/BatchOperationsWorkbench.vue,SHARED,SERVER_SESSION_MENU,GET_ONLY+BUTTON_GRANT,SOURCE_REVIEWED,미검증,미통과,QA-B-R6J-NEW-004,route registry + component/shared owner + session/router/workbench contract inspected; UNKNOWN closure depends on BAT owner reconcile,3ed676061246c9db3e44f29e254c0393ecca3929
