legacy_work_item_id,v8_entity_id,v8_entity_type,canonical_requirement_id,markdown_file,ledger_part,v8_owner,v8_owner_module,v8_owner_package,v8_work_target_status,v8_assigned_session_id,continuity_result,development_status,evidence_path
CPF-WP-GWY-ENTRY-01-CONTRACT_OWNERSHIP,CPF-WP-GWY-ENTRY-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,GWY-ENTRY,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ENTRY-02-IMPLEMENTATION_CONSUMER,CPF-WP-GWY-ENTRY-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,GWY-ENTRY,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ENTRY-03-VERIFICATION_EVIDENCE,CPF-WP-GWY-ENTRY-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,GWY-ENTRY,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ENTRY-04-FAILURE_RECOVERY,CPF-WP-GWY-ENTRY-04-FAILURE_RECOVERY,WORK_PACKAGE,GWY-ENTRY,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ENTRY-05-DATA_MIGRATION,CPF-WP-GWY-ENTRY-05-DATA_MIGRATION,WORK_PACKAGE,GWY-ENTRY,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ROUTING-01-CONTRACT_OWNERSHIP,CPF-WP-GWY-ROUTING-01-CONTRACT_OWNERSHIP,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ROUTING-02-IMPLEMENTATION_CONSUMER,CPF-WP-GWY-ROUTING-02-IMPLEMENTATION_CONSUMER,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ROUTING-03-VERIFICATION_EVIDENCE,CPF-WP-GWY-ROUTING-03-VERIFICATION_EVIDENCE,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ROUTING-04-FAILURE_RECOVERY,CPF-WP-GWY-ROUTING-04-FAILURE_RECOVERY,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
CPF-WP-GWY-ROUTING-05-DATA_MIGRATION,CPF-WP-GWY-ROUTING-05-DATA_MIGRATION,WORK_PACKAGE,GWY-ROUTING,30_GATEWAY_EXTERNAL_INTEGRATION.md,ledgers/30_GATEWAY_EXTERNAL_INTEGRATION_WORK_ITEMS.csv,cpf-gateway,cpf-gateway,,작업 대상,,EXACT_1_TO_1_MATCH,미완료,cpf-docs/evidence/development/DEVGPT-6D_09dd686/V8_SCOPE_CONTINUITY.txt
