request_id,gate_id,assigned_work_item_count
MISSING_IN_ASSIGNMENT_SOURCE,GATE-01-OWNERSHIP,93
MISSING_IN_ASSIGNMENT_SOURCE,GATE-02-CONSUMER,93
MISSING_IN_ASSIGNMENT_SOURCE,GATE-05-DB-QUERY,93
MISSING_IN_ASSIGNMENT_SOURCE,GATE-06-STATE-IDEMP,21
MISSING_IN_ASSIGNMENT_SOURCE,GATE-07-MULTI-INSTANCE,10
MISSING_IN_ASSIGNMENT_SOURCE,GATE-08-UNKNOWN-RECOVERY,37
MISSING_IN_ASSIGNMENT_SOURCE,GATE-09-SECURITY,5
MISSING_IN_ASSIGNMENT_SOURCE,GATE-10-CRYPTO-PRIVACY,10
MISSING_IN_ASSIGNMENT_SOURCE,GATE-11-OPS-AUDIT,24
MISSING_IN_ASSIGNMENT_SOURCE,GATE-12-OBSERVABILITY,5
MISSING_IN_ASSIGNMENT_SOURCE,GATE-13-PERFORMANCE,15
MISSING_IN_ASSIGNMENT_SOURCE,GATE-15-GENERATOR,21
MISSING_IN_ASSIGNMENT_SOURCE,GATE-16-COMPATIBILITY,55
MISSING_IN_ASSIGNMENT_SOURCE,GATE-18-TEST-EVIDENCE,93
MISSING_IN_ASSIGNMENT_SOURCE,GATE-20-HYGIENE,93
MISSING_IN_ASSIGNMENT_SOURCE,GATE-21-TIME,28
