request_id,engineering_gate,status,assertion,command_exit_code_actual_result,evidence_ref,open_issue
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-01-OWNERSHIP,완료,Owner module/package and exclusive product paths mapped for all 141 Work Items.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-02-CONSUMER,완료,Actual consumer and full call path populated for every CPF-FR/CPF-SC row.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-04-EVENT-API,재확인 필요,Public API/message envelopes statically traced; OpenAPI/broker runtime pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-05-DB-QUERY,재확인 필요,Vendor SQL catalog/repository paths traced; MariaDB/PostgreSQL/Oracle runtime pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck; ICR-V9-S02-S04-0002: three-vendor Scheduler UNKNOWN/CAS and Center-Cut completion SQL parity pending
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-06-STATE-IDEMP,재확인 필요,State/idempotency paths traced and changed harnesses pass; full DB concurrency pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-07-MULTI-INSTANCE,재확인 필요,Lease/fencing source traced; multi-process shared DB test pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-08-UNKNOWN-RECOVERY,재확인 필요,"Center-Cut, Scheduler and Runtime Command fail-closed harnesses pass; full process-kill/reconcile pending.",see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck; ICR-V9-S02-S04-0002: three-vendor Scheduler UNKNOWN/CAS and Center-Cut completion SQL parity pending; S02 approved remote UNKNOWN reconcile backend implemented; S04 SQL and S05 generated client/E2E pending
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-09-SECURITY,재확인 필요,Permission/approval/reason/mTLS/source paths traced; integrated security runtime pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-10-CRYPTO-PRIVACY,재확인 필요,Masking/protection/sanitizer paths traced; target secret provider/DB/browser pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck
DEVREQ-V9-S02-LOCAL-20260805-2140-R005,GATE-11-OPS-AUDIT,재확인 필요,Audit paths traced and changed controller orders audit after successful state transition; DB runtime pending.,see TEST_AND_EVIDENCE.md,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-2020/REV-005/sessions/DEVGPT-V9-S02/TEST_AND_EVIDENCE.md,target environment recheck; ICR-V9-S02-S05-0001: execution-scope ADM/generated client/E2E pending; S02 approved remote UNKNOWN reconcile backend implemented; S04 SQL and S05 generated client/E2E pending
