entity_type,exact_id,classification,completion_evidence,protected_at
CPF_SC,CPF-SC-004851,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004851,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004852,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004852,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004853,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004853,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004854,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004854,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004855,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004855,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004856,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004856,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004857,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004857,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004858,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004858,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004859,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004859,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004860,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004860,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004861,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004861,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004862,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004862,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004863,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004863,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004864,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004864,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004865,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004865,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004866,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004866,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004867,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004867,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004868,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004868,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004869,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004869,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004870,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004870,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004871,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004871,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004872,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004872,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004873,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004873,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004874,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004874,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004875,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004875,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004876,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004876,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004877,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004877,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004878,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004878,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004879,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004879,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004880,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004880,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004881,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004881,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004882,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004882,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004883,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004883,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004884,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004884,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004885,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004885,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004886,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004886,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004887,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004887,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004888,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004888,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004889,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004889,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004890,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004890,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004891,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004891,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004892,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004892,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004893,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004893,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004894,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004894,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004895,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004895,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004896,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004896,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004897,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004897,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004898,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004898,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004899,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004899,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004900,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004900,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004901,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004901,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004902,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004902,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004903,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004903,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004904,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004904,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004905,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004905,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004906,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004906,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004907,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004907,2026-08-06T05:14:50+09:00
CPF_SC,CPF-SC-004908,PROTECTED_COMPLETED,EVID:CPF_SC:CPF-SC-004908,2026-08-06T05:14:50+09:00
