check_id,area,question_no,question,direct_source_review,judgement,source_evidence,consumer_evidence,test_harness_evidence,runtime_state,developer_remediable_gap
FUND-001,Web/API,1,commercial baseline capability completeness,COMPLETE,FIXED,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-002,Web/API,2,no marker/interface/DTO/autoconfig-only false implementation,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-003,Web/API,3,actual consumer exists or explicit N/A,COMPLETE,FIXED,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-004,Web/API,4,CPF DX is simpler than raw OSS for repeated use,COMPLETE,FIXED,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-005,Web/API,5,boilerplate/config reduction,COMPLETE,FIXED,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-006,Web/API,6,safe default and fail-fast,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-007,Web/API,7,native OSS/API escape hatch,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-008,Web/API,8,error/boundary/concurrency/retry/partial/UNKNOWN/recovery coverage,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-009,Web/API,9,security/audit/masking/logging/observability/transaction/transactionId integration,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
FUND-010,Web/API,10,cross-axis JDBC/MyBatis/JPA/DB3/Generator/OpenAPI/ADM-BZA semantic consistency,COMPLETE,PASS,CpfGlobalExceptionHandler; CpfPage*; attachment multipart overlay; gateway rate/idempotency; openapi starter/client,actual consumer confirmed or explicit not-applicable boundary reviewed,unit/contract/reference/harness reviewed; external execution separated where required,SOURCE_OR_LOW_COST_VERIFIED,N
