type,logical_document,docx,pdf,pages,headings,tables,code_lines,bookmarks
guide,00_프레임워크안내,cpf-docs/guides/00_프레임워크안내.docx,cpf-docs/guides/00_프레임워크안내.pdf,21,76,29,22,76
guide,01_개발자매뉴얼,cpf-docs/guides/01_개발자매뉴얼.docx,cpf-docs/guides/01_개발자매뉴얼.pdf,54,95,71,452,95
guide,02_배치개발매뉴얼,cpf-docs/guides/02_배치개발매뉴얼.docx,cpf-docs/guides/02_배치개발매뉴얼.pdf,29,57,41,146,57
guide,03_ADM개발자매뉴얼,cpf-docs/guides/03_ADM개발자매뉴얼.docx,cpf-docs/guides/03_ADM개발자매뉴얼.pdf,27,111,26,554,111
guide,04_ADM운영자매뉴얼,cpf-docs/guides/04_ADM운영자매뉴얼.docx,cpf-docs/guides/04_ADM운영자매뉴얼.pdf,102,513,196,0,513
guide,05_플랫폼운영매뉴얼,cpf-docs/guides/05_플랫폼운영매뉴얼.docx,cpf-docs/guides/05_플랫폼운영매뉴얼.pdf,41,74,48,87,74
guide,90_BZA매뉴얼,cpf-docs/guides/90_BZA매뉴얼.docx,cpf-docs/guides/90_BZA매뉴얼.pdf,42,73,65,32,73
guide,91_Gateway매뉴얼,cpf-docs/guides/91_Gateway매뉴얼.docx,cpf-docs/guides/91_Gateway매뉴얼.pdf,27,50,29,38,50
deliverable,기술사양서,cpf-docs/deliverables/기술사양서.docx,cpf-docs/deliverables/기술사양서.pdf,38,64,43,0,64
deliverable,기술표준서,cpf-docs/deliverables/기술표준서.docx,cpf-docs/deliverables/기술표준서.pdf,25,61,27,24,61
deliverable,데이터베이스표준서,cpf-docs/deliverables/데이터베이스표준서.docx,cpf-docs/deliverables/데이터베이스표준서.pdf,23,40,22,21,40
deliverable,산출물목록,cpf-docs/deliverables/산출물목록.docx,cpf-docs/deliverables/산출물목록.pdf,27,31,44,11,31
deliverable,아키텍처설계서,cpf-docs/deliverables/아키텍처설계서.docx,cpf-docs/deliverables/아키텍처설계서.pdf,25,70,32,50,70
