finding_key,qa_source,finding_id,severity,category,title,development_status,verification_status,runtime_status,overall_status,closure_state,source_paths,evidence_paths,external_blocker,reexecution_command,source_identity_sha256,original_acceptance
SELF:SELF-QA-001,SELF,SELF-QA-001,P0,Runtime / Concurrency,Runtime Instance 최초 동시 등록에서 active fencing을 우회할 수 있는 race,완료,완료,계약/회귀 검증 완료; 전체 실환경은 STD-QA-011에서 별도 관리,완료,CLOSED,"cpf-starters/platform-operations/runtime-control/src/main/java/com/cpf/platform/operations/runtimecontrol/internal/CpfRuntimeControlPlaneRepository.java:482-543,1020-1085",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-001.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"(1) same-host implicit hostname process A 등록 PASS, (2) lease 살아있는 상태에서 process B 동시/순차 등록 모두 FenceException 및 READY 실패, (3) MBR01/MBR02 explicit ID는 모두 PASS, (4) lease expiry 후 다른 process takeover는 fencing token 증가 후 PASS, (5) state/service row partial failure와 process-kill 복구 검증, (6) MariaDB/PostgreSQL/Oracle 동시성 test PASS."
SELF:SELF-QA-002,SELF,SELF-QA-002,P0,Batch / Retention / Concurrency,Run Pause expectedVersion 검증과 상태 변경이 분리된 TOCTOU,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-batch/control-plane/src/main/java/com/cpf/batch/control/retention/BatRetentionExecutionService.java:66-72,131-136; cpf-batch/control-plane/src/main/java/com/cpf/batch/control/retention/BatRetentionExecutionRepository.java:85-88",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-002.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"policy version N에서 pause 요청 시작 후 N+1 변경 interleaving 시 pause 실패/409, run pause_requested_yn은 변경되지 않고 audit도 실패 상태를 남김. 정상 N 요청은 성공. 동시 두 pause/resume 명령 중 허용된 하나만 성공."
SELF:SELF-QA-003,SELF,SELF-QA-003,P0,Verification Orchestration,공식 Full Local Validation이 과거 36 Requirement/25 Finding 구조를 하드코딩,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-tools/verification/tools/run-cpf-local-full-validation.ps1:464,584",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-003.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,Current final source에서 FullLocal이 EVIDENCE_INTEGRITY를 205/current deliverables 기준으로 통과하고 이후 Java25 단계까지 진입. canonical count 변경 fixture에서 orchestrator가 같은 정본을 따라감.
SELF:SELF-QA-004,SELF,SELF-QA-004,P0,Final Completion / False Green,verify-cpf-final-completion.ps1이 삭제된 QA script·과거 SHA·폐기 Generator 경로를 요구,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-tools/verification/tools/verify-cpf-final-completion.ps1:15-16,98-103,210-220",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-004.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"fresh clean clone/current exact SHA에서 RequireFullCompletion이 존재하는 current child gate만 호출하며 stale path 0, hardcoded historical SHA 0. 내부 child 삭제 시 contract test가 즉시 FAIL."
SELF:SELF-QA-005,SELF,SELF-QA-005,P0,Evidence Governance / False PASS,Current Evidence 공식 검증 경로가 존재하지 않는 과거 산출물을 요구하고 vacuous PASS Evidence가 남음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-tools/verification/tools/check-current-requirement-evidence-consistency.ps1:13-20; cpf-tools/verification/tools/invoke-cpf-codex-preflight.ps1:131-138; cpf-docs/work/evidence/current/qa-b3/QA-B3-025.txt:2,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-005.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"공식 Evidence integrity command RC=0, verifiedRows>0/documents>0, 모든 required path 존재 또는 canonical role에 의해 명시적 N/A. Current Evidence 내 서로 모순된 PASS/FAIL 0."
SELF:SELF-QA-006,SELF,SELF-QA-006,P0,Final Verification Workflow,Overlay-before-commit 정책과 clean-tree/exact-HEAD Final Plan 요구가 충돌하며 Final Plan static PASS가 내부 고장을 놓침,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-tools/verification/tools/invoke-cpf-final-verification-plan.py:140-171,236-263; cpf-tools/verification/tools/verify-cpf-final-completion.ps1:36-47",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-006.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Overlay 적용 dirty tree에서 precommit final validation PASS 가능, 예상 외 파일 변경은 FAIL. commit 후 release final plan도 exact SHA에서 PASS. 동일 Source file hash가 두 모드 사이에서 일치."
SELF:SELF-QA-007,SELF,SELF-QA-007,P1,Verification Semantics,SKIP_ENV/NOT_EXECUTED가 남아도 Final Local Validation이 PASS를 출력할 수 있음,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,"cpf-tools/verification/tools/run-cpf-local-full-validation.ps1:831-896,931-963; cpf-tools/verification/tools/run-cpf-final-local-validation.ps1:35-49",cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-007.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"mandatory runtime 하나가 NOT_EXECUTED면 FINAL result=INCOMPLETE/FAIL, exit nonzero. 모든 mandatory PASS일 때만 FINAL PASS. optional external feature skip은 정책에 따라 N/A 가능."
SELF:SELF-QA-008,SELF,SELF-QA-008,P1,Requirement Traceability,205 Requirement 상세 Review가 13개 공통 문구 묶음으로만 구성돼 개별 수정 추적성이 부족,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/work/current/CPF_DEVELOPMENT_REQUIREMENT_REVIEW.csv,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-008.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"205 IDs 전부 Source/Consumer/Test/Evidence 또는 명시 N/A 근거를 하나 이상 갖고, sampled 20개를 Source에서 역추적 가능. bulk-only evidence 금지."
SELF:SELF-QA-009,SELF,SELF-QA-009,P1,Requirement Dataset Governance,"205 개발 원장과 30,605 Derived Requirement 상태가 의미적으로 분리됨",완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/work/REQUIREMENT_STATUS.csv; cpf-docs/work/current/CPF_REQUIREMENT_MASTER.parts/*,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-009.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,parent-child status rule이 문서/코드화되고 drift verifier PASS. parent 완료+검증미검증이면 child도 허용 규칙에 맞는 상태만 존재.
SELF:SELF-QA-010,SELF,SELF-QA-010,P1,Current Dataset / Retired Identity,Current Derived Dataset에 BZA 의미가 대량 잔존,완료,완료,해당 없음/계약 검증 완료,완료,CLOSED,cpf-docs/work/current/CPF_REQUIREMENT_MASTER.parts/*; CPF_SCENARIO_MASTER.parts/*; CPF_EXECUTION_SEQUENCE.parts/*,cpf-docs/work/evidence/development-22/findings/SELF_SELF-QA-010.md,,python -B cpf-tools/verification/tools/run-cpf-canonical-verifiers.py --root .,3154fbdb54eb32a191df4abf394099550d346338f7bdd6a77a4246329114dd4d,"Current semantic fields의 retired BZA identity 0, historical/evidence 필드의 허용 목록만 존재. semantic drift verifier 추가."
