finding_id,symptom,direct_root_cause,upper_root_cause,fixed_source,affected_consumer,targeted_test,negative_mutation,runtime_evidence,prevention_rule,status
CRF-10,공개 cpf-education 이 cpfVerify 에서 Test Executor 기동 실패,testRuntimeOnly junit-platform-launcher 미선언,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-education/build.gradle | templates/cpf-education/build.gradle | cpf-backoffice-web/build.gradle,공개 Consumer bootstrap(cpfVerify),test_cpf_public_test_launcher_contract.py,mutation_public_source_test_launcher_removed,consumer-e2e49 stage02 PASS,공개 Source Surface 는 Test 를 실행할 수 있어야 한다,SOURCE_FIXED_TARGETED_PENDING
CRF-11,공개 cpf runtime start 가 CPF-CLI-ENGINE-MISSING 으로 실패,공개 CLI 가 내부 python 엔진(cpf-tools)에 위임,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/cli/java/CpfCli.java | cpf-tools/runtime/bootstrap/CpfBootstrap.java,공개 Consumer Runtime Lifecycle 전체,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_public_runtime_lifecycle_is_self_contained,mutation_public_runtime_lifecycle_delegates_internal_engine,consumer-e2e49 stage03-07 PASS,Harness 35.2 (1) 발행된 실행물만으로 기동 가능,SOURCE_FIXED_TARGETED_PENDING
CRF-12,ADM/EDU 기동이 logging 초기화 FileNotFoundException 으로 즉시 종료,logging.config 가 존재한 적 없는 classpath 자원을 지목,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/platform-operations/observability/src/main/resources/log/cpf-logback-spring.xml,ADM/EDU 단독 기동,test_cpf_runtime_standalone_startability_contract.py::test_logging_config_resources_exist,mutation_runtime_logging_resource_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (3) classpath 자원 선언은 실재해야 한다,SOURCE_FIXED_TARGETED_PENDING
CRF-13,ADM 기동이 CPF DataSource is required for role CPF_PLATFORM_DB 로 실패,Platform DB 미제공 + ADM role datasource 미선언,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java | cpf-admin/application-adm.yml | open-git-surface-policy.json,ADM/Gateway/Batch 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_control_plane_runtime_declares_platform_db_role,mutation_runtime_database_role_declaration_removed,consumer-e2e49 stage02/04 PASS,Harness 35.2 (2) 요구 DB role 은 자기 설정으로 해석된다,SOURCE_FIXED_TARGETED_PENDING
CRF-14,ADM 기동이 CmnCryptoService bean 없음으로 실패,CMN 보안 Service 가 소비자 component scan 에만 의존,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/security/.../CpfSecurityCommonAutoConfiguration.java,ADM/MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_security_common_provides_crypto_service,mutation_security_common_crypto_service_unregistered,consumer-e2e49 stage04/05 PASS,Starter Bean 은 AutoConfiguration 으로 공급한다,SOURCE_FIXED_TARGETED_PENDING
CRF-15,Generated Domain 이 CUSTOMER_BUSINESS_DB role 해석 실패,선언한 database-role 과 표준 Domain DataSource 가 연결되지 않음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/data/persistence/jdbc/.../CpfJdbcDataSourceRegistry.java,모든 Generated/Prebuilt Domain Runtime,cpf-starters/data/persistence/jdbc/src/test/java/com/cpf/data/persistence/jdbc/CpfJdbcDataSourceRegistryTest.java#resolvesDeclaredGeneratedDomainRoleFromDomainDataSource,cpf-starters/data/persistence/jdbc/src/test/java/com/cpf/data/persistence/jdbc/CpfJdbcDataSourceRegistryTest.java#neverResolvesRoleTheDomainDidNotDeclare,consumer-e2e49 stage05 PASS,Harness 35.2 (2),SOURCE_FIXED_TARGETED_PENDING
CRF-16,공개 cpfVerify 를 연속 실행하면 두 번째가 항상 실패,launcher 가 Composite 전체에 하나의 project cache 를 강제,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,templates/gradlew | templates/gradlew.bat | templates/settings.gradle,공개 Workspace 전체,test_cpf_public_gradle_workspace_idempotency_contract.py,mutation_public_launcher_shared_project_cache_reentry,cpfVerify 3회 연속 PASS,Harness 36 반복 실행 idempotency,SOURCE_FIXED_TARGETED_PENDING
CRF-17,Platform Runtime 이 cpf.db.vendor 필수 오류로 기동 실패,Launcher 가 vendor 를 Runtime 환경에 전달하지 않음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java,ADM/Gateway/Batch 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_runtime_environment_carries_db_vendor,mutation_runtime_environment_db_vendor_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (5),SOURCE_FIXED_TARGETED_PENDING
CRF-18,Platform Runtime 이 cpf.db.resource-root 필수 오류로 기동 실패,Vendor SQL Pack 이 공개 배포본에 없음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,open-git-surface-policy.json | cpf-tools/runtime/bootstrap/CpfBootstrap.java,모든 Runtime 의 SQL 자원 해석,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_vendor_sql_pack_is_public_asset,mutation_public_vendor_pack_projection_removed,consumer-e2e49 stage04/05 PASS,Harness 35.2 (5) Vendor SQL Pack 은 공개 Runtime 자산,SOURCE_FIXED_TARGETED_PENDING
CRF-19,ADM 기동이 approval proof key must be valid Base64 로 실패,local 전용 Secret 을 bootstrap 이 준비하지 않음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java,ADM 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_bootstrap_prepares_local_only_runtime_secrets,mutation_bootstrap_local_secret_generation_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (4) local Secret 은 생성하되 Source 에 남기지 않는다,SOURCE_FIXED_TARGETED_PENDING
CRF-20,Platform role 활성 후 DataSource 3개로 단일 Bean 요구 실패,기본 선택(primary) 표시가 통합 Runtime 모듈에만 존재,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/data/persistence/jdbc/.../CpfPlatformRoleDataSourcePrimaryAutoConfiguration.java,Platform role 을 쓰는 모든 Runtime,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_platform_role_primary_is_provided_by_starter,mutation_platform_role_primary_autoconfiguration_unregistered,consumer-e2e49 stage04 PASS,Harness 35.2 (2),SOURCE_FIXED_TARGETED_PENDING
CRF-21,생성자 2개 Bean 이 No default constructor 로 기동 실패,주입 대상 생성자 미표시,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/.../AdmBootstrapInitializer.java | .../BatchRuntimeApprovalOwnerCommandAdapter.java,ADM 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_injection_constructor_is_explicit,mutation_injection_constructor_annotation_removed,consumer-e2e49 stage04 PASS,다중 생성자 Bean 은 주입 생성자를 명시한다,SOURCE_FIXED_TARGETED_PENDING
CRF-22,Runtime Agent service 가 중앙 Registry 에 없다며 기동 실패,Service Identity 를 소문자 application 이름으로 추론,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/src/main/resources/application-adm.yml,ADM 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_platform_runtime_declares_service_identity,mutation_platform_runtime_service_identity_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (6) Service Identity 는 명시한다,SOURCE_FIXED_TARGETED_PENDING
CRF-23,테이블이 있는데 Missing CPF broker table 로 기동 실패,JDBC metadata 조회에 대문자 식별자 고정,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,CpfBrokerReliabilityAutoConfiguration.java | CpfTransactionTimelineQueryFacade.java,PostgreSQL 모든 Runtime,test_cpf_runtime_standalone_startability_contract.py::test_table_existence_checks_do_not_assume_identifier_case,mutation_table_lookup_identifier_case_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (7) 식별자 저장 규칙을 Driver 계약으로 판정,SOURCE_FIXED_TARGETED_PENDING
CRF-24,ADM 최초 운영자 생성이 Managed CPF execution has no bound context 로 실패,AdmBootstrapInitializer(ApplicationRunner)가 관리 실행 Context 없이 감사 기록,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/.../AdmBootstrapInitializer.java,Fresh 환경 ADM 첫 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_control_plane_bootstrap_runner_opens_managed_context,mutation_adm_bootstrap_runner_context_scope_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (8) 경계 밖 감사 기록은 Context 를 연다,SOURCE_FIXED_TARGETED_PENDING
