rank,review_id,priority,area,review_point,acceptance_criteria,minimum_evidence,user_mandatory,qa_a_status,qa_b_status,central_status,developer_rework_status,last_verified_sha,notes
1,CPF-RV-0001,P0,온라인 다중도메인 TX,공식 Channel에서 시작된 온라인 거래가 Domain A→B→C→D를 거쳐도 동일 transactionId를 End-to-End로 유지한다.,최초 인가 Channel/System에서 생성된 transactionId가 모든 내부/원격 호출에서 보존되고 hop마다 재생성되지 않는다.,"A→B→C→D 실행 Trace, 로그, Source consumer path, 통합 Test",Y,미검증,FAIL,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0001; B=FAIL; B_FINDING=QA-B-1000-NEW-003
2,CPF-RV-0002,P0,온라인 다중도메인 TX,Domain A/B 성공 후 Domain C 실패 시 의도된 범위 전체가 정확히 rollback된다.,"DB 변경이 transaction boundary에 맞게 원복되고 부분 Commit이 남지 않으며, 의도된 REQUIRES_NEW만 예외로 식별된다.","실제 DB 상태 Before/After, rollback 통합 Test, transaction 설정",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0002; B=미검증
3,CPF-RV-0003,P0,온라인 다중도메인 TX,Non-XA 외부 Side Effect 성공 후 내부 DB 실패가 발생해도 UNKNOWN/Compensation/Reconcile로 정합성을 회복한다.,외부 성공을 내부 실패와 함께 성공으로 오판하지 않고 상태·보상·재조정 경로가 존재한다.,"외부 Stub/Fault injection, 상태전이, Reconcile 결과",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0003; B=미검증
4,CPF-RV-0004,P0,거래 로깅,온라인 A→B→C→D의 시작·도메인 전환·DB·외부호출·실패·종료 로그가 동일 거래로 재구성된다.,transactionId/segmentId/system/instance/result가 일관되며 개인정보·Secret은 masking된다.,"로그 샘플, masking Test, ADM timeline",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0004; B=미검증
5,CPF-RV-0005,P0,거래 로깅,ADM에서 단일 transactionId로 온라인 거래 전체 호출 경로와 실패 위치를 추적할 수 있다.,도메인/세그먼트/재시도/UNKNOWN/Reconcile까지 하나의 timeline에서 확인 가능하다.,"ADM 조회 결과, Backend API, Generated Client consumer",Y,미검증,FAIL,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0005; B=FAIL; B_FINDING=QA-B-1000-NEW-002
6,CPF-RV-0006,P0,온라인 예제,실행 가능한 Domain A→B→C 다중도메인 온라인 성공 예제가 존재한다.,문서/Mock만이 아니라 실제 Controller→Service→Repository/Remote consumer가 연결되고 실행 Test가 통과한다.,"EDU/Sample Source, 실행 Test, 로그",Y,FAIL,미검증,FAIL,재개발 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=FAIL; A_EVID=SPECIAL1000-CPF-RV-0006; B=미검증
7,CPF-RV-0007,P0,온라인 Retry,온라인 Retry에서도 원 transactionId를 유지하고 attempt/segment만 새로 구분한다.,재시도마다 transactionId가 바뀌지 않고 duplicate side effect가 발생하지 않는다.,"Retry Fault Test, transaction log, DB 결과",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0007; B=미검증
8,CPF-RV-0008,P0,UNKNOWN/Reconcile,결과 불명확 거래는 SUCCESS/FAIL로 임의 확정하지 않고 UNKNOWN으로 관리 후 Reconcile한다.,UNKNOWN 상태가 terminal success로 오판되지 않고 원 transactionId로 회복 결과가 기록된다.,"상태머신, timeout Test, Reconcile Evidence",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0008; B=미검증
9,CPF-RV-0009,P0,Batch 다중도메인 TX,Batch에서 Domain A→B→C 업무 호출이 실제 transaction/logging 표준을 사용한다.,Job/Step/Execution 식별자와 업무 transactionId가 구분되면서 E2E lineage가 유지된다.,"Batch Source, 실행 로그, 통합 Test",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0009; B=미검증
10,CPF-RV-0010,P0,Batch TX,Batch Job/Step/Chunk/Item의 transaction boundary와 commit 단위가 업무 요건과 일치한다.,rollback 범위가 명확하고 chunk 경계 때문에 업무 원자성이 깨지지 않는다.,"Batch 설정, DB Before/After, rollback Test",Y,미검증,미검증,미검증,재검수 요청,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,A=미검증; A_EVID=SPECIAL1000-CPF-RV-0010; B=미검증
