request_id,work_item_id,canonical_requirement_id,priority,axis,axis_title,owner,dependencies,applicable_gates,assigned_requirement_count,assigned_scenario_count,passed_requirement_count,pending_requirement_count,passed_scenario_count,pending_scenario_count,source,consumer_call_path,evidence_ref,assessment_status,development_status,verification_status,open_issue,baseline_sha
DEVGPT-V9-S01,CPF-WP-CPF-IDEMP-01-CONTRACT_OWNERSHIP,CPF-IDEMP,P0,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,82,173,81,1,172,1,cpf-core/api/idempotency + internal/idempotency,CpfIdempotencyEngine -> CpfIdempotencyPort/repository,evidence/idempotency-safety;evidence/core-safety-java21-substitute,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-IDEMP-02-IMPLEMENTATION_CONSUMER,CPF-IDEMP,P0,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,CPF-WP-CPF-IDEMP-01-CONTRACT_OWNERSHIP,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,0,0,0,0,0,0,cpf-core/api/idempotency + internal/idempotency,CpfIdempotencyEngine -> CpfIdempotencyPort/repository,evidence/idempotency-safety;evidence/core-safety-java21-substitute,판정 완료,완료,완료,,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-IDEMP-03-VERIFICATION_EVIDENCE,CPF-IDEMP,P0,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,CPF-WP-CPF-IDEMP-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-IDEMP-02-IMPLEMENTATION_CONSUMER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,70,81,56,14,65,16,cpf-core/api/idempotency + internal/idempotency,CpfIdempotencyEngine -> CpfIdempotencyPort/repository,evidence/idempotency-safety;evidence/core-safety-java21-substitute,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-IDEMP-04-FAILURE_RECOVERY,CPF-IDEMP,P0,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,CPF-WP-CPF-IDEMP-01-CONTRACT_OWNERSHIP,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,21,28,21,0,28,0,cpf-core/api/idempotency + internal/idempotency,CpfIdempotencyEngine -> CpfIdempotencyPort/repository,evidence/idempotency-safety;evidence/core-safety-java21-substitute,판정 완료,완료,완료,,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-STATE-01-CONTRACT_OWNERSHIP,CPF-STATE,P1,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,4,4,3,1,3,1,cpf-core/api/state + service/state + internal/state,DefaultCpfStateOperations -> CpfStateStore -> audit/reconcile,evidence/state-reconciliation-java21,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-STATE-02-IMPLEMENTATION_CONSUMER,CPF-STATE,P1,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,CPF-WP-CPF-STATE-01-CONTRACT_OWNERSHIP,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,0,0,0,0,0,0,cpf-core/api/state + service/state + internal/state,DefaultCpfStateOperations -> CpfStateStore -> audit/reconcile,evidence/state-reconciliation-java21,판정 완료,완료,완료,,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-STATE-03-VERIFICATION_EVIDENCE,CPF-STATE,P1,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,CPF-WP-CPF-STATE-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-STATE-02-IMPLEMENTATION_CONSUMER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,56,67,42,14,51,16,cpf-core/api/state + service/state + internal/state,DefaultCpfStateOperations -> CpfStateStore -> audit/reconcile,evidence/state-reconciliation-java21,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-STATE-04-FAILURE_RECOVERY,CPF-STATE,P1,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,CPF-WP-CPF-STATE-01-CONTRACT_OWNERSHIP,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-06-STATE-IDEMP;GATE-08-UNKNOWN-RECOVERY;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE,1,1,1,0,1,0,cpf-core/api/state + service/state + internal/state,DefaultCpfStateOperations -> CpfStateStore -> audit/reconcile,evidence/state-reconciliation-java21,판정 완료,완료,완료,,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-LOCK-01-CONTRACT_OWNERSHIP,CPF-LOCK,P0,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,76,160,75,1,159,1,cpf-core/api/locking + internal/locking,CpfLockingExecutionGuard -> CpfLockManager -> CpfLockStore,evidence/lock-token-default;evidence/core-safety-java21-substitute,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-LOCK-02-IMPLEMENTATION_CONSUMER,CPF-LOCK,P0,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,CPF-WP-CPF-LOCK-01-CONTRACT_OWNERSHIP,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,0,0,0,0,0,0,cpf-core/api/locking + internal/locking,CpfLockingExecutionGuard -> CpfLockManager -> CpfLockStore,evidence/lock-token-default;evidence/core-safety-java21-substitute,판정 완료,완료,완료,,fc207ac5560da59f352ee0c5f83199177f2987b4
DEVGPT-V9-S01,CPF-WP-CPF-LOCK-03-VERIFICATION_EVIDENCE,CPF-LOCK,P0,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,CPF-WP-CPF-LOCK-01-CONTRACT_OWNERSHIP;CPF-WP-CPF-LOCK-02-IMPLEMENTATION_CONSUMER,GATE-01-OWNERSHIP;GATE-02-CONSUMER;GATE-07-MULTI-INSTANCE;GATE-18-TEST-EVIDENCE;GATE-20-HYGIENE;GATE-21-TIME,68,79,54,14,63,16,cpf-core/api/locking + internal/locking,CpfLockingExecutionGuard -> CpfLockManager -> CpfLockStore,evidence/lock-token-default;evidence/core-safety-java21-substitute,판정 완료,미완료,재확인 필요,원자 ID 중 타 Owner/목표 Runtime Integration 대기,fc207ac5560da59f352ee0c5f83199177f2987b4
