defect_id,title,priority,classification,required_action,development_status,verification_status,source_evidence,validation_evidence
QA30-D001,Current Request와 최신 master 상태 불일치,P0,SourceConfirmed,Current Request를 최신 master exact-SHA 개발·검증 요청으로 교체하고 적용 전 지시는 Historical로 이동한다.,완료,완료,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality/CPF_20260730_INTEGRATED_REQUIREMENT_SCENARIO_MATRIX.csv,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D002,Handover·Final Report 기준 SHA 불일치,P0,SourceConfirmed,최신 SHA와 실제 검증 결과로 Handover/Report/Continuity를 재작성한다.,완료,완료,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality/CPF_20260730_INTEGRATED_REQUIREMENT_SCENARIO_MATRIX.csv,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D003,통합 Matrix의 False Completion,P0,SourceConfirmed,Requirement별 완료 의미를 재분류하고 실행형 Requirement는 exact-SHA 성공 Evidence 전까지 미검증 또는 재확인 필요로 되돌린다.,완료,완료,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality/CPF_20260730_INTEGRATED_REQUIREMENT_SCENARIO_MATRIX.csv,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D004,최신 Commit CI Evidence 부재,P0,SourceConfirmed,로컬 exact-SHA 전체 Gate 또는 CI Workflow를 실행하고 Commit과 Evidence를 연결한다.,완료,미검증,cpf-docs/work/current; cpf-docs/work/handover; cpf-docs/quality/CPF_20260730_INTEGRATED_REQUIREMENT_SCENARIO_MATRIX.csv,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D005,ADM Gateway Control Plane Bean 단절,P0,SourceConfirmed,Local/Remote 동일 CpfGatewayRegistryPort 구현을 ADM에 제공하거나 올바른 Owner 서비스로 Control Plane을 분리한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D006,Gateway 연결시험 실행 Command 부재,P0,SourceConfirmed,"비동기 Test Operation, Target 직접 시험, Gateway 경유 E2E, 단계별 결과, 취소·만료·재검증을 구현한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D007,Gateway Route 구형·신형 병렬 모델,P0,SourceConfirmed,하나의 Public Route 계약으로 Consumer를 이관하고 common 구형 Runtime 모델을 제거한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D008,Gateway Route 호환 생성자 즉시 실패,P0,SourceConfirmed,호환 생성자 정책을 명시하고 disabled legacy draft 또는 실제 Group 해석 후 생성하도록 수정한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D009,Gateway 실제 Proxy·Filter Consumer 미확인,P0,SourceConfirmed,수신→Route match→Auth→LB→Target call→Attempt ledger까지 실제 Consumer를 추적·구현하고 E2E로 증명한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D010,Gateway Safety Property가 검증에만 사용,P0,SourceConfirmed,"Route apply, Body capture, request processing, spool writer에서 상한을 강제하고 초과 정책을 거부한다.",완료,완료,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D011,Gateway Log Policy Scheduler 활성화 미확인,P0,SourceConfirmed,제품 Configuration에서 Scheduling을 명시적으로 활성화하고 시작·중지·다중 인스턴스 Test를 추가한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D012,Health Evaluator가 실제 Probe Worker와 단절,P0,SourceConfirmed,Health Worker·Probe SPI·Lease/Fencing·History·Routing exclusion·SSE Event를 연결한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D013,Server Group 수정 시 Runtime 상태 소실,P0,SourceConfirmed,Member diff/CAS를 적용하고 유지 Member의 Health/Fencing/History를 보존한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D014,Gateway UI의 Member 편집이 파괴적,P0,SourceConfirmed,"Registry Instance 선택 Table과 Member별 Weight/Priority/State 편집, 변경 Diff/Preview를 구현한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D015,Binding 상태 전이가 실제 Approval Runtime과 미연결,P0,SourceConfirmed,ADM Approval Runtime Command Hash를 검증하고 승인 실행 결과와 Binding Version을 원자 연결한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D016,Gateway 운영 이력 Hard Delete,P0,SourceConfirmed,Retire/Soft Delete와 Immutable History를 기본으로 하고 물리 삭제는 승인된 파기 절차로 제한한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D017,Gateway Enum 오류의 묵시적 Default,P1,SourceConfirmed,지원하지 않는 Code는 Fail-closed하고 Drift Incident를 생성한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D018,Target Selector Canary 알고리즘 부정확,P1,SourceConfirmed,Route/Request Key 기반 결정적 Traffic Split과 통계 검증을 구현한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/gateway; cpf-gateway/src/main/java/com/cpf/gateway; cpf-admin/src/main/java/com/cpf/admin/opr/gateway,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D019,Service Registry Typed 계약이 Map Wrapper,P0,SourceConfirmed,Repository→Port→Service→Controller 전체를 Typed DTO로 전환하고 Legacy Map은 내부 Adapter에서도 제거한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-core/src/main/java/com/cpf/core/common/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmServiceRegistryService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D020,Typed View의 False Success·현재시각 생성,P0,SourceConfirmed,필수 필드 누락을 Contract 오류로 처리하고 unavailable/partial을 명시한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-core/src/main/java/com/cpf/core/common/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmServiceRegistryService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D021,Service Registry UI Code 하드코딩·Prompt 조치,P1,SourceConfirmed,"Code Catalog·Capability API, 구조화 Confirm Dialog, 영향 Preview, Permission/Approval을 사용한다.",완료,완료,cpf-core/src/main/java/com/cpf/core/api/servicecall; cpf-core/src/main/java/com/cpf/core/common/servicecall; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmServiceRegistryService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D022,로그 정책 화면과 Backend Contract 불일치,P0,SourceConfirmed,DTO·DB·Resolver·Gateway Capture Sink·UI를 동일 Versioned Policy Schema로 연결한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/logging/policy; cpf-gateway/src/main/java/com/cpf/gateway/logging; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D023,로그 정책 안전 상한 미강제,P0,SourceConfirmed,Preview와 Save/Apply 모두 Property 상한을 검증하고 거부 사유를 대상별로 기록한다.,완료,완료,cpf-core/src/main/java/com/cpf/core/api/logging/policy; cpf-gateway/src/main/java/com/cpf/gateway/logging; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D024,Gateway Transaction/Attempt 원장의 Producer·Spool 미연결,P0,SourceConfirmed,"Gateway Filter/Interceptor Producer, WAL/Spool, Batch Sink, Replay, Idempotent Insert, Backlog 관제를 구현한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/logging/policy; cpf-gateway/src/main/java/com/cpf/gateway/logging; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D025,거래 로그 UI가 추측 필드로 Timeline 합성,P0,SourceConfirmed,Versioned Query DTO와 명시적 Segment/Attempt API를 사용한다.,완료,미검증,cpf-core/src/main/java/com/cpf/core/api/logging/policy; cpf-gateway/src/main/java/com/cpf/gateway/logging; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D026,로그 상세 Export가 Client-side 무감사,P0,SourceConfirmed,"서버 Export Command, 권한, Reason, Approval, Watermark, 만료 Artifact로 교체한다.",완료,미검증,cpf-core/src/main/java/com/cpf/core/api/logging/policy; cpf-gateway/src/main/java/com/cpf/gateway/logging; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogExportService.java,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D027,Batch Job Definition과 기존 Worker 실행 모델 단절,P0,SourceConfirmed,Published Definition을 Scheduler/Dispatcher가 로드하고 모든 지원 Executor Adapter로 실행하도록 이관한다.,완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D028,BAT Owner API 인증·권한·감사 누락,P0,SourceConfirmed,"검증된 Actor Context와 표준 Owner Command 보안 Filter/Annotation, Immutable Audit를 적용한다.",완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D029,Batch 상태 전환 승인 우회,P0,SourceConfirmed,Approval Runtime과 Definition Hash/Version을 연결하고 자기승인·만료·재요청을 검증한다.,완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D030,ADM Batch Proxy가 오류를 503/UNKNOWN으로 평탄화,P0,SourceConfirmed,표준 Typed Error를 보존하고 네트워크 Unknown과 업무 오류를 분리한다.,완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D031,Batch Client의 하드코딩 주소·Raw Map,P0,SourceConfirmed,Typed Batch Control Client를 Generator/Service Registry로 제공하고 Local/Remote/Auto를 지원한다.,완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D032,Batch UI가 Actor·승인·상세를 잘못 처리,P0,SourceConfirmed,"Actor는 Session 고정, 상세 GET, Permission/Approval 버튼, Read-only Published Version, Diff Preview를 구현한다.",완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D033,File 고급 기능이 실제 Dispatcher에서 미사용,P0,SourceConfirmed,Definition Policy를 FileWatchRequest/Claim/Restart/Reconcile 흐름에 연결한다.,완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D034,File Provider가 Local Filesystem에 한정,P1,SourceConfirmed,"Provider SPI, Capability, Durable Lease/Fencing Store, Renewal, Remote Scan을 구현한다.",완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D035,Shell 상세 상태가 Dispatcher에서 손실,P0,SourceConfirmed,Result status/exit/output truncation/artifactHash/unknown을 실행 원장과 Lease 완료 상태에 보존한다.,완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D036,Shell Secret 임시파일·격리 한계,P1,SourceConfirmed,"승인 Temp Alias, Secret Provider FD/stdin, OS ACL 검증, 암호화/즉시 파기 Evidence를 구현한다.",완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D037,Shell Process Tree·Signature 제품 보강 필요,P1,SourceConfirmed,"Windows Job Object/Unix process group 또는 Container, Trust Store Signature, 실행 계정 Adapter를 적용한다.",완료,미검증,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json; exact-SHA Runtime Evidence 필요
QA30-D038,Parameter Reference가 Picker가 아닌 자유 입력,P0,SourceConfirmed,"Reference Catalog API, 검색 Select, Secret Picker, Service→Endpoint→Group 종속 선택을 구현한다.",완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D039,Parameter JSON·Date 검증 불일치,P1,SourceConfirmed,실제 JSON Parser/Schema와 timezone 명시 변환을 공통 계약으로 제공한다.,완료,완료,cpf-batch; cpf-admin/src/main/java/com/cpf/admin/opr/batch; cpf-admin/frontend/src/features/batch-job-packs; cpf-admin/frontend/src/components/parameters,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
QA30-D040,Oracle 빈 문자열 Default의 NOT NULL 충돌 위험,P0,SourceConfirmed,Nullable 또는 명시 Sentinel/기본값 정책으로 Canonical Metadata를 수정하고 Oracle 실제 Lifecycle로 검증한다.,완료,완료,cpf-tools/db/canonical/platform-schema.json; cpf-tools/db/vendor; cpf-tools/scripts/verify-qa30-completion.py,cpf-docs/evidence/20260730_qa30/qa30-static-report.json
