feature,owner_document,owner_section
제품 가치·도입 판단,00,11. 제안·도입 검토자가 설명해야 할 핵심
제품 범위·비범위,00,4. 제품 범위와 비범위
Architecture·Topology,arch,5. 지원 Topology와 동등성
Module Ownership,arch,4. Module Ownership과 의존 방향
Starter·Capability Profile,01,18. Starter / Capability Profile 현재 구조
Generator·신규 Domain,01,24. Generator 실무 순서
공통 Utility API,01,2. CPF Public Utility API Catalog
Query·Paging·Export,01,14.2 Paging 실전 선택 - Page / Slice / Cursor / Export
온라인 Transaction,01,6. Transaction 판단 흐름 - 어디까지 묶고 언제 분리하는가
Idempotency·UNKNOWN_RESULT,01,9. Idempotency / UNKNOWN_RESULT / Reconcile / Compensation
Local·Remote 호출,arch,5. 지원 Topology와 동등성
Messaging·Outbox·Inbox,01,10. Messaging - Outbox / Inbox / DLQ
HTTP 외부연계,01,19. 외부연계 선택표와 Public 진입점
TCP·Fixedlength·ISO8583,01,19. 외부연계 선택표와 Public 진입점
File·Attachment·SFTP,01,11. File / Attachment / 외부기관 연계
Notification,01,19. 외부연계 선택표와 Public 진입점
Security·Audit·Secret,std,9. Security·Permission·Masking·Approval·Audit 표준
OpenAPI·JavaDoc,std,6. HTTP·OpenAPI·JavaDoc 표준
DB 설계·Migration,db,6. Migration 표준
Batch,02,1. 배치 기능 Reference
ADM 연동 개발,03,2. 연동 Architecture와 개발 순서
ADM 화면 운영,04,3. 전체 Route Registry
플랫폼 설치·초기화,05,16. 신규 환경 전체 설치 Runbook
Property·Profile,05,22. 플랫폼 Property Catalog - 설치자가 먼저 보는 핵심
Log·Metric·Trace,05,6. Log / Metric / Trace 운영 기준
Backup·Restore·DR,05,8. Backup / Restore / Upgrade / Rollback / DR
BZA,90,1. BZA의 역할
Gateway,91,2. 선택 기준 - 언제 쓰고 언제 쓰지 않는가
Feature Flag·Runtime Control,04,8. Framework·보안·거버넌스
Resilience,std,8. Timeout·Retry·Resilience 표준
승인·Break-glass,04,8. Framework·보안·거버넌스
Data Quality·Crypto·Time,04,통합 운영 정정 승인  (/integrationClosure)
Artifact·Checksum·SBOM,list,4. 제품 Artifact / Source Inventory
Requirement·Evidence,list,5. Evidence / 인수 기준
