capability_id,domain,minimum_capability,cpf_current_mapping,source_evidence,status,quality_judgment,required_action,related_requirements,review_sha
ADM-CAP-001,통합 ADM,Online·Batch·공통·보안·분석을 계층형 메뉴로 제공,59 menus / six flat groups,createAdmState.ts;routes.ts,부분 구현,범위는 넓으나 계층·운영 역할별 정보구조가 얕음,Nested server-managed capability registry,QA35-REQ-024,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-002,통합 ADM,메뉴 관리·정렬·권한·가용 환경 관리,Frontend hardcoded menu metadata,createAdmState.ts,미구현,운영자용 메뉴 관리 기능과 단일 정본 부재,Canonical menu management,QA35-REQ-024;QA35-REQ-041,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-003,통합 ADM,깨진 메뉴/권한 없음/미지원 기능을 명확히 구분,Unknown route falls back to dashboard,routes.ts,실패,False green 및 운영 혼란,Explicit 403/404/disabled states,QA35-REQ-025,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-004,통합 ADM,Online+Batch 통합 대시보드와 Drill-down,Dashboard/topology/capacity exist,routes.ts,부분 구현,실제 통합 SLO·backlog·approval·incident drill-down 재확인 필요,Integrated operational dashboard,QA35-REQ-028,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-005,통합 ADM,메뉴부터 Backend/Evidence까지 추적,Menu ID parity only,featureCoverage.ts,미구현,Route 존재만 확인,Executable capability graph,QA35-REQ-027,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-006,Batch,Job 등록/검색/상세,BatchPage + Job Packs,BatchPage.vue;BatchJobPacksPage.vue,부분 구현,Immutable Job Pack은 우수하나 전용 Catalog UX/대량 기능 보강,Complete route-specific workflow and evidence,QA35-REQ-029,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-007,Batch,Job 버전·검증·승인·배포,Job Pack lifecycle,BatchJobPacksPage.vue,부분 구현,기준선보다 발전했으나 clone/diff/promotion/rollback 전체 연결 재확인,Complete route-specific workflow and evidence,QA35-REQ-029,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-008,Batch,Job Group 관리,No first-class route,routes.ts,미구현,독립 그룹 관리·정책·영향도 화면 부재,Complete route-specific workflow and evidence,QA35-REQ-029,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-009,Batch,Job Dependency Diagram/critical path,Relations data in BatchPage,BatchPage.vue,부분 구현,그래픽 DAG·cycle·critical path 전용 화면 미완결,Complete route-specific workflow and evidence,QA35-REQ-029,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
ADM-CAP-010,Batch,Job import/upload/export/download,Limited CSV/download; no full definition round-trip proven,BatchPage.vue;downloads,부분 구현,대량 등록과 immutable definition round-trip 필요,Complete route-specific workflow and evidence,QA35-REQ-029,e1f8bef7b7193522f2cd8e36cc6857dd1ff6694a
