canonical_requirement_id,source_paths,validation_method,status,baseline_sha,note
ADM-AUTH,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuthController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmSecurityOperationService.java; cpf-admin/src/main/java/com/cpf/admin/opr/security/AdmTotpVerifier.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-RBAC,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmPermissionController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmPermissionService.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-AUDIT,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmAuditLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmAuditLogService.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-TX,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionGroupController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionMetaController.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-TIMELINE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmTransactionGroupController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmObservabilityController.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-SERVICE,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmServiceRegistryController.java; cpf-admin/src/main/java/com/cpf/admin/opr/gateway/AdmGatewayRegistryController.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-LOG,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmLogController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmDynamicLogLevelController.java; cpf-admin/src/main/java/com/cpf/admin/opr/service/AdmLogPolicyService.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-BATCH,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-CENTER,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmCenterCutController.java; cpf-admin/src/main/java/com/cpf/admin/opr/centercut,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
ADM-AGENT,cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBatchWorkbenchController.java; cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmServiceRegistryController.java,GITHUB_CONNECTOR_EXACT_SHA_FILE_OR_DIRECTORY_READ,CONFIRMED_AT_BASELINE_SHA,af12a0c8851a2e8d20e9e42964d8dacc0266af03,Each listed primary file/directory was read or its exact parent tree was enumerated through GitHub Connector at baseline SHA.
