central_id,severity,title,qa_status,finding_id,basis_sha,qa_note
CENTRAL-FINAL-001,P0,Canonical Requirement count stale,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-002,P0,Previous-SHA evidence can be promoted incorrectly,FAIL,QA-B-1000-NEW-001,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA source still violates/supersedes acceptance: Current exact-SHA Evidence provenance false-green
CENTRAL-FINAL-003,P0,Approval terminal writes are not fenced,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-004,P0,Center-Cut non-terminal states can resolve UNKNOWN as success,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-005,P0,Batch UNKNOWN reconcile uses substring identity,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-006,P0,TransactionId trust boundary must preserve official channel-originated lineage,FAIL,QA-B-1000-NEW-003,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA source still violates/supersedes acceptance: Authorized first-hop transactionId provenance has no proven producer before highest-precedence filter
CENTRAL-FINAL-007,P0,cpf-core depends on MyBatis-owned mapper implementation,FAIL,QA-B-1000-NEW-005,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA source still violates/supersedes acceptance: Persistence MyBatis starter reuses com.cpf.core package namespace and drifts from canonical packageBase
CENTRAL-FINAL-008,P0,DB summary logging is not fail-closed for masking,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-009,P0,V107 lineage missing from canonical platform-schema,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-010,P0,DB3 verifier can pass without canonical V107,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-011,P1,Lineage source-of-truth/writer ambiguity,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-012,P0,Retired 410 APIs still advertised as active 200 operations,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-013,P1,Standard error/security responses missing,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-014,P0,FileLog spool replay bypasses hardened writer safety,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-015,P0,FileLog dedup disabled above 8 MiB,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-016,P0,FileLog spool root/retry lifecycle is not truly durable,FAIL,QA-B-1000-NEW-004,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA source still violates/supersedes acceptance: FileLog recovery queue has head-of-line blocking under persistent target failure
CENTRAL-FINAL-017,P1,FileLog recovery tests/gates are false-green,FAIL,QA-B-1000-NEW-004,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,Current exact-SHA source still violates/supersedes acceptance: FileLog recovery queue has head-of-line blocking under persistent target failure
CENTRAL-FINAL-018,P0,Observability qualifier accepts synthetic authoritative-looking records,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-019,P0,Security negative gate has labels without attack semantics,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-020,P0,Resource gate ignores observed vs declared limits,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-021,P1,Batch semantic gate can pass on booleans,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-022,P1,Broker semantic gate can pass on booleans,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-023,P0,DR gate accepts self-attested RPO/RTO,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-024,P0,DB3 lifecycle default runner does not exist,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
CENTRAL-FINAL-025,P1,ADM CSP allows unpkg and unsafe-eval,미검증,,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,"07_08 source/gate changes were inspected where relevant, but required exact-SHA execution/runtime/mutation evidence is absent; no PASS."
