execution_order,requirement_id,work_package_id,requirement_group,feature,function_type,qa_status,owner_module,owner_package,actual_consumer,qa_reason,required_action,evidence,baseline_sha
09-00017453,CPF-FR-017453,P09-ADM-UI-ONLINE,ADM_UI,응답코드,API_PARITY,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,"화면은 Generated Client 대신 raw URL 기반 console method를 호출하고, Backend safeResponse가 validation/DB 실패도 HTTP 200 available=false로 축약한다.",개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017454,CPF-FR-017454,P09-ADM-UI-ONLINE,ADM_UI,응답코드,DB_PARITY,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Mapper 계약은 확인했으나 3개 Vendor DDL·Mapper SQL·rollback runtime parity를 이 환경에서 모두 확인하지 못했다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017455,CPF-FR-017455,P09-ADM-UI-ONLINE,ADM_UI,응답코드,EVIDENCE,미검증,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Source와 Unit Test는 확인했지만 exact SHA Browser trace·network·a11y runtime evidence는 실행하지 못했다.,exact SHA runtime/browser/DB 직접 또는 동등 대체검증,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017456,CPF-FR-017456,P09-ADM-UI-ONLINE,ADM_UI,응답코드,FORM_SCHEMA,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,입력은 typed form이지만 결과와 상세가 CpfStructuredData raw 구조 출력에 의존하여 화면 Workflow를 구조화해 끝내지 못한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017458,CPF-FR-017458,P09-ADM-UI-ONLINE,ADM_UI,응답코드,VALIDATION,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,형식·cross-field 검증은 있으나 UI가 field별 오류와 focus를 제공하지 않고 단일 오류 문자열로 처리한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017459,CPF-FR-017459,P09-ADM-UI-ONLINE,ADM_UI,응답코드,PREVIEW,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,저장 전 before/after·영향 대상·예상 version·검증 결과 Preview 경로가 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017460,CPF-FR-017460,P09-ADM-UI-ONLINE,ADM_UI,응답코드,CAS,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,DTO/API/Mapper에 expectedVersion 또는 If-Match가 없고 update/delete가 optimistic conflict를 검출하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017461,CPF-FR-017461,P09-ADM-UI-ONLINE,ADM_UI,응답코드,SUBMIT_RESULT,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,operationId·request hash·진행상태·최종 결과·Audit Link를 표시하지 않고 raw result만 출력한다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/response-codes/ResponseCodesPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/frontend/src/app/methods/referenceMethods.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmResponseCodeController.java|cpf-common/src/main/java/com/cpf/common/msg/dto/CommonResponseCodeRequest.java|cpf-common/src/main/java/com/cpf/common/msg/service/ResponseCodeCacheService.java|cpf-common/src/main/java/com/cpf/common/msg/mapper/ResponseCodeMapper.java|cpf-common/src/test/java/com/cpf/common/msg/service/ResponseCodeCacheServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017463,CPF-FR-017463,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,QUERY_INPUT,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,Calendar ID를 free-text로 직접 입력하며 업무 대상 Select·검색 상태·기간 조건을 제공하지 않는다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
09-00017464,CPF-FR-017464,P09-ADM-UI-ONLINE,ADM_UI,영업일·휴일,SERVER_PAGING,미통과,cpf-admin,com.cpf.admin,플랫폼 운영자·보안관리자·감사자,limit=366 고정 조회만 있고 page/cursor·stable sort·filter allowlist 계약이 없다.,개발GPT 재개발 후 Codex 독립검수·QA 재검수,cpf-admin/frontend/src/features/business-calendar/BusinessCalendarPage.vue|cpf-admin/frontend/src/app/routes.ts|cpf-admin/frontend/src/generated/cpf-api.ts|cpf-admin/src/main/java/com/cpf/admin/opr/controller/AdmBusinessCalendarController.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarService.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnCalendarStore.java|cpf-common/src/main/java/com/cpf/common/calendar/CmnJdbcCalendarStore.java|cpf-common/src/test/java/com/cpf/common/calendar/CmnCalendarServiceTest.java,f97655c1299936a1101bc3ec10239265ec3b502e
