feature_id,feature,owner_or_source,consumer,manual,inputs,normal,failure,recovery,operations,status
CPF-DOC-F-001,Generator Dry Run과 충돌 검토,cpf-tools/generator,고객 업무·ADM/BZA/Gateway/운영,자동 분류,DomainName·SystemCode·Profile·DB Vendor,생성 경로·Starter Lock·충돌 목록 확인,기존 파일 충돌·지원하지 않는 조합,Dry Run 결과를 수정하고 적용 전 diff를 재검토,/configs,완료
CPF-DOC-F-002,secure-api Profile 조립,cpf-starters/profiles/secure-api,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Resource Server·Audit·Persistence 선택,선택 Starter만 Classpath·Health에 나타남,선택하지 않은 Provider Bean 유입,Resolved Lock과 dependencyInsight로 원인을 제거,/openApiOperations,완료
CPF-DOC-F-003,조건 검색과 Paging,cpf-reference 온라인 EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,검색 Field·Page·Size·Sort,허용 Sort와 Data Scope가 적용된 Page 응답,허용되지 않은 Sort·과대 Page,400으로 차단하고 최대 Page Size를 유지,/transactions,완료
CPF-DOC-F-004,상세 조회와 Masking,cpf-reference 온라인 EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Business ID·Actor·Data Scope,권한별 Masking 결과와 조회 Audit,타 조직 ID·원문 민감값 조회,"403 또는 Masked 응답, Audit로 시도 확인",/auditLogs,완료
CPF-DOC-F-005,Versioned 상태 변경,cpf-reference 온라인 EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,expectedVersion·reason·command body,상태·Version·History·Audit가 한 Transaction으로 변경,오래된 Version,409와 현재 Version 반환 후 사용자가 재판단,/transactionGroups,완료
CPF-DOC-F-006,Idempotency 동일 요청 재호출,cpf-reference reliability EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Idempotency-Key·Request Hash,원본 결과를 반환하고 부작용 1회,응답 유실 뒤 같은 요청 재호출,"원본 Operation 결과 조회, 새 Row 생성 금지",/reliability,완료
CPF-DOC-F-007,Idempotency Key Payload 충돌,cpf-reference reliability EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,같은 Key·다른 Payload,409 또는 typed conflict,Key 재사용으로 다른 업무 실행 시도,원본 Hash를 유지하고 새 Key 발급,/incidents,완료
CPF-DOC-F-008,Optimistic Lock 동시 수정,cpf-reference concurrency EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,두 사용자의 동일 Version,한 요청 성공·다른 요청 409,Last-write-wins로 덮어쓰기,최신 상태 재조회와 사유 재입력,/transactions,완료
CPF-DOC-F-009,업무 Transaction과 Audit,cpf-reference transaction EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Actor·Reason·Before/After,업무 Row·History·Audit Commit 시점 일치,Audit만 Commit 또는 업무만 Commit,Transaction Rollback 후 재시도 가능 상태 확인,/auditLogs,완료
CPF-DOC-F-010,Outbox 원자 저장,cpf-reference messaging EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Event Type·Aggregate ID·Payload,업무 Commit과 Outbox Row 동시 저장,DB Commit 후 Process 종료,Publisher가 미발행 Row를 Claim해 발행,/reliability,완료
CPF-DOC-F-011,Outbox Publisher Lease,cpf-reference messaging EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Lease Owner·Fencing Token,다중 Instance 중 한 Publisher만 발행,Lease 만료 뒤 이전 Publisher 늦은 갱신,Fencing Token으로 stale writer 차단,/topology,완료
CPF-DOC-F-012,Inbox 중복 소비 차단,cpf-reference messaging EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Event ID·Consumer ID,재전달 시 기존 처리 결과 반환,ACK 전 Consumer 종료,Inbox와 업무 결과를 확인하고 ACK만 재수행,/reliability,완료
CPF-DOC-F-013,Broker DLQ와 Replay,cpf-reference messaging EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,DLQ ID·reason·approval,원인 제거 뒤 새 Replay Operation 완료,원인 미해결 Blind Replay,"Replay 중단, Payload와 Consumer Version 분석",/recoveryCenter,완료
CPF-DOC-F-014,Kafka Consumer Process Kill,cpf-reference fault EDU,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Fault Point·Event ID,재기동 후 중복 부작용 없이 완료,Commit 후 ACK 전 Kill,Inbox 기준으로 재전달을 정상화,/incidents,완료
CPF-DOC-F-015,RabbitMQ Provider 교체,cpf-starters/messaging-rabbitmq,고객 업무·ADM/BZA/Gateway/운영,자동 분류,Exchange·Routing Key·Queue,업무 Event DTO와 실패 의미 유지,Provider SDK Type이 Public API에 노출,Adapter 경계로 이동하고 Contract Test 재실행,/notifications,완료
