scenario_id,linked_requirement_id,canonical_requirement_ids,priority,area,scenario_type,title,topology,environment,expected_result,failure_criteria,required_evidence,work_package_id,execution_phase_id,_part
CPF-SC-001537,CPF-FR-007809,OPS-CONFIG,P1,OPS,POSITIVE,[OPS-CONFIG] 정상 수직 흐름,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,정상 상태·side effect·tracking 일치,Mock-only 또는 Consumer 미호출,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001538,CPF-FR-007809,OPS-CONFIG,P1,OPS,INVALID,[OPS-CONFIG] 입력·경계 오류,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,표준 field/path 오류·side effect 0,500/raw exception/부분 저장,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001539,CPF-FR-007809,OPS-CONFIG,P1,OPS,UNAUTHORIZED,[OPS-CONFIG] 미인증·권한 부족,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,Server 거부·Audit·민감정보 0,버튼만 숨김/default allow,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001540,CPF-FR-007809,OPS-CONFIG,P1,OPS,CONFLICT,[OPS-CONFIG] Version·Hash 충돌,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,409·기존 결과 보존·lost update 0,후행 요청 덮어씀,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001541,CPF-FR-007809,OPS-CONFIG,P1,OPS,DUPLICATE,[OPS-CONFIG] 중복 요청,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,"동일 replay, 다른 payload conflict",side effect 2회,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001542,CPF-FR-007809,OPS-CONFIG,P1,OPS,TIMEOUT_PRE,[OPS-CONFIG] Side effect 전 Timeout,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,retryable failure·side effect 0,UNKNOWN/성공 오인,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001543,CPF-FR-007809,OPS-CONFIG,P1,OPS,RESPONSE_LOSS,[OPS-CONFIG] Side effect 후 응답 유실,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,UNKNOWN·blind retry 금지·reconcile,자동 실패/무조건 retry,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001544,CPF-FR-007809,OPS-CONFIG,P1,OPS,PARTIAL,[OPS-CONFIG] 부분 실패,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,개별 성공/실패/unknown 보존,전체 성공/실패로 축약,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001545,CPF-FR-007809,OPS-CONFIG,P1,OPS,PROCESS_KILL,[OPS-CONFIG] Process Kill·Restart,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,lease 회수·stale fencing·복구,고아 상태·중복,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
CPF-SC-001546,CPF-FR-007809,OPS-CONFIG,P1,OPS,MULTI_INSTANCE,[OPS-CONFIG] 다중 Instance,Local/Remote·single/multi-instance 중 적용,Java25·적용 DB/Provider/Browser/Process 환경,version/state 일치·중복 0,local state 의존,source SHA·command·environment·start/end·exit code·pre/post state·report/artifact hash·sanitization,P07-OPS-OPS-CONFIG,P07,CPF_SCENARIO_MASTER_PART_001_CPF-SC-000001__CPF-SC-009526.csv
