document,path_docx,r24_headings,r25_headings,heading_delta,r24_table_rows,r25_table_rows,table_row_delta,r24_structure_lines,r25_structure_lines,structure_line_delta,structure_delta_pct,r24_pages,r25_pages,page_delta,r25_pdf_bookmarks,r25_tables,r25_nonempty_paragraphs,r25_detailed_logical_lines,r25_chars,r25_words,gate,review
00_프레임워크안내,cpf-docs/guides/00_프레임워크안내.docx,19,76,57,168,275,107,187,351,164,87.7,9,21,12,76,29,204,479,19785,2585,PASS,제품 범위·Topology·Module/Starter/Capability 지도를 넓히고 07_15의 Transaction/Persistence/JPA·JTA/AI·SOAP/OIDC·서명·감사 Public Surface를 추가했다. 문서량 감소 없음.
01_개발자매뉴얼,cpf-docs/guides/01_개발자매뉴얼.docx,50,95,45,266,721,455,316,816,500,158.2,16,54,38,95,71,636,1357,58476,7052,PASS,개발 절차를 Transaction/Persistence/외부연계/보안/EDU 단위로 세분화하고 07_15 실제 Public API·Starter·기본값을 Source Trace에 반영했다. 코드·표·Lab이 모두 확장됐다.
02_배치개발매뉴얼,cpf-docs/guides/02_배치개발매뉴얼.docx,34,57,23,215,340,125,249,397,148,59.4,11,29,18,57,41,244,584,23978,3025,PASS,"Spring Batch Job/Step/Chunk/Partition/Worker/Center-Cut, Stop·Restart·Reprocess·Reconcile과 장애 시나리오를 작업 단위로 확장했다. 문서량 감소 없음."
03_ADM개발자매뉴얼,cpf-docs/guides/03_ADM개발자매뉴얼.docx,26,111,85,177,257,80,203,368,165,81.3,8,27,19,111,26,846,1103,43652,5034,PASS,"Owner Query/Command, Same-JVM/Remote, OpenAPI/Generated Client, 권한·승인·UNKNOWN/PARTIAL을 구현 연계 절차로 풀었다. 문서량 감소 없음."
04_ADM운영자매뉴얼,cpf-docs/guides/04_ADM운영자매뉴얼.docx,84,513,429,153,1683,1530,237,2196,1959,826.6,16,102,86,513,196,1102,2785,138731,20050,PASS,실제 ADM Route Registry 63개를 화면별 Playbook으로 풀어 Query/Command·risk·operationId·복구·감사를 전수 기술했다. 증가 폭이 가장 크며 감소 없음.
05_플랫폼운영매뉴얼,cpf-docs/guides/05_플랫폼운영매뉴얼.docx,44,74,30,260,483,223,304,557,253,83.2,14,41,27,74,48,230,713,28431,3850,PASS,설치·Property·DB/Broker·배포·관측·Backup/Restore·DR·Runbook을 확대하고 07_15 JPA/JTA/AI/SOAP/OIDC/Audit DB runtime 설정을 추가했다.
90_BZA매뉴얼,cpf-docs/guides/90_BZA매뉴얼.docx,28,73,45,170,672,502,198,745,547,276.3,8,42,34,73,65,134,806,33768,4798,PASS,실제 BZA 26개 Route를 조직/사용자/Role/Permission/Data Scope/결재/첨부/다운로드 운영 절차로 확장했다. 문서량 감소 없음.
91_Gateway매뉴얼,cpf-docs/guides/91_Gateway매뉴얼.docx,34,50,16,190,256,66,224,306,82,36.6,9,27,18,50,29,154,410,17792,1971,PASS,Route/Target/Security/Timeout/Retry/Ledger/Publish/ACK·NACK/LKG/Rollback/Drift·Reconcile 절차와 ADM 연계 Recipe를 확장했다.
기술사양서,cpf-docs/deliverables/기술사양서.docx,23,64,41,150,405,255,173,469,296,171.1,7,38,31,64,43,124,529,26326,2342,PASS,180개 정본 요구에 맞춰 Capability Contract와 07_15 Public Transaction/Persistence/Security/AI Surface를 실제 Symbol 기준으로 보강했다.
기술표준서,cpf-docs/deliverables/기술표준서.docx,22,61,39,106,147,41,128,208,80,62.5,6,25,19,61,27,211,358,20272,2773,PASS,초기 계측에서 구조 논리 라인이 R24 128→R25 121(-7)로 감소해 통과시키지 않았다. 상세 표준 검토 매트릭스와 07_15 Source 기반 규칙을 추가해 최종 비감소 상태로 보정했다.
데이터베이스표준서,cpf-docs/deliverables/데이터베이스표준서.docx,23,40,17,109,167,58,132,207,75,56.8,6,23,17,40,22,101,268,11979,1439,PASS,"3 Vendor lifecycle, ownership, migration/rollback/runtime query를 확장하고 07_15 V110/V111 broker inbox/core transaction-security pack을 반영했다."
산출물목록,cpf-docs/deliverables/산출물목록.docx,14,31,17,125,125,0,139,156,17,12.2,5,27,22,31,44,69,194,6688,1295,PASS,문서·Artifact·Evidence·인수/검증 지도와 산출물 책임·Trace를 확장했다. 별도 기능 설명을 중복하지 않고 정본 연결 정보를 늘렸다.
아키텍처설계서,cpf-docs/deliverables/아키텍처설계서.docx,24,70,46,126,289,163,150,359,209,139.3,6,25,19,70,32,233,522,23354,2897,PASS,"Module/Starter/Provider ownership, topology, failure/recovery ADR을 확장하고 07_15 JPA/JTA/AI/SOAP/OIDC/Audit Provider 경계를 추가했다."
