requirement_id,priority,codex_stage,category,canonical_requirement,owner,title,requirement,source_basis,development_status,verification_status,acceptance_criteria,verification_method,required_evidence,regression_guard,protected_owner_action
QA38-CURRENT-005,P0,00_BASELINE,Multi-GPT,REQ-GOV+RULE-QUALITY,QA/Tooling,다중 GPT 경로 분류,"경로를 PROTECTED_READ_ONLY, SHARED_MANAGED, FINAL_PACKAGE_OWNED, DELETE_CANDIDATE로 분류하고 적용 정책을 고정한다.",현재 사용자 명시 요구와 이전 충돌 원인,완료,완료,모든 Overlay·Delete 경로가 하나의 Merge Mode를 가지며 미분류 0,shared path policy validation,Shared Path Policy CSV와 Script preflight; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,기존 파일 존재를 무조건 오류로 처리 금지,
QA38-CURRENT-006,P0,00_BASELINE,Multi-GPT,REQ-GOV+RULE-QUALITY,QA/Tooling,동시 수정 내용 보존 후 현행화,공동 관리 Current·Codex·State 또는 삭제 후보가 로컬에서 수정됐으면 내용을 Consolidated History에 SHA와 함께 보존한 뒤 최종 정본으로 교체·삭제한다.,현재 사용자 명시 요구와 이전 충돌 원인,완료,완료,"동시 수정 내용 유실 0, 최종 활성 문서 중복 0",local-modified fixture + archive/replacement test,History snapshot hash·backup path·apply log; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 내용을 무단 덮어쓰기 금지,
QA38-CURRENT-007,P0,00_BASELINE,Protected Path,REQ-GOV+RULE-QUALITY,QA/Tooling,다른 GPT 보호 경로 전면 차단,"deliverables, guides, environment/docker, docker-development-test 경로는 참조만 허용하고 Overlay·Stage·Delete·빈 폴더 정리에서 제외한다.",현재 사용자 명시 요구,완료,완료,보호 경로 포함 파일·삭제 후보·수정 건수 0,prefix guard positive/negative fixture,Protected Paths와 Script failure log; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,Owner 요청 없이 변경 금지,환경 보완은 CPF_QA38_PROTECTED_OWNER_ACTIONS.md로 전달
QA38-GOV-001,P0,00_BASELINE,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,Latest master exact SHA,실행 시점 origin/master와 Working Tree/최근 Commit Range를 고정,latest Git,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-002,P0,00_BASELINE,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,다른 GPT 보호 경로,4개 보호 Prefix를 읽기 전용으로 강제,사용자 지시,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-003,P0,00_BASELINE,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,개발 GPT 62개 Backlog Import,로컬 원본 62개를 행 단위 Import·Crosswalk,Git 반영 Canonical 169·Core→Starter 30·Backlog 62와 QA 독립 대조,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-004,P0,00_BASELINE,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,Canonical 169 확인,7개 ID·TPC Alias·Provider Matrix를 로컬 정본과 대조,Git 반영 Canonical 169·Core→Starter 30·Backlog 62와 QA 독립 대조,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-VERIFY-001,P0,00_BASELINE,Verification,TEST-BROKER|DB-FRESH|ARCH-STARTER,Codex/QA,00_BASELINE,Git·Toolchain·Working Tree·Protected Paths,Git 반영 개발 입력 + QA 독립 판단 stage plan + QA extension,완료,완료,같은 exact SHA·Command Hash·환경·Log·Artifact Hash의 PASS,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,과거 SHA·다른 환경 PASS 승계 금지,보호 환경 변경은 Owner 요청으로 분리
QA38-CURRENT-001,P0,01_CANONICAL,Currentization,DOC-GOV+REQ-GOV,QA/Governance,최종 QA 요청서 자체 완결성,"CPF_QA38_FINAL_DEVELOPMENT_REQUIREMENTS.md 하나에 Canonical, 개발요건, Starter 이관, Messaging/TCP, DB, 검증 Stage, 완료 기준을 모두 포함하며 과거 개발 GPT 문서가 없어도 작업 가능해야 한다.",현재 사용자 명시 요구,완료,완료,최종 요청서가 외부 과거 요청서의 필수 내용을 참조로만 남기지 않고 자체 포함,문서 내용·Requirement ID·링크 독립성 검사,최종 요청서 Hash와 Requirement coverage report; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,어디에 있어서 생략했다는 설명 금지,
QA38-CURRENT-002,P0,01_CANONICAL,Currentization,DOC-GOV+REQ-GOV,QA/Governance,Current 진입점 단일화,CPF_CURRENT_WORK_REQUEST.md와 CODEX_START_HERE.md가 동일한 최종 QA38 요청서·Matrix·Review·Continuity만 가리키도록 현행화한다.,현재 사용자 명시 요구,완료,완료,"활성 Current 진입점 1개, Codex 시작점 1개, 서로 다른 활성 요청서 참조 0",active reference scan,참조 그래프와 적용 후 grep 결과; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,날짜별 Current 요청 병렬 유지 금지,
QA38-CURRENT-003,P0,01_CANONICAL,Currentization,DOC-GOV+REQ-GOV,QA/Governance,과거 Requirement 흡수·Continuity,"Canonical 169, 기존 62개 Backlog, 과거 QA37 요구, RabbitMQ/JMS/IBM MQ/TCP 복구 요구를 최종 Matrix와 History에 흡수하고 원 ID 추적을 유지한다.",현재 사용자 명시 요구,완료,완료,복구·승계 대상별 최종 Requirement ID가 존재하고 승인 없는 삭제 0,coverage reconciliation + ID uniqueness,Coverage CSV·History·Canonical ID; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,새 Matrix가 과거 원장을 무기록 대체 금지,
QA38-GOV-005,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,승인 없는 Requirement 제거 금지,사용자 승인 Evidence 없는 removed/superseded를 무효화,과거 누락 원인,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-006,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,과거 원장 보존,Canonical/Enterprise/EDU/QA37 유효 Requirement를 대체하지 않음,과거 QA,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-007,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,상태 축 분리,development_status와 verification_status 분리,프로젝트 정책,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
QA38-GOV-008,P0,01_CANONICAL,Governance,ARCH-STARTER|DB-FRESH|Requirement Continuity,QA/Governance,Source 독립 검토,문서·보고가 아닌 실제 Source/Build/SQL/Consumer/Test 검토,사용자 지시,완료,완료,"승인 없는 누락 0, exact SHA와 원장 Crosswalk 100%",Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md,다른 GPT 작업·과거 Requirement 보호,
