evidence_id,path,sha256,bytes,sanitized
EVD-0001,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/ATOMIC_COVERAGE_VALIDATION.json,cd0057575b9ef85db39aa02aa16ac889b67110621aea6f453ab9edc5d95364cc,1176,True
EVD-0002,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/CANONICAL_SOURCE_REVIEW.csv,64b0abe682ddd820d55418625dbf4c595809da9e6ea092917a470e76e47e7758,16536,True
EVD-0003,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/PACKAGE_FORMAT_VALIDATION.json,11914a49f756122067a4ea3cf203f62640a8e5b6f82329f414ca5434209490f6,60,True
EVD-0004,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/PACKAGE_HYGIENE_AND_SECRET_SCAN.json,471c17676efa37cc01f89e59f7efae7916dad8d1d941d65bdf41e996c0f7669b,224,True
EVD-0005,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/corrections/CORRECTION_SUMMARY.md,275fa52ae54b22e4ab2c996f71a03794227f61949bba6e982c43fe83affc5179,1138,True
EVD-0006,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/corrections/lifecycle_fixture_initial_failure_r10.log,bc684b51c1cf85786ba848406fd862d491a9c5d3811bc9f085b2c432c70154a6,6603,True
EVD-0007,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/corrections/revalidation_initial_failure_r10.log,e3a4042beedc5003c3adbe093bbe45ae192312a192e50b45b218844885c547eb,17124,True
EVD-0008,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/datasource-evidence.json,75a33bbcb8e53a4dd498d7acf861f0c75b50dc8a2c3912ddf5432b5e5c79ea0d,1467,True
EVD-0009,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/datasource-verification.json,7fa9e83bf6eb0fe462f2b9ec79da8d69eabcfb10dcf259b694040f67fecc6bb3,203,True
EVD-0010,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/datasource-verification.log,374339ba15481112e64edfcf26b017a4185dd89a23a17c044c06b8342b709f0a,189,True
EVD-0011,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/environment_versions.log,34b36d18cb1a511864c61fdfb932bc82726c3a254027770f459914d1ab3f28b4,361,True
EVD-0012,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/git_remote_attempt.log,186d4e6ace37024c13ddb2060a92fec163a083f4406c408d18162f35d3321735,203,True
EVD-0013,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/java/calendar_harness_r11.log,9c0f300229dd98886cabc619029887b48564f6e23a6537da22db893a550c736a,22,True
EVD-0014,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/java/listener_harness_r11.log,a6cd1ed8ddb9cfd0fc21460022a68d391ee8ae8a54323ee5c7c0e84292d7eaae,22,True
EVD-0015,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/java/template_junit_javac_r11.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,True
EVD-0016,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/java/template_renderer_harness_r11.log,6e13f19b9d8de2422dfaace64eb7626edd5773fe3dfe158a4ba9098a6d907ec1,22,True
EVD-0017,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/java/template_store_javac_r11.log,be6d4e83efa9ec994f0d119737f5c6eeb33ff43d3955543ecf71c5f7954471af,3578,True
EVD-0018,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-evidence.json,2daf7c42578a8023a43d5999b5390c403690bc0213410e294370dd0bfea81fea,2048,True
EVD-0019,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-unknown-negative-result.json,d4ff08b7755a6d9dc326b328aa46ade19b9c545796351e90aac7a7f6d68a8ff5,276,True
EVD-0020,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-unknown-negative.exit,4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865,2,True
EVD-0021,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-unknown-negative.json,82eefed3a4c0a2884d4770d97a5395b6cf44e1732d5f6fec8f906d610505eec5,2092,True
EVD-0022,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-unknown-negative.log,aa896556385f5e5a1a55910b8e9f10870b3d38c088579b44ab94113fd8833478,254,True
EVD-0023,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-verification.json,2cbe666da2c9f7d62e9f0a426409b9b83a7641d33f3f29d0897b3a8f0f7da149,201,True
EVD-0024,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/observability-verification.log,c70e36151aa96568230f11f3f6dcc43e384ab4d0af389005f8ac646bfb9a42e6,187,True
EVD-0025,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/operability-evidence.json,50b1886ef5a4df7e4e1a458ee56aeaa31e4446722f5c493c4596e51817fb39a9,911,True
EVD-0026,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/operability-verification.json,0b2225ac331b035060a9eccb3fc59e7d82802c9f171a566e588f3a3c357a98ad,232,True
EVD-0027,cpf-docs/work/current/CPF_DEVGPT_CONTROL_V9/_session_workspace/CPF-V9-INITIAL-FULL-REVIEW-20260805-1952/REV-001/sessions/DEVGPT-V9-S04/evidence/operability-verification.log,30c7cc0b83a0b58ad9bfc00692a856d01ff270458f6a429b78e8bd95943cec2c,216,True
