request_id,engineering_gate,development_status,verification_status,assertion,command,exit_code,evidence_ref,open_issue
CPF-V9-S03-REQ-20260805-001,GATE-01-OWNERSHIP,완료,완료,Owner path/package and cross-owner boundaries traced; no central/V8/other session file modified,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-01-ownership,
CPF-V9-S03-REQ-20260805-001,GATE-02-CONSUMER,완료,완료,"Reference, Gateway, Provider and ADM consumers/call paths recorded per atomic row",see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-02-consumer,
CPF-V9-S03-REQ-20260805-001,GATE-03-HTTP-API,완료,재확인 필요,typed HTTP/SCG source and harness pass; Java25 live HTTPS/browser runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-03-http-api,typed HTTP/SCG source and harness pass; Java25 live HTTPS/browser runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-04-EVENT-API,완료,재확인 필요,broker/provider contract and harness pass; live broker runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-04-event-api,broker/provider contract and harness pass; live broker runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-05-DB-QUERY,완료,재확인 필요,JDBC/fencing contract checked; Oracle/PostgreSQL/MariaDB runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-05-db-query,JDBC/fencing contract checked; Oracle/PostgreSQL/MariaDB runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-06-STATE-IDEMP,완료,완료,UNKNOWN/idempotency/fenced state transitions covered by harness,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-06-state-idemp,
CPF-V9-S03-REQ-20260805-001,GATE-07-MULTI-INSTANCE,완료,재확인 필요,fencing semantics pass; process/multi-instance runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-07-multi-instance,fencing semantics pass; process/multi-instance runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-08-UNKNOWN-RECOVERY,완료,완료,HTTP/TCP/SFTP/Broker ambiguity and reconcile harnesses pass,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-08-unknown-recovery,
CPF-V9-S03-REQ-20260805-001,GATE-09-SECURITY,완료,재확인 필요,fail-closed source trace pass; actual authn/authz/TLS/Secret runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-09-security,fail-closed source trace pass; actual authn/authz/TLS/Secret runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-10-CRYPTO-PRIVACY,완료,재확인 필요,sanitization/no-secret scan pass; actual TLS/key rotation needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-10-crypto-privacy,sanitization/no-secret scan pass; actual TLS/key rotation needed
CPF-V9-S03-REQ-20260805-001,GATE-11-OPS-AUDIT,완료,재확인 필요,ADM/source/audit path traced; browser/operator authorization runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-11-ops-audit,ADM/source/audit path traced; browser/operator authorization runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-12-OBSERVABILITY,완료,재확인 필요,trace/metric/audit fields traced; live telemetry backend needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-12-observability,trace/metric/audit fields traced; live telemetry backend needed
CPF-V9-S03-REQ-20260805-001,GATE-13-PERFORMANCE,완료,재확인 필요,bounded response/timeout/resource logic traced; target load test needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-13-performance,bounded response/timeout/resource logic traced; target load test needed
CPF-V9-S03-REQ-20260805-001,GATE-15-GENERATOR,완료,재확인 필요,contract impact trace done; S06 clean generation/publication needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-15-generator,contract impact trace done; S06 clean generation/publication needed
CPF-V9-S03-REQ-20260805-001,GATE-16-COMPATIBILITY,완료,재확인 필요,source/API compatibility inspected; mixed-version/provider runtime needed,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-16-compatibility,source/API compatibility inspected; mixed-version/provider runtime needed
CPF-V9-S03-REQ-20260805-001,GATE-18-TEST-EVIDENCE,완료,완료,all assigned IDs have assertion/result/evidence; independent harnesses all exit 0,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-18-test-evidence,
CPF-V9-S03-REQ-20260805-001,GATE-20-HYGIENE,완료,완료,UTF-8/package/V8/secret/syntax-like scans pass; no deletes/protected path changes,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-20-hygiene,
CPF-V9-S03-REQ-20260805-001,GATE-21-TIME,완료,완료,Clock injection added to gateway/TCP and deterministic clock harness passes,see evidence/TEST_AND_EVIDENCE.md,0 or NOT_EXECUTED as documented,evidence/GATE_RESULT.md#gate-21-time,
