backlog_id,source,requirement_id,root_cause_group,priority,owner_module,implementation_status,verification_status,evidence_path
QA39-BL-001,QA,QA39-045,governance,P0,governance,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-002,QA,QA39-046,starter-layout,P0,starter-layout,완료,완료,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json
QA39-BL-003,QA,QA39-047,starter-move,P0,starter-move,완료,완료,cpf-docs/evidence/qa39/apply/CPF_QA39_SYNTHETIC_APPLY.sanitized.json
QA39-BL-004,QA,QA39-048,catalog-bom,P0,catalog-bom,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-005,QA,QA39-049,resilience,P0,resilience,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-006,QA,QA39-050,feature-flag,P0,feature-flag,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-007,QA,QA39-051,openapi,P0,openapi,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-008,QA,QA39-052,boundary,P0,boundary,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-009,QA,QA39-053,profiles,P0,profiles,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-010,QA,QA39-054,provider-binding,P0,provider-binding,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-011,QA,QA39-055,batch,P0,batch,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-012,QA,QA39-056,evidence-gate,P0,evidence-gate,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-013,QA,QA39-057,manifest,P0,manifest,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-BL-014,QA,QA39-058,generator,P0,generator,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-015,QA,QA39-059,runtime,P0,runtime,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-016,QA,QA39-060,database,P0,database,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-017,QA,QA39-061,frontend,P0,frontend,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-018,QA,QA39-062,ci,P0,ci,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-019,QA,QA39-063,supply-chain,P0,supply-chain,완료,미검증,cpf-docs/evidence/qa39/environment/CPF_QA39_ENVIRONMENT_BLOCKERS.sanitized.json
QA39-BL-020,QA,QA39-064,delivery,P0,delivery,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-001,SELF,SELF-001,catalog-bom,P0,catalog-bom,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-002,SELF,SELF-002,starter-move,P0,starter-move,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-003,SELF,SELF-003,starter-move,P0,starter-move,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-004,SELF,SELF-004,catalog-bom,P0,catalog-bom,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-005,SELF,SELF-005,frontend,P0,frontend,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-006,SELF,SELF-006,feature-flag,P0,feature-flag,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-007,SELF,SELF-007,database,P0,database,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-008,SELF,SELF-008,batch,P0,batch,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-009,SELF,SELF-009,batch,P0,batch,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
QA39-SELF-010,SELF,SELF-010,evidence-gate,P0,evidence-gate,완료,완료,cpf-docs/evidence/qa39/static/CPF_QA39_STATIC_VALIDATION.sanitized.json
