feature_id,area,coverage_scope,owner_module,reference_sources,tests,public_contracts,scenario_axes,adm_observation_paths,runtime_command,development_status,verification_status
EDU-001,Build/Artifact,BOM·Convention Plugin·LOCAL/REMOTE/OFFLINE 소비와 Artifact hash 검증,cpf-tools,build.gradle | gradle/**/*.gradle | cpf-tools/release/**/* | cpf-tools/supply-chain/**/*,cpf-tools/scripts/tests/test_verify_cpf_supply_chain.py | cpf-tools/verification/**/*Artifact*Test*,build.gradle | cpf-core/src/main/java/com/cpf/core/api/**/*.java,EDU-001-SCN-NORMAL | EDU-001-SCN-ERROR | EDU-001-SCN-RECOVERY | EDU-001-SCN-SECURITY,/runtimeControl,./gradlew.bat clean test assemble publishToMavenLocal --no-daemon --stacktrace,완료,미검증
EDU-002,Generator,신규 Domain 생성·충돌검사·remove/regenerate·Golden Template parity,cpf-tools,cpf-tools/generator/**/* | cpf-tools/scripts/*domain* | cpf-member/**/*,cpf-tools/verification/**/*generator* | cpf-tools/scripts/tests/**/*generator*,cpf-common/src/main/java/com/cpf/common/api/**/*.java | cpf-core/src/main/java/com/cpf/core/api/**/*.java,EDU-002-SCN-NORMAL | EDU-002-SCN-ERROR | EDU-002-SCN-RECOVERY | EDU-002-SCN-CONCURRENCY,/configs,pwsh -NoProfile -File ./cpf-tools/scripts/create-domain.ps1 -DomainName educheck -SystemCode EDC,완료,미검증
EDU-003,Transaction,34자리 transactionId·segment·attempt 전파와 Causal Timeline,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java,cpf-reference/src/test/java/com/cpf/reference/transaction/**/*.java,cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java | cpf-core/src/main/java/com/cpf/core/api/context/**/*.java,EDU-003-SCN-NORMAL | EDU-003-SCN-ERROR | EDU-003-SCN-RECOVERY | EDU-003-SCN-CONCURRENCY,/transactionGroups | /transactions,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.transaction.*"" --no-daemon",완료,미검증
EDU-004,Header/Error,표준 Header·Validation·Error envelope·masking,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/header/**/*.java | cpf-reference/src/main/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/main/java/com/cpf/reference/validation/**/*.java,cpf-reference/src/test/java/com/cpf/reference/header/**/*.java | cpf-reference/src/test/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/test/java/com/cpf/reference/validation/**/*.java,cpf-core/src/main/java/com/cpf/core/api/header/**/*.java | cpf-core/src/main/java/com/cpf/core/api/error/**/*.java,EDU-004-SCN-NORMAL | EDU-004-SCN-ERROR | EDU-004-SCN-RECOVERY | EDU-004-SCN-SECURITY,/responseCodes | /logs,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.header.*"" --tests ""com.cpf.reference.failure.*"" --no-daemon",완료,미검증
EDU-005,Local/Remote,동일 JVM과 분리 WAS Consumer 계약·timeout·retry,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/servicecall/**/*.java,cpf-reference/src/test/java/com/cpf/reference/servicecall/**/*.java,cpf-core/src/main/java/com/cpf/core/api/servicecall/**/*.java | cpf-core/src/main/java/com/cpf/core/spi/**/*.java,EDU-005-SCN-NORMAL | EDU-005-SCN-ERROR | EDU-005-SCN-RECOVERY | EDU-005-SCN-CONCURRENCY,/serviceRegistry | /topology,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.servicecall.*"" --no-daemon",완료,미검증
EDU-006,Idempotency,멱등 Key·중복 요청·재처리 결과 보존,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/idempotency/**/*.java,cpf-reference/src/test/java/com/cpf/reference/idempotency/**/*.java,cpf-core/src/main/java/com/cpf/core/api/idempotency/**/*.java,EDU-006-SCN-NORMAL | EDU-006-SCN-ERROR | EDU-006-SCN-RECOVERY | EDU-006-SCN-CONCURRENCY,/recoveryCenter | /transactions,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.idempotency.*"" --no-daemon",완료,미검증
EDU-007,Concurrency,Optimistic Lock·CAS·중복 실행·동시 갱신 충돌,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/crud/**/*.java | cpf-reference/src/main/java/com/cpf/reference/idempotency/**/*.java,cpf-reference/src/test/java/com/cpf/reference/crud/**/*.java | cpf-reference/src/test/java/com/cpf/reference/idempotency/**/*.java,cpf-core/src/main/java/com/cpf/core/api/concurrency/**/*.java | cpf-common/src/main/java/com/cpf/common/api/**/*.java,EDU-007-SCN-NORMAL | EDU-007-SCN-ERROR | EDU-007-SCN-RECOVERY | EDU-007-SCN-CONCURRENCY,/recoveryCenter | /businessCalendar,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.crud.*Concurrency*"" --no-daemon",완료,미검증
EDU-008,Unknown Result,결과불명 분류·Reconcile·Replay·Compensation,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/main/java/com/cpf/reference/transaction/**/*.java,cpf-reference/src/test/java/com/cpf/reference/failure/**/*.java | cpf-reference/src/test/java/com/cpf/reference/transaction/**/*Unknown*,cpf-core/src/main/java/com/cpf/core/api/recovery/**/*.java | cpf-core/src/main/java/com/cpf/core/api/transaction/**/*.java,EDU-008-SCN-NORMAL | EDU-008-SCN-ERROR | EDU-008-SCN-UNKNOWN | EDU-008-SCN-RECOVERY,/recoveryCenter | /transactionGroups,"./gradlew.bat :cpf-reference:test --tests ""*UnknownResult*"" --no-daemon",완료,미검증
EDU-009,Outbox/Inbox,Transactional Outbox·Inbox dedupe·retry·DLQ,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/messaging/**/*.java,cpf-reference/src/test/java/com/cpf/reference/messaging/**/*.java,cpf-core/src/main/java/com/cpf/core/api/messaging/**/*.java | cpf-core/src/main/java/com/cpf/core/spi/messaging/**/*.java,EDU-009-SCN-NORMAL | EDU-009-SCN-ERROR | EDU-009-SCN-RECOVERY | EDU-009-SCN-CONCURRENCY,/recoveryCenter | /dashboard,"./gradlew.bat :cpf-reference:test --tests ""com.cpf.reference.messaging.*Outbox*"" --no-daemon",완료,미검증
EDU-010,Kafka,Broker publish/consume·partition·retry·DLQ·lag,cpf-reference,cpf-reference/src/main/java/com/cpf/reference/messaging/**/*.java,cpf-reference/src/test/java/com/cpf/reference/messaging/**/*Kafka*,cpf-core/src/main/java/com/cpf/core/api/messaging/**/*.java,EDU-010-SCN-NORMAL | EDU-010-SCN-ERROR | EDU-010-SCN-RECOVERY | EDU-010-SCN-CONCURRENCY,/capacity | /recoveryCenter,"./gradlew.bat :cpf-reference:test --tests ""*Kafka*"" --no-daemon",완료,미검증
