requirement_id,priority,owner,requirement,basis,change_target,consumer,acceptance,verification,evidence,regression_protection
CPF-CLEAN-DOC-001,P0,Documentation,문서 역할별 단일 정본,문서 파편화와 Stale Completion,governance policy/index,모든 작업자,정본 읽기 순서가 1개이고 Current 중복 0,문서 Link/Role Gate,이번 Overlay,기존 Requirement ID 보존
CPF-CLEAN-DOC-002,P1,Documentation,과거 Current 문서 History Ledger 압축,work/current 누적,50 files + ledger,QA/Codex,활성 Current 외 과거 Prompt/Report 0,Broken link + git status,Delete Manifest,Git History 보존
CPF-CLEAN-ROOT-001,P0,Architecture,Root Surface Ownership Gate,Root folder 의미 불명확,root policy/inventory,Build/Generator,미등록 Root 0,Fresh clone inventory gate,ROOT_DIRECTORY_REVIEW.csv,Generated Domain 회귀
CPF-CLEAN-ROOT-002,P0,Architecture,신규 Root Architecture 승인 의무,여러 AI의 임의 Root 생성 위험,governance + gate,모든 개발자/AI,Owner/Requirement/Gate 없는 Root 생성 실패,negative fixture,정책 문서,기존 Root 보호
CPF-CLEAN-GEN-001,P0,Generator,업무 Domain은 Generator로만 생성,cpf-account 소실·수동 복원 위험,generator lifecycle policy,Generated Domain,Provenance 없는 업무 Root 0,arbitrary-domain lifecycle,ACCOUNT investigation,사용자 수정 영역 보호
CPF-CLEAN-GEN-002,P0,Generator,Generated Domain 삭제 승인·Ledger,Account 삭제 사유 불명,delete manifest + history ledger,Settings/DB/Route,삭제 사유/Consumer/재생성 계획 필수,negative delete test,domain history ledger,기존 Golden Reference 보호
CPF-CLEAN-ACC-001,P1,Generated Domain,Account 제외 사유 재확인,c599b2ab 명시적 사유 없음,requirement decision,Account consumer,필요 시 Generator로 재생성; 불필요 시 Decision 기록,Generator create/remove dry-run,ACCOUNT investigation,수동 Git 복원 금지
CPF-CLEAN-STARTER-001,P0,Architecture/Build,cpf-starters 공식 PRODUCT_CONTAINER 승인 또는 이관,settings와 final root gate 불일치 위험,settings/root gate/BOM,ADM/BZA/optional consumers,Fresh clone final gate와 optional removal compile PASS,Gradle + inventory test,STARTERS review,security consumer 보호
CPF-CLEAN-GATE-001,P0,QA/Tools,Final Gate 안정 진입점 통합,QA30/31/date gate 활성 의존,workflow/scripts,CI/Codex/dev,Final entry 1개; legacy wrapper chain 1단 이하,consumer graph + equivalence,Gate inventory,기존 실패조건 보존
CPF-CLEAN-GATE-002,P1,QA/Tools,날짜 Verification Folder 이관,20260729_04가 Final CI에서 활성,stable verification path,CI,date path direct call 0,CI exact SHA,Gate inventory,동등 결과 검증
CPF-CLEAN-GATE-003,P1,QA/Tools,QA32+ Gate 참조 전수 조사,일부 Script 미분류,tool consumer inventory,Scripts/Docs/CI,참조 0만 삭제 후보,ripgrep + AST/path scan,Deferred candidates,Evidence consumer 보호
CPF-CLEAN-CODEX-001,P0,Collaboration,Codex 동시 작업 경로 보호,Overlay 충돌 위험,protected paths,Codex QA37,path overlap 0,manifest compare,PROTECTED_PATHS.txt,QA37 작업 보존
CPF-CLEAN-STARTER-002,P0,Core/Architecture,Lightweight Core + Explicit Opt-in Starter 정본화,Core에 선택 Runtime 잔존,starter policy/core review,모든 Product/Domain,Core 선택 Runtime 강제 0,POM/API/variant gate,Core dependency review,기존 Public 계약 보호
CPF-CLEAN-STARTER-003,P0,Generator,Generated Domain의 Starter 명시 선택,필요 기능만 사용한다는 제품 방향,generator/manifest/templates,Generated Domain,미선택 Starter·Config·Bean 0,arbitrary-domain variants,Next QA request,사용자 수정 영역 보호
CPF-CLEAN-STARTER-004,P0,Build/Release,Starter BOM·Publication·Artifact inclusion,현재 BOM Starter 누락,BOM/version/release metadata,모든 Consumer,GA Starter publish/consume 및 JAR/WAR 포함/제외 PASS,Fresh Clone LOCAL/REMOTE/OFFLINE,Next QA requirements,Core/Common artifact 보호
CPF-CLEAN-STARTER-005,P0,Architecture,Framework 전체 Starter 후보 전수 점검,현재 7개만으로 충분한지 미확정,all modules/dependencies/config,Core/Common/Product/Domain,모든 Capability Owner/Starter/Plugin 분류,consumer/dependency graph,Framework assessment,과잉 Starter 방지
CPF-CLEAN-STARTER-006,P1,Messaging,RabbitMQ 지원 방식 ADR,Kafka Starter만 존재,target requirements/starter policy,Messaging consumers,Kafka-only/RabbitMQ Starter/Customer Plugin 결정,contract/failure parity review,Messaging section,Kafka 기존 기능 보호
CPF-CLEAN-STARTER-007,P0,Documentation,Starter 선택·배포·운영 Guide 정합성,향후 세분화 예정,README/guides/deliverables,고객/개발/운영/설치,Source/BOM/Generator와 문서 drift 0,doc/content/link gate,Guide update request,기존 Guide 역할 유지
CPF-SELF-STARTER-PROFILE-001,P0,Architecture,Starter 그룹 등록 계층,Leaf/Profile/Aggregate/BOM 역할을 구분하고 Mega Starter를 금지,다음 QA 034~040,문서·Generator·Build·BOM
CPF-SELF-STARTER-PROFILE-002,P0,Generator,Profile 해석 투명성,Profile 선택 결과를 최종 Leaf 목록과 Version Lock으로 Manifest에 기록,Domain Manifest와 Build 일치,generation/drift gate
CPF-SELF-CORE-BASE-001,P0,Architecture,Core와 Base Starter 분리,Core 독립 계약 JAR과 Boot Base Starter의 책임·Consumer를 분리,다음 QA 041~044,POM·consumer·footprint
CPF-SELF-COMMON-001,P0,Architecture,Common 선택 업무공통화,Common 기술 Runtime을 Starter로 이관하고 모든 Domain 강제를 제거,다음 QA 045,dependency graph·optional compile
