requirement_id,priority,owner,development_status,verification_status,verification_method,required_evidence
QA38-CURRENT-005,P0,QA/Tooling,완료,완료,shared path policy validation,Shared Path Policy CSV와 Script preflight; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CURRENT-006,P0,QA/Tooling,완료,완료,local-modified fixture + archive/replacement test,History snapshot hash·backup path·apply log; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CURRENT-007,P0,QA/Tooling,완료,완료,prefix guard positive/negative fixture,Protected Paths와 Script failure log; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-001,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-002,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-003,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-004,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-VERIFY-001,P0,Codex/QA,완료,완료,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CURRENT-001,P0,QA/Governance,완료,완료,문서 내용·Requirement ID·링크 독립성 검사,최종 요청서 Hash와 Requirement coverage report; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CURRENT-002,P0,QA/Governance,완료,완료,active reference scan,참조 그래프와 적용 후 grep 결과; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CURRENT-003,P0,QA/Governance,완료,완료,coverage reconciliation + ID uniqueness,Coverage CSV·History·Canonical ID; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-005,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-006,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-007,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-008,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-009,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-010,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-011,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GOV-012,P0,QA/Governance,완료,완료,Git/CSV/Canonical/Continuity Gate,SHA·원본 행 Hash·Crosswalk·승인 Ledger; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-VERIFY-002,P0,Codex/QA,완료,완료,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-001,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-002,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-003,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-004,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-005,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-006,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-007,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-008,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-009,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-SRC-010,P0,QA/Architecture,완료,완료,local code/dependency/sql/test scan,path/blob/import/dependency/consumer manifest; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-VERIFY-003,P0,Codex/QA,완료,완료,stage wrapper/execution ledger,command/log/report/artifact SHA; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-001,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-002,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-003,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-004,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-005,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-006,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-007,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-CONSUMER-008,P0,Product Owner,완료,미검증,architecture test+focused runtime+artifact,consumer graph/build/config/test/runtime; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-001,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-002,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-003,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-004,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-005,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-006,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-EXISTING-007,P0,Starter Owner,완료,미검증,ApplicationContextRunner+consumer+runtime+artifact,starter별 log/report/POM/SBOM; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-001,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-002,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-003,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-004,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-005,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-006,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-007,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
QA38-GROUP-008,P0,Starter Architecture/Generator,완료,미검증,fresh generated domain+dependency report+negative combinations,resolved manifest/POM/JAR/test hash; cpf-docs/evidence/20260802/qa38/QA38_LOCAL_VERIFICATION_EVIDENCE.md
