exact_id,route_id,path,menu_id,expected_operation_count,missing_operation_ids,development_status,verification_status,overall_status,qa_status,basis_sha,source_path,consumer_path,runtime_gate,qa_comment
ADM-dashboard,dashboard,/,DASHBOARD,9,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-topology,topology,/topology,TOPOLOGY,4,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-capacity,capacity,/capacity,CAPACITY,6,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-logs,logs,/logs,LOG_LIST,4,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-transactionGroups,transactionGroups,/transactionGroups,LOG_LIST,9,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-transactions,transactions,/transactions,TRANSACTION_META,5,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-remoteLogs,remoteLogs,/remoteLogs,REMOTE_LOG,9,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-auditLogs,auditLogs,/auditLogs,AUDIT_LOG,4,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-logLevel,logLevel,/logLevel,DYNAMIC_LOG,3,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-logPolicies,logPolicies,/logPolicies,LOG_POLICY,13,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
ADM-standardExecutions,standardExecutions,/standardExecutions,STANDARD_EXECUTION,2,,재검수 요청,미검증,미검증,미검증,b4b6b18b43e9ff83436ceb8b1816b31594e8d6eb,cpf-admin/frontend/src/app/routes.ts,cpf-admin/frontend/src/features/** + generated client,authenticated Chromium/Firefox/WebKit,Static operation reference closure PASS; actual page/search/paging/error/auth/a11y/responsive runtime not executed.
