area,source_path,inspection,qa_status,finding_or_note
Canonical,cpf-docs/governance/CPF_FINAL_TARGET_REQUIREMENTS.md,169 canonical + 8 legacy aliases confirmed,재확인 필요,Full per-row source/consumer closure not all direct-opened.
Central,cpf-docs/work/v9i/final-control/CENTRAL_FINAL_ACTIONS.csv,31 current actions enumerated,미검증,Source resolution and runtime evidence reclassified; no current PASS.
Developer,cpf-docs/work/v9i/dev-final/TEST_AND_EVIDENCE.md,Target basis is previous SHA,FAIL,QA-B-1000-NEW-001
Developer,cpf-docs/work/v9i/dev-final/PACKAGE_MANIFEST.json,target_basis_sha is previous SHA,FAIL,QA-B-1000-NEW-001
Verification,cpf-tools/verification/final-dev/verify-current-sha-evidence.py,Path-limited/hard-coded provenance check,FAIL,QA-B-1000-NEW-001
TransactionId,cpf-core/src/main/java/com/cpf/core/common/transaction/CpfInboundTransactionIdPolicy.java,trust vs authoritative starter identity inspected,FAIL,QA-B-1000-NEW-003
TransactionId,cpf-core/src/main/java/com/cpf/core/common/filter/TransactionContextFilter.java,HIGHEST_PRECEDENCE policy call inspected,FAIL,QA-B-1000-NEW-003
Transaction,cpf-core/src/main/java/com/cpf/core/common/logging/segment/CpfTransactionTimelineQueryFacade.java,query failure/freshness inspected,FAIL,QA-B-1000-NEW-002
Transaction,cpf-core/src/test/java/com/cpf/core/common/logging/segment/CpfTransactionTimelineFreshnessTest.java,does not exercise real query exception catch,FAIL,QA-B-1000-NEW-002
Approval,cpf-admin/src/main/java/com/cpf/admin/approval/service/AdmApprovalService.java,fence command flow inspected,미검증,Runtime missing
Approval,cpf-admin/src/main/java/com/cpf/admin/approval/repository/AdmApprovalRepository.java,terminal WHERE lease/fence inspected,미검증,Runtime missing
Approval,cpf-admin/src/main/java/com/cpf/admin/approval/owner/BatchRuntimeApprovalOwnerCommandAdapter.java,exact identity source fix inspected,미검증,Test/runtime not run
Approval,cpf-admin/src/main/java/com/cpf/admin/approval/owner/CenterCutApprovalOwnerCommandAdapter.java,terminal-only reconcile inspected,미검증,Test/runtime not run
FileLog,cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogRecoverySpool.java,durable root/scheduler + replay break inspected,FAIL,QA-B-1000-NEW-004
FileLog,cpf-core/src/main/java/com/cpf/core/common/logging/file/CpfFileLogWriter.java,hardened recovered append inspected,미검증,Fault runtime missing
Masking,cpf-core/src/main/java/com/cpf/core/common/logging/SensitiveDataMasker.java,fail-closed masking source inspected,미검증,Semantic negative runtime missing
Masking,cpf-core/src/main/java/com/cpf/core/service/common/logging/TransactionLogService.java,persistence-boundary masking source inspected,미검증,Test/runtime missing
Architecture,cpf-tools/generator/contracts/cpf-starter-catalog.json,persistence-mybatis canonical packageBase inspected,FAIL,QA-B-1000-NEW-005
Architecture,cpf-starters/data/persistence-mybatis/src/main/java/com/cpf/core/config/CpfMyBatisConfig.java,downstream module declares com.cpf.core namespace,FAIL,QA-B-1000-NEW-005
Architecture,cpf-starters/data/persistence-mybatis/src/main/java/com/cpf/core/mapper/common/logging/TransactionLogMapper.java,downstream module declares com.cpf.core namespace,FAIL,QA-B-1000-NEW-005
Architecture,cpf-starters/data/persistence-mybatis/src/main/java/com/cpf/starter/persistence/mybatis/logging/JdbcTransactionLineageProjectionAdapter.java,packageBase drift,FAIL,QA-B-1000-NEW-005
OpenAPI,cpf-admin/frontend/scripts/verify-operation-consumer.mjs,typed set tracked but not enforced,FAIL,QA-B-1000-NEW-007
OpenAPI,cpf-admin/frontend/src/features/approvals/ApprovalsPage.vue,high-risk compatibility generated client usage inspected,FAIL,QA-B-1000-NEW-007
OpenAPI,cpf-admin/frontend/src/generated/cpf-api.ts,"generic Record<string,unknown> high-risk bodies inspected",FAIL,QA-B-1000-NEW-007
BZA,cpf-biz-admin/frontend/src/features/approval-simulation/ApprovalSimulationPage.vue,SIMULATE generated consumer source fixed,미검증,Browser/backend runtime not run
BZA,cpf-tools/db/metadata/bza-permission-manifest.json,explicit SIMULATE rule source fixed,미검증,Role matrix runtime not run
EDU,cpf-reference/src/main/java/com/cpf/reference/optional/operations/**/EduAdm01..17Handler.java,"17 current handlers inspected: 4 executable role-aligned, 13 redirects",미검증,Build/runtime tests not run
DB3,cpf-tools/db/canonical/platform-schema.json,official 3-vendor/canonical lineage model inspected,미검증,Live lifecycle not run
DB3,cpf-tools/verification/final-dev/run-db3-lifecycle.ps1,canonical QA34 runtime executor path exists,미검증,pwsh/DB profiles absent
Release,.github/workflows/cpf-r6-release-gates.yml,Java25/browser/DB3/chaos/perf/security/DR exact SHA requirements inspected,미검증,No retrievable exact-SHA status/evidence in connector; not run locally
Javadoc,cpf-core public lineage/trust contracts,Korean contract documentation gap found,FAIL,QA-B-1000-NEW-006
