path_or_pattern,type,current_status,why_not_delete_now,required_before_delete,priority
cpf-tools/verification/20260729_04/**,dated verification,ACTIVE_DEPENDENCY,Final CI가 직접 호출,stable path 이관 + CI 동등성 PASS,P0
cpf-tools/scripts/verify-qa30-completion.py,legacy gate,ACTIVE_DEPENDENCY,Final completion script가 직접 호출,stable gate 병합 + wrapper 기간,P0
cpf-tools/scripts/verify-cpf-qa31-development-result.ps1,legacy gate,ACTIVE_DEPENDENCY,Final completion script가 직접 호출,stable gate 병합 + wrapper 기간,P0
cpf-tools/scripts/verify-cpf-qa32-*,legacy gate group,REVIEW_REQUIRED,전체 Consumer Graph 미검증,CI/Script/Doc/Evidence 참조 0 확인,P1
cpf-tools/scripts/verify-cpf-qa33-*,legacy gate group,REVIEW_REQUIRED,문서 정본 동기화 Consumer 가능,참조 0와 대체 Gate 확인,P1
cpf-docs/work/review/CPF_20*,dated reviews,HISTORY_REVIEW,당시 검수 사실과 결함 근거,통합 Review Ledger + 링크 검사,P2
cpf-docs/work/handover/CPF_20*,dated handovers,HISTORY_REVIEW,세션 연속성·결정 이력,최신 통합 Handover와 Decision Ledger,P2
cpf-docs/quality/CPF_20*,dated quality matrices,MERGE_REQUIRED,Requirement ID와 상태 이력 손실 위험,통합 Matrix에 ID·Source·상태 이관,P1
.gradle/**,local cache,LOCAL_ONLY,Codex Build 실행 중일 수 있음,Codex 종료 + Git 추적 0 확인,P2
.vscode/**,local IDE,LOCAL_ONLY_REVIEW,사용자 설정 또는 stale local folder,git status + 사용자 승인,P2
cpf-starters/**,product container,ACTIVE_PRODUCT,settings와 ADM/BZA Consumer 존재,Architecture 이관 완료 시에만,P0
