integrated_finding_id,severity,peer_finding_ids,self_finding_ids,disposition,confirmation,issue
QA-R5I-001,P0,QA-R5-001,QAF-REV004-001,MERGED_AND_RETAINED,PACKAGE_AND_REPOSITORY_CONFIRMED,"최신 master는 e7cc9ada(06_10)인데 REVIEW_INDEX, FINAL_MANAGEMENT_STATE, FINAL_INTEGRITY, fdr/r4 BASELINE/REQUIREMENT_STATUS/PACKAGE_MANIFEST가 a8be27/2929163/2a0136/cb3b2a를 현재 기준처럼 혼용한다."
QA-R5I-002,P0,QA-R5-002,QAF-REV004-007;QAF-REV004-008;QAF-REV004-009;QAF-REV004-010;QAF-REV004-011;QAF-REV004-012;QAF-REV004-015,MERGED_AND_RETAINED,PEER_CONNECTOR_CONFIRMED_AND_LOCAL_ENVIRONMENT_BLOCKED,"e7cc9ada에 연결된 GitHub status와 workflow run이 0건이며 Java25/Gradle9.1, full npm verify, Playwright, Pester, DB3, broker/multi-process가 실행되지 않았다. 추가 독립 환경 probe에서도 GitHub DNS 실패, JDK 21, Node 22.16.0, PowerShell 부재가 확인되어 Target Runtime PASS를 만들 수 없었다."
QA-R5I-003,P0,QA-R5-003,QAF-REV004-002,MERGED_AND_RETAINED,PACKAGE_EVIDENCE_CONFIRMED,"idempotency_runtime.txt는 0 byte인데 Ledger는 PASS이며, Requirement CSV는 .log를 참조하지만 저장 파일은 .txt이다. openapi_idempotent_1/2의 935f... 해시는 실제 OpenAPI 22d22...와 불일치한다."
QA-R5I-004,P0,QA-R5-004,-,MERGED_AND_RETAINED,COMMIT_DIFF_CONFIRMED,06_08 기준에 존재하던 cpf-document-quality-r9.svg가 최신 master에서 삭제되었고 Documentation Delete Manifest는 삭제를 지시하지만 사용자 승인 Evidence가 없다.
QA-R5I-005,P0,QA-R5-005,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,"requestApproval은 client가 policyCode/version을 주면 enabled/effective 기간을 검증하지 않고, 해당 정책을 ownerModule/ownerCommand/targetType과 서버 Registry로 결속하지 않는다."
QA-R5I-006,P0,QA-R5-006,-,MERGED_AND_RETAINED,PEER_EXACT_BLOB_CONFIRMED,application.yml이 spring.profiles.active=local을 기본값으로 고정하고 local profile은 integration-closure와 ephemeral providers를 기본 true로 한다.
QA-R5I-007,P0,QA-R5-007,QAF-REV004-008,MERGED_AND_RETAINED,DIRECT_SOURCE_GRAPH_CONTRADICTION;RUNTIME_REQUIRED,customerOverridesWinOverDefaultProviders Test는 CpfDataQualityOperations만 공급하지만 Configuration의 Owner Adapter는 별도 CpfDataQualityCorrectionPort를 필수 주입한다. ephemeral bean은 MissingBean(query) 조건으로 생성되지 않아 Context 성공 기대와 Bean graph가 모순된다.
QA-R5I-008,P0,QA-R5-008,-,MERGED_AND_RETAINED,DIRECT_SOURCE_AND_OPENAPI_CONFIRMED,Webhook replay expectedVersion은 OpenAPI/UI minimum 0이나 Service는 1 이상을 요구한다. reason/idempotencyKey의 OpenAPI max/min 제약은 Controller/Service에서 동일하게 강제되지 않는다.
QA-R5I-009,P0,QA-R5-009,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,AdmApprovalService.detail은 COMMAND_PAYLOAD_SNAPSHOT을 포함한 raw request Map을 반환하고 AdmApprovalController detail/create/decision/execute/reconcile 및 ApprovalsPage StructuredData가 이를 그대로 노출한다.
QA-R5I-010,P1,QA-R5-010,-,MERGED_AND_RETAINED,LOCAL_REPRODUCTION_CONFIRMED,"Jackson/JSON.parse 기본 파서는 exact duplicate key를 마지막 값으로 덮어쓰고, JS Number는 2^53 초과 정수와 고정소수 정밀도를 손실한다. 현재 canonical hash는 strict duplicate/BigDecimal 설정이 없다."
QA-R5I-011,P1,QA-R5-011,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,Map.copyOf를 record/corrected payload에 사용하여 null field가 포함된 데이터 품질 검증·정정 요청이 NPE로 실패한다.
QA-R5I-012,P1,QA-R5-012,-,MERGED_AND_RETAINED,DIRECT_SOURCE_CONFIRMED,replay는 expectedVersion 없이 동작하고 validate를 재호출하여 실패 시 새 quarantineId를 생성한다. 동시 correction/replay에서 stale update·중복 quarantine이 가능하다.
QA-R5I-013,P1,QA-R5-013,-,MERGED_AND_RETAINED,PEER_EXACT_BLOB_CONFIRMED,Versioned 정책을 same policyCode/version으로 UPDATE하고 steps를 DELETE/INSERT한다. PolicyRequest.reason과 breakGlassAllowedYn은 실행/감사에 반영되지 않는다.
QA-R5I-014,P1,QA-R5-014,QAF-REV004-014,MERGED_AND_RETAINED,SOURCE_PATTERN_CONFIRMED;DB3_RUNTIME_REQUIRED,requestKey/decision idempotency는 선조회 후 INSERT/UPDATE하며 실제 DB unique conflict 재조회/수렴 테스트가 없다. 변경된 테스트는 대부분 Mockito이며 3 Vendor transaction/CAS를 검증하지 않는다.
