requirement_id,execution_order,domain,feature,dimension,qa_result,direct_fix,finding_ids,evidence_path,next_action
CPF-FR-012734,05-00012734,Resilience,Recovery Probe,기본 구현,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012735,05-00012735,Resilience,Recovery Probe,상태·데이터,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012736,05-00012736,Resilience,Recovery Probe,보안·권한,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012737,05-00012737,Resilience,Recovery Probe,운영,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012738,10-00012738,Resilience,Recovery Probe,실패·복구,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012739,05-00012739,Resilience,Recovery Probe,호환·배포,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012740,10-00012740,Resilience,Recovery Probe,검증·Evidence,미통과,아니오,QA12F-RES-001,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,재개발 후 contract/fault/runtime 재검수
CPF-FR-012741,05-00012741,Resilience,Policy Version,계약,미검증,아니오,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,목표 환경 또는 동등 Harness 실행
CPF-FR-012742,05-00012742,Resilience,Policy Version,기본 구현,미검증,아니오,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,목표 환경 또는 동등 Harness 실행
CPF-FR-012743,05-00012743,Resilience,Policy Version,상태·데이터,미검증,아니오,QA12F-RES-002,cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/resilience-contract-runtime-harness.log;cpf-docs/evidence/qa/QA_PARALLEL_12WAY_QA-12F_f97655c/SOURCE_TRACE_MATRIX.csv,목표 환경 또는 동등 Harness 실행
