work_item_id,canonical_requirement_id,priority,work_type,axis,axis_title,owner,dependencies,markdown_file,ledger_part,development_status,verification_status,next_action
CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION,ARCH-MISSION,P1,PHASE_GATE,GATE_AGGREGATION,제품 목표 Gate 집계,cpf-core / repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-MISSION-02-EVIDENCE_VALIDATION,ARCH-MISSION,P1,PHASE_GATE,EVIDENCE_VALIDATION,Evidence 유효성 검증,cpf-core / repository architecture,CPF-WP-ARCH-MISSION-01-GATE_AGGREGATION,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,ARCH-MSA,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,ARCH-MSA,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-MSA-03-VERIFICATION_EVIDENCE,ARCH-MSA,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-MSA-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-MSA-04-OPERATIONS_SECURITY,ARCH-MSA,P1,PRODUCT_IMPLEMENTATION,OPERATIONS_SECURITY,보안·승인·감사·운영,cpf-core / repository architecture,CPF-WP-ARCH-MSA-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,CONTRACT_OWNERSHIP,계약·Ownership 확정,cpf-core / repository architecture,,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,IMPLEMENTATION_CONSUMER,기본 구현·실제 Consumer 연결,cpf-core / repository architecture,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-BOUNDARY-03-VERIFICATION_EVIDENCE,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,VERIFICATION_EVIDENCE,검증·Evidence·추적성,cpf-core / repository architecture,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP;CPF-WP-ARCH-BOUNDARY-02-IMPLEMENTATION_CONSUMER,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
CPF-WP-ARCH-BOUNDARY-04-FAILURE_RECOVERY,ARCH-BOUNDARY,P1,PRODUCT_IMPLEMENTATION,FAILURE_RECOVERY,오류·부분 실패·UNKNOWN·복구,cpf-core / repository architecture,CPF-WP-ARCH-BOUNDARY-01-CONTRACT_OWNERSHIP,10_ARCHITECTURE_MODULE_BOUNDARY.md,ledgers/10_ARCHITECTURE_MODULE_BOUNDARY_WORK_ITEMS.csv,미구현,미검증,전체 Scope 분석 후 dependency 순서로 구현
