integrated_finding_id,prior_r5i_finding_ids,qa_a_ids,qa_b_ids,merge_type,preserved_scope,baseline_sha
AB-R6-001,"QA-R5I-001,003,020,021,022,024",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-002,"QA-R5I-002,023,024",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-003,"QA-R5I-002,019,022,023,024",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-004,"QA-R5I-002,016,023",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-005,"QA-R5I-008,016",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-006,"QA-R5I-010,016,018",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-007,QA-R5I-016,QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-008,"QA-R5I-016,021",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-009,"QA-R5I-008,017,018",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-010,"QA-R5I-008,017,018,028",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-011,QA-R5I-018,,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-012,"QA-R5I-008,018,028",QA-A-R6S12-related,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-013,"QA-R5I-016,019,027",,QA-B-R6S12-related,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-014,"QA-R5I-019,027",QA-A-R6S12-related,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
AB-R6-015,"QA-R5I-015,019,027",,,기존 R5I 확장 또는 독립 신규,제목·대상·재개발 요구 전체 보존,77db10ad9aff44ee422795080fb2e96b364c9d65
