feature_id,area,coverage_scope,expected_reference,current_source_evidence,requirement_mapping,public_contract_mapping,adm_route_mapping,runtime_command,development_status,verification_status,gap,acceptance
EDU-001,Build/Artifact,BOM·Convention Plugin·LOCAL/REMOTE/OFFLINE 소비,cpf-reference 또는 별도 generated consumer,build.gradle 의존만 확인,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-002,Generator,신규 Domain 생성·충돌검사·remove/regenerate,generated sample + cpf-member,전체 EDU 연결 근거 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-003,Transaction,34자리 transactionId·segment·attempt 전파,reference online flow,전수 예제 근거 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-004,Header/Error,표준/확장 Header·Error taxonomy,reference REST flow,전수 예제 근거 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-005,Local/Remote,동일 Public API Local/Remote parity,reference local/remote adapters,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-006,Idempotency,scope/hash/conflict/TTL,reference command,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-007,Concurrency,expectedVersion·lock·race,reference command,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-008,Unknown Result,response loss·status query·reconcile,reference remote flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-009,Outbox/Inbox,transactional outbox·duplicate inbox,reference messaging flow,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-010,Kafka,producer/consumer/rebalance/DLT/replay,reference Kafka runtime,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-011,External REST,TLS·DNS/CIDR·timeout·redirect·unknown,reference outbound adapter,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
EDU-012,Fixed-length Protocol,encoding·byte length·masking·error offset,reference protocol adapter,검증 Evidence 없음,미수집,미수집,미수집,미수집,미구현,미검증,정본 Coverage Row·실제 Source·Scenario·Evidence 연결 필요,정상/오류/동시성/결과불명/복구/보안 중 적용 축과 exact-SHA 실행 근거
